,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Total Offense,Total Offense,Total Offense,First Downs,First Downs,First Downs,First Downs,Penalties,Penalties,Turnovers,Turnovers,Turnovers
Rk,School,G,Pts,Cmp,Att,Pct,Yds,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,Pass,Rush,Pen,Tot,No.,Yds,Fum,Int,TO
19,Kentucky,5,15.2,23.0,35.4,65.0,221.4,1.0,29.8,75.8,2.5,0.8,65.2,297.2,4.6,10.0,5.0,1.8,16.8,6.2,53.0,0.8,1.0,1.8
20,Oregon State,5,15.6,20.8,34.0,61.2,234.0,1.4,29.4,67.2,2.3,0.6,63.4,301.2,4.8,9.4,6.2,2.6,18.2,4.2,29.0,0.8,0.6,1.4
21,Iowa,5,16.8,22.6,38.8,58.2,182.6,1.4,36.0,138.2,3.8,0.0,74.8,320.8,4.3,9.0,8.6,1.2,18.8,6.8,63.6,0.4,1.0,1.4
22,Fresno State,5,17.0,17.6,32.6,54.0,188.8,1.0,32.8,93.2,2.8,1.0,65.4,282.0,4.3,8.6,6.6,1.6,16.8,6.4,58.0,0.8,1.6,2.4
23,Louisville,5,17.2,17.0,30.8,55.2,218.2,1.4,31.8,109.6,3.4,1.0,62.6,327.8,5.2,8.8,6.0,1.6,16.4,6.0,50.8,0.8,1.0,1.8
24,Florida,5,17.4,13.0,23.0,56.5,144.0,0.8,30.0,131.4,4.4,1.4,53.0,275.4,5.2,6.6,5.8,1.2,13.6,6.0,44.6,0.0,0.2,0.2
25,Tulane,5,17.4,23.0,33.4,68.9,235.6,0.8,32.4,84.2,2.6,0.8,65.8,319.8,4.9,11.2,6.4,1.8,19.4,5.6,47.6,0.8,1.4,2.2
26,Jacksonville State,6,17.5,18.7,31.3,59.6,240.2,1.0,42.5,112.7,2.7,1.2,73.8,352.8,4.8,10.2,5.7,2.5,18.3,5.8,54.2,0.8,1.7,2.5
27,Tennessee,5,17.8,22.8,33.2,68.7,192.8,0.8,36.8,115.4,3.1,1.2,70.0,308.2,4.4,8.0,6.2,1.8,16.0,5.2,38.0,0.4,0.8,1.2
28,Liberty,5,18.0,18.4,34.8,52.9,196.8,1.6,28.0,116.8,4.2,0.6,62.8,313.6,5.0,8.2,6.6,2.6,17.4,5.8,55.4,0.4,2.2,2.6
29,Auburn,5,18.2,18.4,30.6,60.1,194.2,1.0,31.6,128.6,4.1,1.2,62.2,322.8,5.2,8.0,7.0,0.4,15.4,4.8,40.6,0.8,1.2,2.0
30,SMU,5,18.4,18.0,28.4,63.4,181.6,1.8,39.4,134.0,3.4,0.6,67.8,315.6,4.7,9.0,7.6,1.8,18.4,7.2,72.4,0.0,0.4,0.4
31,Washington,5,18.4,21.6,39.8,54.3,243.4,1.6,32.2,121.6,3.8,0.8,72.0,365.0,5.1,11.4,7.2,4.0,22.6,6.2,49.4,0.0,1.6,1.6
32,Texas A&M,5,18.6,12.2,23.0,53.0,157.6,1.2,33.4,96.2,2.9,0.2,56.4,253.8,4.5,6.0,5.6,1.6,13.2,7.2,69.6,0.2,0.4,0.6
33,Army,4,18.8,18.3,29.5,61.9,192.5,1.3,31.3,127.5,4.1,1.0,60.8,320.0,5.3,9.0,6.3,1.0,16.3,5.5,45.0,0.8,0.8,1.5
34,Arizona,5,19.0,19.4,30.6,63.4,248.0,0.8,33.2,98.2,3.0,1.4,63.8,346.2,5.4,11.0,4.6,2.6,18.2,8.8,80.8,0.8,0.0,0.8
35,West Virginia,5,19.0,16.6,33.2,50.0,220.6,1.6,35.0,114.8,3.3,0.6,68.2,335.4,4.9,9.2,8.2,0.6,18.0,5.8,48.0,0.0,1.0,1.0
36,Wisconsin,4,19.8,25.3,41.0,61.6,256.3,1.3,31.0,118.3,3.8,1.0,72.0,374.5,5.2,11.3,6.8,1.3,19.3,6.5,58.5,0.5,1.8,2.3
37,North Carolina State,5,20.0,16.4,28.0,58.6,226.4,1.6,30.8,95.6,3.1,0.8,58.8,322.0,5.5,8.8,5.2,1.8,15.8,7.2,64.6,0.4,1.2,1.6
38,Georgia Southern,5,20.2,18.2,30.0,60.7,220.4,0.6,33.6,140.0,4.2,2.2,63.6,360.4,5.7,9.6,7.2,0.8,17.6,5.8,59.2,0.6,1.4,2.0
39,Marshall,4,20.5,16.3,31.8,51.2,143.0,0.8,33.5,195.0,5.8,1.8,65.3,338.0,5.2,6.5,7.3,1.0,14.8,8.5,77.8,0.3,1.3,1.5
