"Rank","Name","Team","POS","G","ATT","YDS","RuYDS/G","YPC","TD","FUM","1D","EXP RUN %","EXP YDS","EXP YDS %","i5 %","TD RATE","STUFF %","1+ %","3+ %","5+ %","10+ %","20+ %","30+ %","MTF","MTF/ATT","YACO","YACO/ATT","YACO %","YBCO/ATT","ATT","ATT %","YDS","TD","YPC","Success Rate","ATT","ATT %","YDS","TD","YPC","Success Rate","FP/G","FP","XFP","XFP/G"
"78","Dontrell Hilliard","TEN","RB","12","22","145","12.1","6.59","0","0","4","9.1%","51","35.2%","0.0%","0.0%","27.3%","90.9%","77.3%","50.0%","22.7%","9.1%","4.5%","4","0.18","56","2.55","38.6%","4.05","11","50.0%","78","0","7.09","45.5%","11","50.0%","67","0","6.09","45.5%","6.4","77.2","58.4","4.9"
"79","Gary Brightwell","NYG","RB","15","31","141","9.4","4.55","1","0","9","9.7%","57","40.4%","3.8%","3.2%","54.8%","71.0%","48.4%","29.0%","19.4%","3.2%","0.0%","6","0.19","89","2.87","63.1%","1.68","17","54.8%","45","0","2.65","29.4%","13","41.9%","82","1","6.31","53.8%","1.9","29.0","32.2","2.1"
"80","Kyren Williams","LA","RB","8","35","139","17.4","3.97","0","0","6","2.9%","17","12.2%","0.0%","0.0%","40.0%","80.0%","60.0%","42.9%","2.9%","0.0%","0.0%","4","0.11","72","2.06","51.8%","1.91","24","68.6%","98","0","4.08","45.8%","11","31.4%","41","0","3.73","36.4%","3.8","30.5","32.8","4.1"
"81","Dare Ogunbowale","HST","RB","15","42","123","8.2","2.93","1","0","10","0.0%","0","0.0%","15.4%","2.4%","59.5%","83.3%","45.2%","23.8%","2.4%","0.0%","0.0%","1","0.02","98","2.33","79.7%","0.60","21","50.0%","63","0","3.00","42.9%","21","50.0%","60","1","2.86","42.9%","3.2","48.7","61.6","4.1"
"82","Royce Freeman","HST","RB","4","41","117","29.3","2.85","0","1","7","0.0%","0","0.0%","0.0%","0.0%","61.0%","85.4%","53.7%","29.3%","2.4%","0.0%","0.0%","2","0.05","102","2.49","87.2%","0.37","20","48.8%","61","0","3.05","40.0%","21","51.2%","56","0","2.67","38.1%","5.0","20.0","33.2","8.3"
"83","Avery Williams","ATL","RB","17","22","109","6.4","4.95","1","0","6","4.5%","21","19.3%","0.0%","4.5%","40.9%","77.3%","63.6%","45.5%","18.2%","4.5%","0.0%","5","0.23","58","2.64","53.2%","2.32","16","72.7%","72","1","4.50","43.8%","5","22.7%","28","0","5.60","40.0%","2.1","35.0","35.3","2.1"
"84","Sony Michel","LAC","RB","10","36","106","10.6","2.94","0","0","8","0.0%","0","0.0%","25.0%","0.0%","47.2%","80.6%","52.8%","22.2%","2.8%","0.0%","0.0%","5","0.14","89","2.47","84.0%","0.47","19","52.8%","54","0","2.84","36.8%","17","47.2%","52","0","3.06","58.8%","2.5","24.9","42.0","4.2"
"85","Darrel Williams","ARZ","RB","5","21","102","20.4","4.86","1","0","8","4.8%","30","29.4%","14.3%","4.8%","38.1%","76.2%","52.4%","38.1%","9.5%","4.8%","4.8%","1","0.05","60","2.86","58.8%","2.00","13","61.9%","54","0","4.15","53.8%","8","38.1%","48","1","6.00","62.5%","4.2","21.1","25.7","5.1"
"86","Craig Reynolds","DET","RB","7","23","102","14.6","4.43","0","0","4","8.7%","40","39.2%","0.0%","0.0%","47.8%","78.3%","65.2%","34.8%","13.0%","4.3%","0.0%","6","0.26","78","3.39","76.5%","1.04","11","47.8%","46","0","4.18","45.5%","12","52.2%","56","0","4.67","33.3%","4.4","30.8","26.6","3.8"
"87","Mike Boone","DEN","RB","9","24","102","11.3","4.25","0","0","6","8.3%","33","32.4%","0.0%","0.0%","62.5%","79.2%","45.8%","33.3%","16.7%","0.0%","0.0%","1","0.04","58","2.42","56.9%","1.83","14","58.3%","51","0","3.64","28.6%","10","41.7%","51","0","5.10","40.0%","3.2","28.8","34.0","3.8"
"88","Pierre Strong","NE","RB","12","10","100","8.3","10.00","1","0","5","20.0%","63","63.0%","6.7%","10.0%","20.0%","90.0%","80.0%","50.0%","30.0%","10.0%","10.0%","1","0.10","41","4.10","41.0%","5.90","2","20.0%","5","1","2.50","50.0%","8","80.0%","95","0","11.88","75.0%","2.3","27.2","17.0","1.4"
"89","Tyrion Davis-Price","SF","RB","6","34","99","16.5","2.91","0","0","5","2.9%","20","20.2%","6.7%","0.0%","61.8%","82.4%","47.1%","20.6%","5.9%","2.9%","0.0%","2","0.06","79","2.32","79.8%","0.59","22","64.7%","63","0","2.86","36.4%","12","35.3%","36","0","3.00","25.0%","1.7","9.9","23.1","3.9"
"90","J.D. McKissic","WAS","RB","8","22","95","11.9","4.32","0","0","5","9.1%","49","51.6%","0.0%","0.0%","54.5%","86.4%","50.0%","18.2%","9.1%","4.5%","4.5%","4","0.18","62","2.82","65.3%","1.50","17","77.3%","89","0","5.24","47.1%","5","22.7%","6","0","1.20","20.0%","7.0","55.8","76.7","9.6"
"91","Hassan Haskins","TEN","RB","15","25","93","6.2","3.72","0","0","5","0.0%","0","0.0%","0.0%","0.0%","44.0%","92.0%","64.0%","36.0%","4.0%","0.0%","0.0%","2","0.08","55","2.20","59.1%","1.52","16","64.0%","59","0","3.69","56.3%","9","36.0%","34","0","3.78","22.2%","1.7","26.0","30.8","2.1"
"92","Benny Snell","PIT","RB","10","20","90","9.0","4.50","1","0","6","5.0%","16","17.8%","5.3%","5.0%","30.0%","95.0%","60.0%","35.0%","10.0%","0.0%","0.0%","4","0.20","50","2.50","55.6%","2.00","13","65.0%","66","1","5.08","69.2%","7","35.0%","24","0","3.43","71.4%","1.9","18.7","14.1","1.4"
"93","Marlon Mack","DEN, SF","RB","7","16","84","12.0","5.25","1","0","4","6.3%","17","20.2%","25.0%","6.3%","18.8%","87.5%","81.3%","50.0%","6.3%","0.0%","0.0%","5","0.31","62","3.88","73.8%","1.38","9","56.3%","40","0","4.44","77.8%","7","43.8%","44","1","6.29","71.4%","5.5","38.3","22.1","3.2"
"94","Malcolm Brown","LA","RB","9","18","81","9.0","4.50","1","0","3","11.1%","40","49.4%","27.3%","5.6%","38.9%","72.2%","55.6%","33.3%","16.7%","5.6%","0.0%","3","0.17","41","2.28","50.6%","2.22","12","66.7%","43","0","3.58","25.0%","6","33.3%","38","1","6.33","50.0%","2.5","22.8","23.9","2.7"
"95","Rex Burkhead","HST","RB","16","26","80","5.0","3.08","0","0","4","0.0%","0","0.0%","18.8%","0.0%","42.3%","80.8%","57.7%","26.9%","0.0%","0.0%","0.0%","2","0.08","67","2.58","83.8%","0.50","9","34.6%","18","0","2.00","44.4%","17","65.4%","62","0","3.65","58.8%","4.5","71.4","96.3","6.0"
"96","Jaret Patterson","WAS","RB","2","17","78","39.0","4.59","0","0","3","0.0%","0","0.0%","0.0%","0.0%","41.2%","100.0%","70.6%","41.2%","11.8%","0.0%","0.0%","3","0.18","38","2.24","48.7%","2.35","11","64.7%","47","0","4.27","36.4%","6","35.3%","31","0","5.17","66.7%","3.9","7.8","10.9","5.4"
"97","Raheem Blackshear","CAR","RB","13","23","77","5.9","3.35","3","0","7","4.3%","16","20.8%","11.8%","13.0%","47.8%","69.6%","56.5%","34.8%","8.7%","0.0%","0.0%","5","0.22","50","2.17","64.9%","1.17","11","47.8%","12","1","1.09","27.3%","12","52.2%","65","2","5.42","66.7%","3.4","44.0","32.0","2.5"
"98","Travis Homer","SEA","RB","10","19","74","7.4","3.89","0","0","4","5.3%","16","21.6%","0.0%","0.0%","36.8%","84.2%","63.2%","36.8%","5.3%","0.0%","0.0%","3","0.16","54","2.84","73.0%","1.05","9","47.4%","19","0","2.11","33.3%","10","52.6%","55","0","5.50","60.0%","4.4","44.1","37.3","3.7"
"99","Ronald Jones","KC","RB","6","17","70","11.7","4.12","1","0","4","0.0%","0","0.0%","7.1%","5.9%","47.1%","94.1%","64.7%","35.3%","5.9%","0.0%","0.0%","1","0.06","46","2.71","65.7%","1.41","10","58.8%","37","0","3.70","40.0%","7","41.2%","33","1","4.71","71.4%","2.7","16.2","11.8","2.0"
"100","Zamir White","LV","RB","12","17","70","5.8","4.12","0","0","4","11.8%","39","55.7%","0.0%","0.0%","58.8%","76.5%","47.1%","23.5%","17.6%","5.9%","0.0%","5","0.29","106","6.24","151.4%","-2.12","5","29.4%","27","0","5.40","60.0%","11","64.7%","21","0","1.91","27.3%","0.6","7.0","10.6","0.9"
"101","Brandon Bolden","LV","RB","13","17","66","5.1","3.88","0","0","3","0.0%","0","0.0%","18.2%","0.0%","47.1%","94.1%","58.8%","35.3%","11.8%","0.0%","0.0%","0","0.00","26","1.53","39.4%","2.35","6","35.3%","27","0","4.50","33.3%","11","64.7%","39","0","3.55","36.4%","2.1","27.3","27.3","2.1"
"102","Salvon Ahmed","MIA","RB","6","12","64","10.7","5.33","1","0","4","0.0%","0","0.0%","0.0%","8.3%","33.3%","100.0%","58.3%","58.3%","16.7%","0.0%","0.0%","4","0.33","32","2.67","50.0%","2.67","8","66.7%","48","1","6.00","75.0%","4","33.3%","16","0","4.00","75.0%","2.4","14.2","6.8","1.1"
"103","Darrynton Evans","CHI","RB","4","14","64","16.0","4.57","0","0","3","7.1%","21","32.8%","0.0%","0.0%","50.0%","85.7%","64.3%","35.7%","7.1%","7.1%","0.0%","2","0.14","36","2.57","56.3%","2.00","7","50.0%","16","0","2.29","28.6%","7","50.0%","48","0","6.86","57.1%","2.7","10.7","10.0","2.5"
"104","Keaontay Ingram","ARZ","RB","11","27","60","5.5","2.22","1","0","4","0.0%","0","0.0%","15.4%","3.7%","63.0%","70.4%","37.0%","14.8%","7.4%","0.0%","0.0%","3","0.11","61","2.26","101.7%","-0.04","14","51.9%","23","0","1.64","21.4%","13","48.1%","37","1","2.85","30.8%","1.6","18.1","25.4","2.3"
"105","Jordan Wilkins","IND","RB","4","13","58","14.5","4.46","0","0","2","0.0%","0","0.0%","0.0%","0.0%","23.1%","100.0%","92.3%","30.8%","0.0%","0.0%","0.0%","3","0.23","28","2.15","48.3%","2.31","7","53.8%","28","0","4.00","57.1%","6","46.2%","30","0","5.00","66.7%","3.7","14.7","19.0","4.8"
"106","Corey Clement","ARZ","RB","5","15","55","11.0","3.67","1","0","6","0.0%","0","0.0%","33.3%","6.7%","33.3%","93.3%","66.7%","26.7%","6.7%","0.0%","0.0%","2","0.13","36","2.40","65.5%","1.27","12","80.0%","44","1","3.67","58.3%","3","20.0%","11","0","3.67","66.7%","4.4","21.9","20.9","4.2"
"107","Trestan Ebner","CHI","RB","15","24","54","3.6","2.25","0","0","2","0.0%","0","0.0%","9.1%","0.0%","62.5%","70.8%","45.8%","29.2%","4.2%","0.0%","0.0%","6","0.25","48","2.00","88.9%","0.25","15","62.5%","45","0","3.00","40.0%","9","37.5%","9","0","1.00","22.2%","0.5","7.2","27.2","1.8"
"108","Ke'Shawn Vaughn","TB","RB","7","17","53","7.6","3.12","0","0","3","0.0%","0","0.0%","0.0%","0.0%","47.1%","82.4%","52.9%","29.4%","5.9%","0.0%","0.0%","2","0.12","52","3.06","98.1%","0.06","5","29.4%","12","0","2.40","20.0%","12","70.6%","41","0","3.42","66.7%","1.5","10.2","13.2","1.9"
"109","Kevin Harris","NE","RB","5","18","52","10.4","2.89","1","0","3","0.0%","0","0.0%","0.0%","5.6%","66.7%","61.1%","38.9%","27.8%","11.1%","0.0%","0.0%","5","0.28","46","2.56","88.5%","0.33","8","44.4%","18","0","2.25","37.5%","10","55.6%","34","1","3.40","30.0%","2.2","11.2","9.5","1.9"
"110","Phillip Lindsay","IND","RB","3","15","49","16.3","3.27","0","0","1","6.7%","15","30.6%","0.0%","0.0%","73.3%","93.3%","46.7%","13.3%","6.7%","0.0%","0.0%","2","0.13","37","2.47","75.5%","0.80","9","60.0%","28","0","3.11","22.2%","6","40.0%","21","0","3.50","16.7%","4.9","14.8","15.4","5.1"
"111","Spencer Brown","CAR","RB","2","9","43","21.5","4.78","0","0","1","0.0%","0","0.0%","16.7%","0.0%","33.3%","100.0%","77.8%","55.6%","0.0%","0.0%","0.0%","0","0.00","22","2.44","51.2%","2.33","6","66.7%","31","0","5.17","66.7%","3","33.3%","12","0","4.00","66.7%","3.7","7.3","11.0","5.5"
"112","Snoop Conner","JAX","RB","8","12","42","5.3","3.50","1","0","2","0.0%","0","0.0%","6.7%","8.3%","41.7%","91.7%","66.7%","25.0%","0.0%","0.0%","0.0%","2","0.17","34","2.83","81.0%","0.67","6","50.0%","16","1","2.67","50.0%","6","50.0%","26","0","4.33","66.7%","1.3","10.2","8.2","1.0"
"113","Isaiah Spiller","LAC","RB","6","18","41","6.8","2.28","0","0","2","0.0%","0","0.0%","0.0%","0.0%","61.1%","66.7%","50.0%","22.2%","5.6%","0.0%","0.0%","3","0.17","41","2.28","100.0%","0.00","9","50.0%","3","0","0.33","0.0%","9","50.0%","38","0","4.22","44.4%","1.4","8.4","13.7","2.3"
"114","Dwayne Washington","NO","RB","11","11","38","3.5","3.45","0","0","2","0.0%","0","0.0%","0.0%","0.0%","18.2%","90.9%","90.9%","18.2%","0.0%","0.0%","0.0%","2","0.18","34","3.09","89.5%","0.36","8","72.7%","28","0","3.50","50.0%","2","18.2%","11","0","5.50","50.0%","0.5","5.5","6.5","0.6"
"115","Nyheim Hines","IND, BUF","RB","16","24","33","2.1","1.38","1","0","2","0.0%","0","0.0%","10.0%","4.2%","70.8%","66.7%","33.3%","12.5%","0.0%","0.0%","0.0%","1","0.04","40","1.67","121.2%","-0.29","11","45.8%","27","0","2.45","27.3%","10","41.7%","9","1","0.90","10.0%","4.3","69.4","74.0","4.6"
"116","Patrick Taylor","GB","RB","7","10","31","4.4","3.10","0","0","2","0.0%","0","0.0%","0.0%","0.0%","60.0%","100.0%","50.0%","30.0%","0.0%","0.0%","0.0%","0","0.00","19","1.90","61.3%","1.20","6","60.0%","17","0","2.83","33.3%","4","40.0%","14","0","3.50","50.0%","0.8","5.8","5.8","0.8"
"117","Anthony McFarland","PIT","RB","1","6","30","30.0","5.00","0","0","3","0.0%","0","0.0%","0.0%","0.0%","33.3%","66.7%","66.7%","50.0%","16.7%","0.0%","0.0%","2","0.33","28","4.67","93.3%","0.33","3","50.0%","12","0","4.00","66.7%","3","50.0%","18","0","6.00","66.7%","6.1","6.1","6.5","6.5"
"118","Trayveon Williams","CIN","RB","7","6","30","4.3","5.00","0","0","1","16.7%","16","53.3%","0.0%","0.0%","66.7%","83.3%","50.0%","33.3%","16.7%","0.0%","0.0%","1","0.17","31","5.17","103.3%","-0.17","2","33.3%","10","0","5.00","50.0%","4","66.7%","20","0","5.00","25.0%","1.1","8.0","6.1","0.9"
"119","Giovani Bernard","TB","RB","4","8","28","7.0","3.50","0","1","0","0.0%","0","0.0%","0.0%","0.0%","37.5%","87.5%","75.0%","25.0%","0.0%","0.0%","0.0%","0","0.00","18","2.25","64.3%","1.25","0","0.0%","0","0","0.00","0.0%","7","87.5%","28","0","4.00","57.1%","1.2","4.7","8.7","2.2"
"120","Tevin Coleman","SF","RB","3","12","26","8.7","2.17","1","0","2","0.0%","0","0.0%","40.0%","8.3%","66.7%","66.7%","33.3%","25.0%","8.3%","0.0%","0.0%","2","0.17","18","1.50","69.2%","0.67","4","33.3%","7","0","1.75","0.0%","8","66.7%","19","1","2.38","37.5%","7.3","22.0","12.8","4.3"
"121","Myles Gaskin","MIA","RB","2","10","26","13.0","2.60","0","0","2","0.0%","0","0.0%","0.0%","0.0%","70.0%","70.0%","40.0%","20.0%","10.0%","0.0%","0.0%","2","0.20","31","3.10","119.2%","-0.50","7","70.0%","20","0","2.86","28.6%","3","30.0%","6","0","2.00","33.3%","4.7","9.4","13.9","7.0"
"122","Kyle Juszczyk","SF","FB","16","7","26","1.6","3.71","1","0","5","0.0%","0","0.0%","5.6%","14.3%","28.6%","71.4%","57.1%","28.6%","0.0%","0.0%","0.0%","1","0.14","16","2.29","61.5%","1.43","0","0.0%","0","0","0.00","0.0%","0","0.0%","0","0","0.00","0.0%","3.4","53.6","45.0","2.8"
"123","Jonathan Ward","TEN, ARZ","RB","4","5","25","6.3","5.00","0","0","2","0.0%","0","0.0%","0.0%","0.0%","40.0%","60.0%","60.0%","60.0%","40.0%","0.0%","0.0%","1","0.20","10","2.00","40.0%","3.00","2","40.0%","23","0","11.50","100.0%","3","60.0%","2","0","0.67","33.3%","1.3","5.2","6.9","1.7"
"124","David Johnson","NO","RB","5","12","24","4.8","2.00","0","1","0","0.0%","0","0.0%","0.0%","0.0%","66.7%","83.3%","33.3%","16.7%","0.0%","0.0%","0.0%","0","0.00","22","1.83","91.7%","0.17","4","33.3%","0","0","0.00","0.0%","8","66.7%","24","0","3.00","50.0%","2.0","10.1","11.9","2.4"
"125","Tony Jones","NO, SEA","RB","3","10","24","8.0","2.40","0","0","3","0.0%","0","0.0%","0.0%","0.0%","50.0%","70.0%","40.0%","30.0%","0.0%","0.0%","0.0%","2","0.20","18","1.80","75.0%","0.60","7","70.0%","13","0","1.86","42.9%","3","30.0%","11","0","3.67","66.7%","3.5","10.4","17.9","6.0"
"126","Derek Watt","PIT","FB","17","9","21","1.2","2.33","1","0","8","0.0%","0","0.0%","3.7%","11.1%","11.1%","88.9%","44.4%","0.0%","0.0%","0.0%","0.0%","0","0.00","12","1.33","57.1%","1.00","0","0.0%","0","0","0.00","0.0%","0","0.0%","0","0","0.00","0.0%","1.2","20.2","18.0","1.1"
"127","Ronnie Rivers","LA","RB","3","9","21","7.0","2.33","0","0","1","0.0%","0","0.0%","0.0%","0.0%","44.4%","77.8%","55.6%","11.1%","0.0%","0.0%","0.0%","0","0.00","10","1.11","47.6%","1.22","6","66.7%","14","0","2.33","50.0%","3","33.3%","7","0","2.33","33.3%","3.3","10.0","11.1","3.7"
"128","Ameer Abdullah","LV","RB","17","4","20","1.2","5.00","0","0","2","0.0%","0","0.0%","0.0%","0.0%","0.0%","100.0%","100.0%","50.0%","0.0%","0.0%","0.0%","1","0.25","13","3.25","65.0%","1.75","1","25.0%","3","0","3.00","0.0%","3","75.0%","17","0","5.67","100.0%","3.2","54.1","56.4","3.3"
"129","Ty Chandler","MIN","RB","2","6","20","10.0","3.33","0","0","1","0.0%","0","0.0%","0.0%","0.0%","50.0%","100.0%","50.0%","16.7%","16.7%","0.0%","0.0%","0","0.00","13","2.17","65.0%","1.17","4","66.7%","15","0","3.75","25.0%","2","33.3%","5","0","2.50","50.0%","1.0","2.0","3.4","1.7"
"130","Larry Rountree","LAC","RB","3","13","19","6.3","1.46","0","0","0","0.0%","0","0.0%","0.0%","0.0%","76.9%","69.2%","30.8%","15.4%","0.0%","0.0%","0.0%","2","0.15","29","2.23","152.6%","-0.77","6","46.2%","8","0","1.33","16.7%","7","53.8%","11","0","1.57","0.0%","1.8","5.3","8.8","2.9"
"131","Trey Sermon","PHI","RB","2","2","19","9.5","9.50","0","0","2","0.0%","0","0.0%","0.0%","0.0%","0.0%","100.0%","100.0%","100.0%","50.0%","0.0%","0.0%","1","0.50","10","5.00","52.6%","4.50","2","100.0%","19","0","9.50","100.0%","0","0.0%","0","0","0.00","0.0%","1.0","1.9","1.0","0.5"
"132","Mike Davis","BLT","RB","8","8","18","2.3","2.25","0","1","1","0.0%","0","0.0%","18.2%","0.0%","75.0%","62.5%","37.5%","12.5%","12.5%","0.0%","0.0%","3","0.38","19","2.38","105.6%","-0.13","2","25.0%","6","0","3.00","50.0%","6","75.0%","12","0","2.00","33.3%","0.5","4.2","11.3","1.4"
"133","D'Ernest Johnson","CLV","RB","9","4","17","1.9","4.25","0","0","1","0.0%","0","0.0%","0.0%","0.0%","25.0%","100.0%","75.0%","50.0%","0.0%","0.0%","0.0%","1","0.25","13","3.25","76.5%","1.00","2","50.0%","11","0","5.50","100.0%","2","50.0%","6","0","3.00","50.0%","0.6","5.4","5.9","0.7"
"134","Patrick Ricard","BLT","FB","17","7","16","0.9","2.29","0","0","5","0.0%","0","0.0%","0.0%","0.0%","28.6%","71.4%","42.9%","14.3%","0.0%","0.0%","0.0%","0","0.00","11","1.57","68.8%","0.71","1","14.3%","0","0","0.00","0.0%","0","0.0%","0","0","0.00","0.0%","1.2","20.0","24.8","1.5"
"135","Kene Nwangwu","MIN","RB","14","9","14","1.0","1.56","0","0","1","0.0%","0","0.0%","0.0%","0.0%","66.7%","55.6%","33.3%","11.1%","0.0%","0.0%","0.0%","3","0.33","14","1.56","100.0%","0.00","4","44.4%","6","0","1.50","25.0%","5","55.6%","8","0","1.60","40.0%","0.4","5.5","6.7","0.5"
"136","Jerome Ford","CLV","RB","13","8","12","0.9","1.50","0","0","1","0.0%","0","0.0%","0.0%","0.0%","75.0%","50.0%","37.5%","12.5%","0.0%","0.0%","0.0%","3","0.38","25","3.13","208.3%","-1.63","2","25.0%","-1","0","-0.50","0.0%","6","75.0%","13","0","2.17","16.7%","0.1","1.2","4.3","0.3"
"137","Julius Chestnut","TEN","RB","6","9","12","2.0","1.33","0","0","1","0.0%","0","0.0%","0.0%","0.0%","66.7%","66.7%","33.3%","22.2%","0.0%","0.0%","0.0%","1","0.11","15","1.67","125.0%","-0.33","6","66.7%","5","0","0.83","16.7%","3","33.3%","7","0","2.33","66.7%","1.4","8.3","8.9","1.5"
"138","J.J. Taylor","NE","RB","1","10","9","9.0","0.90","0","0","0","0.0%","0","0.0%","33.3%","0.0%","80.0%","60.0%","30.0%","10.0%","0.0%","0.0%","0.0%","2","0.20","23","2.30","255.6%","-1.40","3","30.0%","-3","0","-1.00","0.0%","7","70.0%","12","0","1.71","0.0%","2.7","2.7","7.9","7.9"
"139","Adam Prentice","NO","FB","11","4","9","0.8","2.25","0","0","3","0.0%","0","0.0%","0.0%","0.0%","25.0%","100.0%","25.0%","0.0%","0.0%","0.0%","0.0%","0","0.00","7","1.75","77.8%","0.50","1","25.0%","3","0","3.00","0.0%","1","25.0%","2","0","2.00","100.0%","0.4","4.8","5.8","0.5"
"140","Zander Horvath","LAC","RB","15","4","8","0.5","2.00","0","0","2","0.0%","0","0.0%","5.3%","0.0%","50.0%","75.0%","50.0%","0.0%","0.0%","0.0%","0.0%","0","0.00","4","1.00","50.0%","1.00","0","0.0%","0","0","0.00","0.0%","0","0.0%","0","0","0.00","0.0%","1.2","18.6","22.0","1.5"
"141","Reggie Bonnafon","WAS","RB","1","3","8","8.0","2.67","0","0","0","0.0%","0","0.0%","0.0%","0.0%","33.3%","66.7%","66.7%","33.3%","0.0%","0.0%","0.0%","1","0.33","8","2.67","100.0%","0.00","0","0.0%","0","0","0.00","0.0%","3","100.0%","8","0","2.67","0.0%","0.8","0.8","1.1","1.1"
"142","Alec Ingold","MIA","FB","17","6","8","0.5","1.33","1","0","5","0.0%","0","0.0%","14.3%","16.7%","16.7%","83.3%","0.0%","0.0%","0.0%","0.0%","0.0%","0","0.00","4","0.67","50.0%","0.67","0","0.0%","0","0","0.00","0.0%","0","0.0%","0","0","0.00","0.0%","2.3","38.3","40.8","2.4"
"143","Michael Burton","KC","FB","16","5","7","0.4","1.40","0","0","2","0.0%","0","0.0%","0.0%","0.0%","60.0%","40.0%","20.0%","20.0%","0.0%","0.0%","0.0%","1","0.20","8","1.60","114.3%","-0.20","0","0.0%","0","0","0.00","0.0%","0","0.0%","0","0","0.00","0.0%","0.2","3.8","6.7","0.4"
"144","Kylin Hill","GB","RB","1","1","7","7.0","7.00","0","0","1","0.0%","0","0.0%","0.0%","0.0%","0.0%","100.0%","100.0%","100.0%","0.0%","0.0%","0.0%","0","0.00","3","3.00","42.9%","4.00","1","100.0%","7","0","7.00","100.0%","0","0.0%","0","0","0.00","0.0%","0.7","0.7","0.8","0.8"
"145","C.J. Ham","MIN","FB","17","4","7","0.4","1.75","2","0","3","0.0%","0","0.0%","7.1%","50.0%","25.0%","75.0%","50.0%","0.0%","0.0%","0.0%","0.0%","0","0.00","5","1.25","71.4%","0.50","0","0.0%","0","0","0.00","0.0%","1","25.0%","1","1","1.00","100.0%","1.8","31.3","25.7","1.5"
"146","Duke Johnson","BUF","RB","1","2","4","4.0","2.00","0","0","1","0.0%","0","0.0%","0.0%","0.0%","50.0%","50.0%","50.0%","0.0%","0.0%","0.0%","0.0%","1","0.50","4","2.00","100.0%","0.00","1","50.0%","0","0","0.00","0.0%","1","50.0%","4","0","4.00","100.0%","0.4","0.4","1.0","1.0"
"147","Jason Cabinda","DET","FB","8","1","4","0.5","4.00","0","0","1","0.0%","0","0.0%","0.0%","0.0%","0.0%","100.0%","100.0%","0.0%","0.0%","0.0%","0.0%","0","0.00","3","3.00","75.0%","1.00","0","0.0%","0","0","0.00","0.0%","0","0.0%","0","0","0.00","0.0%","0.2","1.9","9.4","1.2"
"148","Godwin Igwebuike","SEA","RB","5","3","4","0.8","1.33","0","0","0","0.0%","0","0.0%","0.0%","0.0%","33.3%","66.7%","66.7%","0.0%","0.0%","0.0%","0.0%","0","0.00","6","2.00","150.0%","-0.67","3","100.0%","4","0","1.33","33.3%","0","0.0%","0","0","0.00","0.0%","0.3","1.7","2.6","0.5"
"149","Devine Ozigbo","DEN","RB","3","3","4","1.3","1.33","0","0","0","0.0%","0","0.0%","0.0%","0.0%","66.7%","66.7%","33.3%","0.0%","0.0%","0.0%","0.0%","0","0.00","4","1.33","100.0%","0.00","1","33.3%","4","0","4.00","100.0%","2","66.7%","0","0","0.00","0.0%","0.6","1.7","3.4","1.1"
"150","Keith Smith","ATL","FB","17","1","2","0.1","2.00","0","0","1","0.0%","0","0.0%","0.0%","0.0%","0.0%","100.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0","0.00","3","3.00","150.0%","-1.00","0","0.0%","0","0","0.00","0.0%","0","0.0%","0","0","0.00","0.0%","0.1","2.0","5.6","0.3"
"151","Damien Williams","ATL","RB","1","2","2","2.0","1.00","0","0","0","0.0%","0","0.0%","0.0%","0.0%","100.0%","50.0%","0.0%","0.0%","0.0%","0.0%","0.0%","1","0.50","4","2.00","200.0%","-1.00","1","50.0%","2","0","2.00","0.0%","1","50.0%","0","0","0.00","0.0%","0.2","0.2","1.0","1.0"
"152","Jordan Howard","NO","RB","2","1","1","0.5","1.00","0","0","0","0.0%","0","0.0%","0.0%","0.0%","100.0%","100.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0","0.00","2","2.00","200.0%","-1.00","0","0.0%","0","0","0.00","0.0%","1","100.0%","1","0","1.00","0.0%","0.1","0.1","0.5","0.2"
"153","Demetric Felton","CLV","RB","6","1","-4","-0.7","-4.00","0","0","0","0.0%","0","0.0%","0.0%","0.0%","100.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","1","1.00","1","1.00","-25.0%","-5.00","0","0.0%","0","0","0.00","0.0%","0","0.0%","0","0","0.00","0.0%","0.4","2.4","6.3","1.0"
"154","Tyler Badie","DEN","RB","1","1","0","0.0","-","0","0","0","0.0%","0","0.0%","0.0%","0.0%","100.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0","0.00","-","-","0.0%","0.00","1","100.0%","0","0","0.00","0.0%","0","0.0%","0","0","0.00","0.0%","9.4","9.4","1.4","1.4"
