"RK","PLAYER NAME",TEAM,"OPP","MATCHUP RATING","START/SIT","PROJ. FPTS","AVG. POINTS ","% GAMES ","OPPORTUNITY ","EFFICIENCY "
"90","DJ Chark Jr.",CAR,"vs. NO","4.2","F","4.5","-0.6","44% (4/9)","0%","N/A"
"91","Mack Hollins",ATL,"vs. GB","4.6","F","4.4","+1.1","50% (8/16)","0%","N/A"
"92","Chase Claypool",CHI,"at TB","6.8","F","4.3","-1.8","28% (4/14)","0%","N/A"
"93","Quez Watkins",PHI,"vs. MIN","6.4","F","4.3","+0.6","50% (8/16)","0%","Bad"
"94","Nick Westbrook-Ikhine",TEN,"vs. LAC","5.6","F","4.1","-0.4","37% (6/16)","23%","Bad"
"95","Kayshon Boutte",NE,"vs. MIA","3.6","F","4.1","-3.2","0% (0/1)","32%","Bad"
"96","Richie James Jr.",KC,"at JAC","7.2","F","3.9","+0.2","42% (6/14)","1%","Bad"
"97","Laviska Shenault Jr.",CAR,"vs. NO","4.0","F","3.7","+0.5","38% (5/13)","5%","Bad"
"98","Mecole Hardman Jr.",NYJ,"at DAL","7.2","F","3.7","+1.7","44% (4/9)","0%","N/A"
"99","Sterling Shepard",NYG,"at ARI","8.0","F","3.6","-2.6","0% (0/3)","1%","N/A"
"100","Cedric Tillman",CLE,"at PIT","6.8","F","3.6","-1.8","0% (0/1)","0%","N/A"
"101","Jauan Jennings",SF,"at LAR","6.8","F","3.5","-0.4","33% (5/15)","0%","N/A"
"102","John Metchie III",HOU,"vs. IND","3.6","F","3.4","-","-","0%","N/A"
"103","Randall Cobb",NYJ,"at DAL","6.0","F","3.3","-0.1","50% (6/12)","0%","N/A"
"104","Nelson Agholor",BAL,"at CIN","6.4","F","3.2","-1.3","13% (2/15)","0%","N/A"
"105","Trent Sherfield",BUF,"vs. LV","6.6","F","3.1","+0.7","37% (6/16)","0%","N/A"
"106","Isaiah McKenzie",IND,"at HOU","6.2","F","3.0","-0.5","33% (5/15)","0%","N/A"
"107","Braxton Berrios",MIA,"at NE","7.2","F","3.0","-0.9","37% (6/16)","4%","Bad"
"108","Devin Duvernay",BAL,"at CIN","6.0","F","3.0","-0.9","42% (6/14)","0%","N/A"
"109","Marquez Callaway",LV,"at BUF","6.8","F","2.9","-1.7","16% (2/12)","0%","N/A"
"110","Trey Palmer",TB,"vs. CHI","-","F","2.9","+3.8","100% (1/1)","14%","Great"
"111","Deonte Harty",BUF,"vs. LV","-","F","2.8","-2.1","0% (0/4)","0%","N/A"
"112","Demario Douglas",NE,"vs. MIA","-","F","2.7","+0.4","100% (1/1)","8%","Bad"
"113","Kalif Raymond",DET,"vs. SEA","-","F","2.6","+0.5","43% (7/16)","0%","N/A"
"114","Justin Watson",KC,"at JAC","-","F","2.5","-0.7","29% (5/17)","6%","Bad"
"115","Diontae Johnson",PIT,"vs. CLE","5.2","F","2.4","-2.3","18% (3/16)","6%","Bad"
"116","Lil'Jordan Humphrey",DEN,"vs. WAS","-","F","2.2","-0.3","33% (2/6)","25%","Good"
"117","Justyn Ross",KC,"at JAC","-","F","2.1","-2.0","0% (0/1)","0%","N/A"
"118","Brandon Johnson",DEN,"vs. WAS","-","F","2.1","+0.2","100% (1/1)","26%","Bad"
"119","River Cracraft",MIA,"at NE","-","F","2.1","+2.4","42% (3/7)","13%","Great"
"120","Samori Toure",GB,"at ATL","-","F","2.0","+0.1","50% (3/6)","3%","Bad"
"121","Ben Skowronek",LAR,"vs. SF","-","F","1.9","-1.4","28% (4/14)","14%","Bad"
"122","Khalil Shakir",BUF,"vs. LV","6.4","F","1.6","-1.0","14% (2/14)","0%","N/A"
"123","Tyler Scott",CHI,"at TB","-","F","1.5","+2.1","100% (1/1)","0%","N/A"
"124","Olamide Zaccheaus",PHI,"vs. MIN","-","F","1.4","-0.2","37% (6/16)","0%","N/A"
"125","Jamal Agnew",JAC,"vs. KC","-","F","1.4","+1.0","35% (5/14)","4%","Bad"
"126","Deven Thompkins",TB,"vs. CHI","-","F","1.4","-","-","8%","Bad"
"127","Jalen Tolbert",DAL,"vs. NYJ","-","F","1.3","-2.7","0% (0/7)","2%","Bad"
"128","Greg Dortch",ARI,"vs. NYG","-","F","1.3","-0.7","28% (4/14)","0%","N/A"
"129","Chris Moore",TEN,"vs. LAC","-","F","1.2","-0.1","40% (6/15)","7%","Bad"
"130","Dontayvion Wicks",GB,"at ATL","-","F","1.1","-3.9","0% (0/1)","0%","N/A"
"131","Dyami Brown",WAS,"at DEN","-","F","1.0","-0.3","22% (2/9)","0%","N/A"
"132","Erik Ezukanma",MIA,"at NE","-","F","1.0","-0.2","0% (0/1)","1%","Bad"
"133","DeAndre Carter",LV,"at BUF","-","F","0.9","-1.2","35% (6/17)","0%","N/A"
"134","Zach Pascal",ARI,"vs. NYG","-","F","0.9","-0.6","21% (3/14)","0%","N/A"
"135","Trenton Irwin",CIN,"vs. BAL","-","F","0.9","+2.3","40% (4/10)","0%","N/A"
"136","Wan'Dale Robinson",NYG,"at ARI","-","F","0.9","+1.1","60% (3/5)","0%","N/A"
"137","Scott Miller",ATL,"vs. GB","-","F","0.8","-0.7","33% (5/15)","0%","N/A"
"138","Miles Boykin",PIT,"vs. CLE","-","F","0.8","-1.4","0% (0/7)","0%","N/A"
"139","KhaDarel Hodge",ATL,"vs. GB","-","F","0.8","-0.5","26% (4/15)","0%","N/A"
"140","KaVontae Turpin",DAL,"vs. NYJ","-","F","0.8","+0.3","14% (1/7)","10%","Great"
"141","Marquise Goodwin",CLE,"at PIT","-","F","0.7","+2.0","50% (6/12)","9%","Bad"
"142","Rakim Jarrett",TB,"vs. CHI","-","F","0.7","-1.3","0% (0/1)","0%","N/A"
"143","Xavier Hutchinson",HOU,"vs. IND","-","F","0.6","+0.6","100% (1/1)","0%","N/A"
"144","Jalen Nailor",MIN,"at PHI","-","F","0.6","-0.2","16% (1/6)","0%","N/A"
"145","Demarcus Robinson",LAR,"vs. SF","-","F","0.6","-0.4","37% (6/16)","0%","N/A"
"146","Phillip Dorsett II",DEN,"vs. WAS","-","F","0.6","-1.4","26% (4/15)","1%","Bad"
