"Rank","Name","Team","POS","G","Snaps","TM Snaps","Snap %","Snaps","TM Snaps","Snap %","Snaps","TM Snaps","Snap %","Snaps","TM Snaps","Snap %","Snaps","TM Snaps","Snap %","Snaps","TM Snaps","Snap %","FP/G","FP"
"429","Damien Williams","ATL","RB","1","10","71","14.1%","4","33","12.1%","6","38","15.8%","0","2","0.0%","0","5","0.0%","0","9","0.0%","0.2","0.2"
"430","Kevin Rader","TEN","TE","14","114","815","14.0%","89","381","23.4%","25","434","5.8%","6","21","28.6%","7","37","18.9%","13","93","14.0%","0.0","0.0"
"431","Hunter Long","MIA","TE","10","86","615","14.0%","54","227","23.8%","32","388","8.2%","5","16","31.3%","5","31","16.1%","14","78","17.9%","0.0","0.0"
"432","Keaontay Ingram","ARZ","RB","11","99","714","13.9%","40","245","16.3%","59","469","12.6%","3","15","20.0%","5","33","15.2%","16","84","19.0%","1.6","18.1"
"433","Dareke Young","SEA","WR","12","104","753","13.8%","70","284","24.6%","34","469","7.2%","1","18","5.6%","5","44","11.4%","13","119","10.9%","0.4","4.4"
"434","Jeremy Ruckert","NYJ","TE","5","42","305","13.8%","27","130","20.8%","15","175","8.6%","2","10","20.0%","4","20","20.0%","4","41","9.8%","0.4","1.8"
"435","Jesse James","CLV","TE","2","19","139","13.7%","11","69","15.9%","8","70","11.4%","1","5","20.0%","1","13","7.7%","1","24","4.2%","0.0","0.0"
"436","Ronnie Rivers","LA","RB","3","25","183","13.7%","12","84","14.3%","13","99","13.1%","1","13","7.7%","2","19","10.5%","5","36","13.9%","3.3","10.0"
"437","Willie Snead","SF","WR","4","30","221","13.6%","13","96","13.5%","17","125","13.6%","0","6","0.0%","3","12","25.0%","4","35","11.4%","0.0","0.0"
"438","Tim Jones","JAX","WR","16","136","1005","13.5%","76","387","19.6%","60","618","9.7%","7","46","15.2%","11","80","13.8%","21","168","12.5%","0.4","6.0"
"439","Sean McKeon","DAL","TE","13","118","881","13.4%","90","408","22.1%","28","473","5.9%","12","40","30.0%","18","76","23.7%","24","141","17.0%","0.2","3.1"
"440","Isaiah Spiller","LAC","RB","6","53","399","13.3%","23","109","21.1%","30","290","10.3%","1","18","5.6%","1","35","2.9%","1","70","1.4%","1.4","8.4"
"441","Stone Smartt","LAC","TE","7","63","477","13.2%","24","164","14.6%","39","313","12.5%","2","23","8.7%","5","43","11.6%","14","91","15.4%","0.8","5.7"
"442","Kirk Merritt","NO","WR","3","23","176","13.1%","16","98","16.3%","7","78","9.0%","0","5","0.0%","1","12","8.3%","4","32","12.5%","0.0","0.0"
"443","Avery Williams","ATL","RB","17","132","1011","13.1%","49","521","9.4%","83","490","16.9%","3","41","7.3%","6","80","7.5%","20","172","11.6%","2.1","35.0"
"444","Tyron Johnson","LV, HST","WR","4","31","238","13.0%","16","93","17.2%","15","145","10.3%","0","10","0.0%","0","16","0.0%","2","35","5.7%","0.5","1.8"
"445","Trent Taylor","CIN","WR","16","137","1053","13.0%","58","372","15.6%","79","681","11.6%","7","54","13.0%","15","89","16.9%","35","180","19.4%","0.8","12.7"
"446","Tyler Badie","DEN","RB","1","8","62","12.9%","4","33","12.1%","4","29","13.8%","0","3","0.0%","0","3","0.0%","0","7","0.0%","9.4","9.4"
"447","Stephen Anderson","ARZ","TE","14","120","934","12.8%","64","327","19.6%","56","607","9.2%","5","30","16.7%","11","56","19.6%","19","119","16.0%","0.3","3.9"
"448","Jalen Virgil","DEN","WR","9","73","569","12.8%","28","219","12.8%","45","350","12.9%","0","14","0.0%","0","22","0.0%","3","39","7.7%","1.6","14.5"
"449","Kyle Rudolph","TB","TE","9","79","621","12.7%","37","181","20.4%","42","440","9.5%","5","17","29.4%","15","48","31.3%","23","92","25.0%","1.3","11.8"
"450","Larry Rountree","LAC","RB","3","24","196","12.2%","17","83","20.5%","7","113","6.2%","0","12","0.0%","0","21","0.0%","1","40","2.5%","1.8","5.3"
