"Rank","Name","Team","POS","G","Snaps","TM Snaps","Snap %","Snaps","TM Snaps","Snap %","Snaps","TM Snaps","Snap %","Snaps","TM Snaps","Snap %","Snaps","TM Snaps","Snap %","Snaps","TM Snaps","Snap %","FP/G","FP"
"1","Michael Pittman","IND","WR","16","1020","1055","96.7%","378","404","93.6%","642","651","98.6%","32","34","94.1%","60","65","92.3%","137","145","94.5%","13.6","217.5"
"2","D.J. Moore","CAR","WR","17","941","976","96.4%","439","464","94.6%","502","512","98.0%","29","31","93.5%","52","54","96.3%","125","129","96.9%","11.7","199.1"
"3","Cooper Kupp","LA","WR","9","517","546","94.7%","176","187","94.1%","341","359","95.0%","22","23","95.7%","43","45","95.6%","75","79","94.9%","22.5","202.4"
"4","Davante Adams","LV","WR","17","990","1049","94.4%","372","403","92.3%","618","646","95.7%","24","33","72.7%","53","64","82.8%","117","133","88.0%","19.7","335.5"
"5","Cole Kmet","CHI","TE","17","936","993","94.3%","458","488","93.9%","478","505","94.7%","31","34","91.2%","57","61","93.4%","132","137","96.4%","8.7","147.3"
"6","Ja'Marr Chase","CIN","WR","12","751","800","93.9%","234","276","84.8%","517","524","98.7%","44","46","95.7%","67","70","95.7%","135","145","93.1%","20.4","244.4"
"7","Mack Hollins","LV","WR","17","978","1049","93.2%","370","403","91.8%","608","646","94.1%","24","33","72.7%","53","64","82.8%","120","133","90.2%","9.1","154.2"
"8","Justin Jefferson","MIN","WR","17","1033","1123","92.0%","340","390","87.2%","693","733","94.5%","46","53","86.8%","92","102","90.2%","176","189","93.1%","21.7","368.7"
"9","DeVonta Smith","PHI","WR","17","1031","1124","91.7%","429","499","86.0%","602","625","96.3%","51","55","92.7%","93","98","94.9%","179","191","93.7%","15.0","255.6"
"10","Dallas Goedert","PHI","TE","12","711","780","91.2%","308","341","90.3%","403","439","91.8%","33","38","86.8%","64","70","91.4%","132","138","95.7%","11.9","142.2"
"11","Gabe Davis","BUF","WR","15","883","972","90.8%","306","356","86.0%","577","616","93.7%","41","43","95.3%","72","75","96.0%","152","166","91.6%","11.5","172.6"
"12","Brandon Aiyuk","SF","WR","17","950","1047","90.7%","421","491","85.7%","529","556","95.1%","45","56","80.4%","82","95","86.3%","158","178","88.8%","13.5","228.8"
"13","Allen Robinson","LA","WR","10","550","608","90.5%","185","213","86.9%","365","395","92.4%","23","23","100.0%","46","46","100.0%","82","83","98.8%","8.5","84.9"
"14","Marquise Brown","ARZ","WR","12","738","817","90.3%","250","284","88.0%","488","533","91.6%","23","25","92.0%","37","42","88.1%","77","88","87.5%","13.0","156.0"
"15","George Kittle","SF","TE","15","822","910","90.3%","352","413","85.2%","470","497","94.6%","38","45","84.4%","69","78","88.5%","128","150","85.3%","13.4","201.5"
"16","Allen Lazard","GB","WR","15","832","927","89.8%","342","395","86.6%","490","532","92.1%","28","36","77.8%","54","63","85.7%","130","143","90.9%","11.7","174.8"
"17","Terry McLaurin","WAS","WR","17","1019","1140","89.4%","434","510","85.1%","585","630","92.9%","39","41","95.1%","78","82","95.1%","138","159","86.8%","13.5","229.0"
"18","Diontae Johnson","PIT","WR","17","989","1109","89.2%","374","468","79.9%","615","641","95.9%","19","38","50.0%","53","73","72.6%","126","153","82.4%","10.6","180.7"
"19","Donovan Peoples-Jones","CLV","WR","17","995","1116","89.2%","425","497","85.5%","570","619","92.1%","25","35","71.4%","60","72","83.3%","146","167","87.4%","9.5","162.1"
"20","Adam Thielen","MIN","WR","17","999","1123","89.0%","322","390","82.6%","677","733","92.4%","37","53","69.8%","83","102","81.4%","160","189","84.7%","10.6","180.0"
"21","Courtland Sutton","DEN","WR","15","835","942","88.6%","299","365","81.9%","536","577","92.9%","27","29","93.1%","47","49","95.9%","77","83","92.8%","10.6","159.4"
"22","DeAndre Hopkins","ARZ","WR","9","522","593","88.0%","162","202","80.2%","360","391","92.1%","10","11","90.9%","24","27","88.9%","69","75","92.0%","17.0","152.7"
"23","Christian Kirk","JAX","WR","17","939","1072","87.6%","321","424","75.7%","618","648","95.4%","42","48","87.5%","74","84","88.1%","155","176","88.1%","14.3","242.9"
"24","Tyler Higbee","LA","TE","17","875","1001","87.4%","347","388","89.4%","528","613","86.1%","25","32","78.1%","58","69","84.1%","111","131","84.7%","8.9","152.0"
"25","CeeDee Lamb","DAL","WR","17","972","1114","87.3%","403","514","78.4%","569","600","94.8%","19","41","46.3%","56","80","70.0%","125","155","80.6%","17.7","301.6"
"26","Zay Jones","JAX","WR","16","876","1026","85.4%","312","405","77.0%","564","621","90.8%","39","46","84.8%","71","81","87.7%","150","170","88.2%","12.4","198.1"
"27","T.J. Hockenson","DET, MIN","TE","17","957","1123","85.2%","315","405","77.8%","642","718","89.4%","49","57","86.0%","80","94","85.1%","147","171","86.0%","12.7","216.4"
"28","A.J. Brown","PHI","WR","17","957","1124","85.1%","379","499","76.0%","578","625","92.5%","43","55","78.2%","83","98","84.7%","163","191","85.3%","17.7","301.6"
"29","Parris Campbell","IND","WR","17","937","1103","85.0%","333","417","79.9%","604","686","88.0%","28","36","77.8%","57","70","81.4%","122","152","80.3%","8.8","149.1"
"30","Mike Evans","TB","WR","15","885","1046","84.6%","258","348","74.1%","627","698","89.8%","34","38","89.5%","70","76","92.1%","134","150","89.3%","15.0","225.4"
"31","Mark Andrews","BLT","TE","15","766","912","84.0%","327","418","78.2%","439","494","88.9%","29","31","93.5%","58","64","90.6%","130","150","86.7%","12.7","190.5"
"32","Amari Cooper","CLV","WR","17","935","1116","83.8%","371","497","74.6%","564","619","91.1%","25","35","71.4%","52","72","72.2%","132","167","79.0%","14.5","247.0"
"33","David Njoku","CLV","TE","14","769","924","83.2%","326","397","82.1%","443","527","84.1%","24","31","77.4%","49","63","77.8%","125","150","83.3%","10.2","143.0"
"34","Darnell Mooney","CHI","WR","12","604","726","83.2%","291","377","77.2%","313","349","89.7%","23","32","71.9%","40","52","76.9%","94","112","83.9%","8.5","101.5"
"35","Brandin Cooks","HST","WR","13","635","775","81.9%","203","266","76.3%","432","509","84.9%","8","15","53.3%","30","38","78.9%","72","96","75.0%","11.2","145.6"
"36","Rondale Moore","ARZ","WR","8","439","537","81.8%","158","194","81.4%","281","343","81.9%","13","18","72.2%","21","32","65.6%","60","77","77.9%","11.0","87.9"
"37","Ben Skowronek","LA","WR","14","678","830","81.7%","252","302","83.4%","426","528","80.7%","26","27","96.3%","50","58","86.2%","88","105","83.8%","6.0","84.3"
"38","DK Metcalf","SEA","WR","17","852","1044","81.6%","275","392","70.2%","577","652","88.5%","15","19","78.9%","44","53","83.0%","129","153","84.3%","13.5","228.8"
"39","Chris Godwin","TB","WR","15","839","1035","81.1%","256","338","75.7%","583","697","83.6%","28","39","71.8%","65","79","82.3%","129","153","84.3%","15.0","224.8"
"40","Saquon Barkley","NYG","RB","16","826","1026","80.5%","370","440","84.1%","456","586","77.8%","33","38","86.8%","55","68","80.9%","94","124","75.8%","17.8","284.0"
"41","Dawson Knox","BUF","TE","15","791","983","80.5%","290","364","79.7%","501","619","80.9%","43","44","97.7%","71","77","92.2%","144","173","83.2%","9.0","135.7"
"42","Dalton Schultz","DAL","TE","15","795","989","80.4%","335","458","73.1%","460","531","86.6%","33","37","89.2%","65","71","91.5%","122","136","89.7%","9.6","143.7"
"43","Josh Palmer","LAC","WR","16","871","1085","80.3%","257","369","69.6%","614","716","85.8%","21","41","51.2%","58","85","68.2%","139","184","75.5%","10.6","169.3"
"44","Sterling Shepard","NYG","WR","3","156","195","80.0%","56","73","76.7%","100","122","82.0%","4","5","80.0%","8","9","88.9%","15","19","78.9%","11.5","34.4"
"45","Garrett Wilson","NYJ","WR","17","859","1074","80.0%","262","386","67.9%","597","688","86.8%","20","32","62.5%","44","62","71.0%","99","139","71.2%","12.7","216.7"
"46","Zach Ertz","ARZ","TE","10","550","688","79.9%","164","236","69.5%","386","452","85.4%","24","29","82.8%","40","50","80.0%","77","102","75.5%","11.6","115.6"
"47","Travis Kelce","KC","TE","17","870","1094","79.5%","243","371","65.5%","627","723","86.7%","56","65","86.2%","98","121","81.0%","174","217","80.2%","18.7","317.3"
"48","Drake London","ATL","WR","17","795","1011","78.6%","376","521","72.2%","419","490","85.5%","30","41","73.2%","63","80","78.8%","137","172","79.7%","10.7","181.6"
"49","Jakobi Meyers","NE","WR","14","651","828","78.6%","234","328","71.3%","417","500","83.4%","22","30","73.3%","39","54","72.2%","80","103","77.7%","13.0","182.3"
"50","Tyler Lockett","SEA","WR","16","763","971","78.6%","229","363","63.1%","534","608","87.8%","13","17","76.5%","37","49","75.5%","110","146","75.3%","15.0","239.3"
"51","Amon-Ra St. Brown","DET","WR","16","806","1026","78.6%","319","441","72.3%","487","585","83.2%","42","58","72.4%","73","95","76.8%","146","182","80.2%","16.7","267.6"
"52","Robert Woods","TEN","WR","17","778","992","78.4%","316","463","68.3%","462","529","87.3%","14","27","51.9%","30","50","60.0%","82","118","69.5%","6.9","116.7"
"53","Van Jefferson","LA","WR","11","488","626","78.0%","189","265","71.3%","299","361","82.8%","10","16","62.5%","27","38","71.1%","56","72","77.8%","7.2","78.9"
"54","Foster Moreau","LV","TE","15","714","919","77.7%","311","345","90.1%","403","574","70.2%","18","28","64.3%","36","54","66.7%","81","116","69.8%","5.7","86.2"
"55","Evan Engram","JAX","TE","17","825","1072","77.0%","277","424","65.3%","548","648","84.6%","38","48","79.2%","67","84","79.8%","134","176","76.1%","10.4","176.9"
"56","Stefon Diggs","BUF","WR","16","798","1037","77.0%","227","379","59.9%","571","658","86.8%","38","45","84.4%","66","78","84.6%","138","180","76.7%","19.8","316.6"
"57","Mike Williams","LAC","WR","13","685","893","76.7%","218","314","69.4%","467","579","80.7%","21","38","55.3%","53","78","67.9%","118","160","73.8%","13.6","176.5"
"58","Michael Gallup","DAL","WR","14","711","930","76.5%","288","440","65.5%","423","490","86.3%","14","36","38.9%","41","70","58.6%","99","139","71.2%","7.5","105.4"
"59","Deebo Samuel","SF","WR","13","627","821","76.4%","251","383","65.5%","376","438","85.8%","32","45","71.1%","60","76","78.9%","106","137","77.4%","13.1","170.4"
"60","Greg Dulcich","DEN","TE","10","482","632","76.3%","149","237","62.9%","333","395","84.3%","9","14","64.3%","22","28","78.6%","32","39","82.1%","8.6","86.1"
"61","George Pickens","PIT","WR","17","844","1109","76.1%","266","468","56.8%","578","641","90.2%","16","38","42.1%","46","73","63.0%","110","153","71.9%","9.8","166.5"
"62","Tyreek Hill","MIA","WR","17","765","1009","75.8%","229","372","61.6%","536","637","84.1%","26","31","83.9%","46","53","86.8%","97","126","77.0%","20.1","341.2"
"63","Tyler Conklin","NYJ","TE","17","814","1074","75.8%","278","386","72.0%","536","688","77.9%","26","32","81.3%","47","62","75.8%","103","139","74.1%","7.7","131.5"
"64","Terrace Marshall","CAR","WR","14","618","816","75.7%","298","402","74.1%","320","414","77.3%","23","29","79.3%","44","50","88.0%","95","116","81.9%","5.9","83.0"
"65","Hunter Henry","NE","TE","17","761","1006","75.6%","304","404","75.2%","457","602","75.9%","29","37","78.4%","51","65","78.5%","102","127","80.3%","6.1","103.9"
"66","Jahan Dotson","WAS","WR","12","630","835","75.4%","253","380","66.6%","377","455","82.9%","24","33","72.7%","49","62","79.0%","93","121","76.9%","10.9","130.6"
"67","Nick Westbrook-Ikhine","TEN","WR","17","747","992","75.3%","329","463","71.1%","418","529","79.0%","16","27","59.3%","30","50","60.0%","88","118","74.6%","4.9","82.7"
"68","Josh Jacobs","LV","RB","17","789","1049","75.2%","362","403","89.8%","427","646","66.1%","27","33","81.8%","47","64","73.4%","95","133","71.4%","19.4","329.3"
"69","Noah Brown","DAL","WR","16","789","1057","74.6%","327","485","67.4%","462","572","80.8%","19","40","47.5%","44","76","57.9%","100","146","68.5%","7.2","115.5"
"70","K.J. Osborn","MIN","WR","17","831","1123","74.0%","236","390","60.5%","595","733","81.2%","29","53","54.7%","69","102","67.6%","138","189","73.0%","9.2","155.6"
"71","Keenan Allen","LAC","WR","10","503","680","74.0%","148","230","64.3%","355","450","78.9%","20","34","58.8%","40","58","69.0%","89","120","74.2%","16.5","165.0"
"72","Jaylen Waddle","MIA","WR","17","745","1009","73.8%","224","372","60.2%","521","637","81.8%","25","31","80.6%","44","53","83.0%","95","126","75.4%","15.3","260.2"
"73","Christian McCaffrey","SF, CAR","RB","17","738","1014","72.8%","292","447","65.3%","446","567","78.7%","26","38","68.4%","46","69","66.7%","107","157","68.2%","21.0","356.4"
