"Rank","Name","Team","POS","G","RTE","TGT","TPRR","RTE %","YPRR","RTE","WIDE RTE %","TM RTE %","TGT","TPRR","RTE %","YPRR","RTE","SLOT RTE %","TM RTE %","TGT","TPRR","RTE %","YPRR","RTE","INLINE RTE %","TM RTE %","TGT","TPRR","RTE %","YPRR","RTE","BACK RTE %","TM RTE %","TGT","TPRR","RTE %","YPRR"
"461","Jeremy Sprinkle","DAL","TE","17","15","3","0.20","2.1%","2.07","1","6.7%","0.1%","0","0.00","0.1%","0.00","1","6.7%","0.1%","1","1.00","0.1%","10.00","13","86.7%","4.7%","2","0.15","1.9%","1.62","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"462","Kene Nwangwu","MIN","RB","9","15","5","0.33","4.6%","0.60","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","2","13.3%","0.7%","1","0.50","0.6%","3.00","13","86.7%","5.8%","4","0.31","4.0%","0.23"
"463","David Moore","DEN, GB","WR","3","14","2","0.14","10.9%","0.00","1","7.1%","0.5%","0","0.00","0.8%","0.00","13","92.9%","9.4%","2","0.15","10.1%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"464","Nick Bawden","NYJ","RB","8","14","1","0.07","5.0%","1.43","4","28.6%","0.8%","0","0.00","1.4%","0.00","2","14.3%","0.5%","1","0.50","0.7%","10.00","5","35.7%","3.8%","0","0.00","1.8%","0.00","3","21.4%","1.7%","0","0.00","1.1%","0.00"
"465","Brycen Hopkins","LA","TE","5","14","1","0.07","7.8%","0.64","3","21.4%","0.9%","1","0.33","1.7%","3.00","2","14.3%","0.7%","0","0.00","1.1%","0.00","9","64.3%","10.3%","0","0.00","5.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"466","Tarik Black","NYJ","WR","1","13","2","0.15","41.9%","0.77","11","84.6%","19.6%","1","0.09","35.5%","0.00","2","15.4%","4.8%","1","0.50","6.5%","5.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"467","Davion Davis","HST","WR","2","13","3","0.23","14.8%","1.31","4","30.8%","2.5%","0","0.00","4.5%","0.00","9","69.2%","9.4%","3","0.33","10.2%","1.89","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"468","Wendell Smallwood","WAS","RB","2","13","4","0.31","17.6%","1.69","1","7.7%","0.9%","0","0.00","1.4%","0.00","1","7.7%","1.0%","0","0.00","1.4%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","11","84.6%","23.9%","3","0.27","14.9%","1.55"
"469","Frank Darby","ATL","WR","7","13","4","0.31","5.4%","1.08","12","92.3%","2.7%","3","0.25","5.0%","0.00","1","7.7%","0.3%","1","1.00","0.4%","14.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"470","Wayne Gallman","ATL, MIN","RB","7","13","3","0.23","4.8%","1.62","1","7.7%","0.2%","0","0.00","0.4%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","12","92.3%","6.6%","3","0.25","4.4%","1.75"
"471","Isaiah Coulter","CHI","WR","2","13","1","0.08","16.0%","0.00","13","100.0%","8.7%","1","0.08","16.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"472","Gabe Nabers","LAC","FB","9","13","3","0.23","3.5%","1.31","0","0.0%","0.0%","0","0.00","0.0%","0.00","1","7.7%","0.2%","0","0.00","0.3%","0.00","2","15.4%","1.1%","0","0.00","0.5%","0.00","10","76.9%","3.9%","3","0.30","2.7%","1.70"
"473","Dan Chisena","MIN","WR","6","12","0","0.00","4.8%","0.00","4","33.3%","0.9%","0","0.00","1.6%","0.00","6","50.0%","2.1%","0","0.00","2.4%","0.00","2","16.7%","1.0%","0","0.00","0.8%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"474","La'Mical Perine","NYJ","RB","3","12","0","0.00","8.3%","0.00","1","8.3%","0.4%","0","0.00","0.7%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","11","91.7%","11.0%","0","0.00","7.6%","0.00"
"475","Andrew Beck","DEN","TE","12","12","0","0.00","2.7%","0.00","1","8.3%","0.1%","0","0.00","0.2%","0.00","1","8.3%","0.2%","0","0.00","0.2%","0.00","5","41.7%","1.5%","0","0.00","1.1%","0.00","5","41.7%","1.5%","0","0.00","1.1%","0.00"
"476","Jake Funk","LA","RB","6","12","0","0.00","5.8%","0.00","3","25.0%","0.8%","0","0.00","1.5%","0.00","2","16.7%","0.6%","0","0.00","1.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","7","58.3%","6.3%","0","0.00","3.4%","0.00"
"477","Mike Boone","DEN","RB","5","12","2","0.17","6.2%","1.83","1","8.3%","0.3%","0","0.00","0.5%","0.00","2","16.7%","0.9%","1","0.50","1.0%","1.50","0","0.0%","0.0%","0","0.00","0.0%","0.00","9","75.0%","5.6%","1","0.11","4.7%","2.11"
"478","Travis Benjamin","SF","WR","10","12","4","0.33","3.9%","0.00","11","91.7%","2.0%","3","0.27","3.6%","0.00","1","8.3%","0.3%","1","1.00","0.3%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"479","Malik Taylor","GB","WR","10","11","3","0.27","2.9%","1.27","7","63.6%","1.1%","2","0.29","1.9%","1.00","4","36.4%","0.8%","1","0.25","1.1%","1.75","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"480","Austin Walter","NYJ","RB","4","11","3","0.27","8.1%","0.82","0","0.0%","0.0%","0","0.00","0.0%","0.00","2","18.2%","1.0%","1","0.50","1.5%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","9","81.8%","12.5%","2","0.22","6.7%","1.00"
"481","Ryquell Armstead","JAX","RB","2","11","4","0.36","16.4%","1.45","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","11","100.0%","23.4%","4","0.36","16.4%","1.45"
"482","Jason Huntley","PHI","RB","1","11","1","0.09","27.5%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","11","100.0%","42.3%","1","0.09","27.5%","0.00"
"483","Jaylen Samuels","HST","RB","3","11","4","0.36","11.1%","1.27","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","11","100.0%","16.2%","4","0.36","11.1%","1.27"
"484","Cethan Carter","MIA","TE","12","11","2","0.18","2.3%","1.45","3","27.3%","0.3%","0","0.00","0.6%","0.00","5","45.5%","0.7%","1","0.20","1.0%","1.60","3","27.3%","2.1%","1","0.33","0.6%","2.67","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"485","Tommy Hudson","TEN","TE","4","11","5","0.45","5.9%","2.82","5","45.5%","1.4%","2","0.40","2.7%","0.60","3","27.3%","1.0%","1","0.33","1.6%","0.00","3","27.3%","4.6%","1","0.33","1.6%","4.67","0","0.0%","0.0%","0","0.00","0.0%","0.00"
