"Rank","Name","Team","POS","G","RTE","TGT","TPRR","RTE %","YPRR","RTE","WIDE RTE %","TM RTE %","TGT","TPRR","RTE %","YPRR","RTE","SLOT RTE %","TM RTE %","TGT","TPRR","RTE %","YPRR","RTE","INLINE RTE %","TM RTE %","TGT","TPRR","RTE %","YPRR","RTE","BACK RTE %","TM RTE %","TGT","TPRR","RTE %","YPRR"
"1","Stefon Diggs","BUF","WR","17","623","156","0.25","85.5%","1.97","489","78.5%","36.4%","130","0.27","67.1%","2.04","132","21.2%","11.6%","25","0.19","18.1%","1.69","0","0.0%","0.0%","0","0.00","0.0%","0.00","2","0.3%","0.4%","1","0.50","0.3%","2.00"
"2","Marquise Brown","BLT","WR","16","620","141","0.23","88.7%","1.63","428","69.0%","33.3%","88","0.21","61.2%","1.38","191","30.8%","16.4%","51","0.27","27.3%","2.16","0","0.0%","0.0%","0","0.00","0.0%","0.00","1","0.2%","0.2%","1","1.00","0.1%","3.00"
"3","Keenan Allen","LAC","WR","16","615","148","0.24","87.1%","1.85","215","35.0%","16.9%","67","0.31","30.5%","2.33","395","64.2%","37.8%","77","0.19","55.9%","1.57","4","0.7%","1.4%","2","0.50","0.6%","2.25","1","0.2%","0.2%","1","1.00","0.1%","7.00"
"4","Justin Jefferson","MIN","WR","17","613","164","0.27","94.3%","2.64","421","68.7%","36.9%","120","0.29","64.8%","2.82","187","30.5%","25.2%","42","0.22","28.8%","2.25","0","0.0%","0.0%","0","0.00","0.0%","0.00","5","0.8%","1.2%","1","0.20","0.8%","1.80"
"5","Mark Andrews","BLT","TE","17","609","151","0.25","82.0%","2.23","94","15.4%","6.9%","19","0.20","12.7%","2.54","388","63.7%","31.3%","105","0.27","52.2%","2.24","125","20.5%","42.8%","27","0.22","16.8%","2.03","2","0.3%","0.5%","0","0.00","0.3%","0.00"
"6","D.J. Moore","CAR","WR","17","605","158","0.26","88.8%","1.91","485","80.2%","38.8%","119","0.25","71.2%","1.93","113","18.7%","11.2%","35","0.31","16.6%","1.67","0","0.0%","0.0%","0","0.00","0.0%","0.00","7","1.2%","1.6%","4","0.57","1.0%","4.29"
"7","Diontae Johnson","PIT","WR","16","602","166","0.28","93.3%","1.93","561","93.2%","46.9%","154","0.27","87.0%","1.99","41","6.8%","4.9%","10","0.24","6.4%","1.12","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"8","Robby Anderson","CAR","WR","17","601","105","0.17","88.3%","0.86","374","62.2%","29.9%","65","0.17","54.9%","0.73","227","37.8%","22.5%","40","0.18","33.3%","1.08","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"9","Marvin Jones","JAX","WR","17","600","117","0.20","89.8%","1.39","431","71.8%","35.1%","86","0.20","64.5%","1.36","168","28.0%","15.5%","30","0.18","25.1%","1.42","1","0.2%","0.4%","1","1.00","0.1%","8.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"10","Cooper Kupp","LA","WR","17","591","186","0.31","91.3%","3.29","196","33.2%","16.3%","59","0.30","30.3%","2.53","380","64.3%","36.1%","118","0.31","58.7%","3.67","0","0.0%","0.0%","0","0.00","0.0%","0.00","15","2.5%","4.4%","9","0.60","2.3%","3.87"
"11","Travis Kelce","KC","TE","16","590","130","0.22","82.1%","1.91","158","26.8%","12.0%","30","0.19","22.0%","1.64","282","47.8%","24.2%","63","0.22","39.2%","1.95","149","25.3%","53.2%","35","0.23","20.7%","1.91","1","0.2%","0.2%","1","1.00","0.1%","19.00"
"12","Darnell Mooney","CHI","WR","17","590","132","0.22","89.8%","1.79","321","54.4%","26.8%","70","0.22","48.9%","1.65","265","44.9%","25.7%","60","0.23","40.3%","1.78","0","0.0%","0.0%","0","0.00","0.0%","0.00","4","0.7%","0.9%","0","0.00","0.6%","0.00"
"13","Mike Evans","TB","WR","16","589","112","0.19","80.5%","1.76","388","65.9%","29.6%","86","0.22","53.0%","1.96","201","34.1%","19.2%","26","0.13","27.5%","1.36","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"14","Tyreek Hill","KC","WR","17","574","159","0.28","76.4%","2.16","259","45.1%","18.8%","76","0.29","34.5%","2.19","312","54.4%","25.6%","79","0.25","41.5%","2.10","3","0.5%","1.0%","3","1.00","0.4%","5.67","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"15","Jaylen Waddle","MIA","WR","16","571","139","0.24","87.0%","1.78","215","37.7%","18.4%","55","0.26","32.8%","2.33","349","61.1%","33.6%","81","0.23","53.2%","1.43","0","0.0%","0.0%","0","0.00","0.0%","0.00","7","1.2%","2.0%","3","0.43","1.1%","2.29"
"16","Terry McLaurin","WAS","WR","17","570","124","0.22","89.8%","1.85","410","71.9%","35.9%","79","0.19","64.6%","1.81","160","28.1%","14.4%","45","0.28","25.2%","1.94","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"17","Ja'Marr Chase","CIN","WR","17","565","120","0.21","89.7%","2.58","463","81.9%","39.2%","100","0.22","73.5%","2.49","98","17.3%","10.5%","18","0.18","15.6%","2.94","1","0.2%","0.3%","1","1.00","0.2%","3.00","3","0.5%","0.8%","0","0.00","0.5%","0.00"
"18","Mike Williams","LAC","WR","16","561","124","0.22","80.0%","2.04","467","83.2%","37.1%","109","0.23","66.6%","2.02","94","16.8%","9.1%","15","0.16","13.4%","2.17","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"19","Michael Pittman","IND","WR","17","533","123","0.23","92.1%","2.03","434","81.4%","41.6%","103","0.24","75.0%","2.12","99","18.6%","11.3%","19","0.19","17.1%","1.62","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"20","Davante Adams","GB","WR","16","533","166","0.31","87.5%","2.91","357","67.0%","35.3%","93","0.26","58.6%","2.66","175","32.8%","20.6%","73","0.42","28.7%","3.45","1","0.2%","0.3%","0","0.00","0.2%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"21","Courtland Sutton","DEN","WR","17","529","98","0.19","87.7%","1.47","459","86.8%","42.5%","84","0.18","76.1%","1.44","69","13.0%","9.4%","14","0.20","11.4%","1.70","1","0.2%","0.2%","0","0.00","0.2%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"22","Chris Godwin","TB","WR","14","526","123","0.23","82.1%","2.10","157","29.8%","13.7%","42","0.27","24.5%","2.27","368","70.0%","40.4%","81","0.22","57.4%","2.03","0","0.0%","0.0%","0","0.00","0.0%","0.00","1","0.2%","0.2%","0","0.00","0.2%","0.00"
"23","Van Jefferson","LA","WR","17","523","88","0.17","80.8%","1.53","342","65.4%","28.5%","68","0.20","52.9%","1.78","180","34.4%","17.1%","20","0.11","27.8%","1.08","1","0.2%","0.4%","0","0.00","0.2%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"24","Jakobi Meyers","NE","WR","17","521","123","0.24","90.1%","1.66","166","31.9%","15.6%","37","0.22","28.7%","1.88","354","67.9%","41.1%","86","0.24","61.2%","1.56","0","0.0%","0.0%","0","0.00","0.0%","0.00","1","0.2%","0.2%","0","0.00","0.2%","0.00"
"25","Brandin Cooks","HST","WR","16","521","129","0.25","88.8%","1.99","335","64.3%","31.5%","85","0.25","57.1%","2.01","182","34.9%","26.0%","43","0.24","31.0%","1.97","0","0.0%","0.0%","0","0.00","0.0%","0.00","4","0.8%","1.0%","1","0.25","0.7%","1.75"
"26","Hunter Renfrow","LV","WR","17","520","126","0.24","75.8%","2.00","183","35.2%","14.8%","55","0.30","26.7%","2.36","336","64.6%","36.1%","70","0.21","49.0%","1.79","0","0.0%","0.0%","0","0.00","0.0%","0.00","1","0.2%","0.2%","1","1.00","0.1%","5.00"
"27","Christian Kirk","ARZ","WR","17","519","101","0.19","78.4%","1.89","103","19.8%","8.7%","25","0.24","15.6%","2.11","416","80.2%","38.7%","73","0.18","62.8%","1.82","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"28","CeeDee Lamb","DAL","WR","17","515","116","0.23","73.5%","2.14","289","56.1%","22.7%","68","0.24","41.2%","2.41","221","42.9%","20.3%","46","0.21","31.5%","1.77","0","0.0%","0.0%","0","0.00","0.0%","0.00","5","1.0%","1.2%","1","0.20","0.7%","1.20"
"29","Mike Gesicki","MIA","TE","17","513","109","0.21","74.7%","1.52","146","28.5%","11.9%","36","0.25","21.3%","1.55","327","63.7%","30.4%","64","0.20","47.6%","1.56","36","7.0%","15.3%","5","0.14","5.2%","0.78","4","0.8%","1.1%","2","0.50","0.6%","2.50"
"30","Dalton Schultz","DAL","TE","17","513","102","0.20","73.2%","1.58","64","12.5%","5.0%","14","0.22","9.1%","1.91","251","48.9%","23.0%","37","0.15","35.8%","1.19","191","37.2%","69.2%","49","0.26","27.2%","1.93","7","1.4%","1.6%","1","0.14","1.0%","1.57"
"31","Tyler Boyd","CIN","WR","16","509","89","0.17","85.3%","1.63","52","10.2%","4.6%","11","0.21","8.7%","1.54","457","89.8%","51.2%","77","0.17","76.5%","1.64","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"32","A.J. Green","ARZ","WR","16","501","90","0.18","79.3%","1.69","457","91.2%","40.1%","85","0.19","72.3%","1.62","44","8.8%","4.2%","5","0.11","7.0%","2.41","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"33","Amon-Ra St. Brown","DET","WR","17","498","115","0.23","77.6%","1.83","103","20.7%","8.8%","26","0.25","16.0%","2.33","382","76.7%","38.9%","79","0.21","59.5%","1.51","3","0.6%","1.2%","2","0.67","0.5%","17.00","10","2.0%","2.2%","7","0.70","1.6%","3.80"
"34","Bryan Edwards","LV","WR","16","497","57","0.11","75.6%","1.15","360","72.4%","30.4%","43","0.12","54.8%","0.82","135","27.2%","14.9%","14","0.10","20.5%","2.04","0","0.0%","0.0%","0","0.00","0.0%","0.00","2","0.4%","0.4%","0","0.00","0.3%","0.00"
"35","Kyle Pitts","ATL","TE","17","495","105","0.21","78.6%","2.07","172","34.7%","14.8%","43","0.25","27.3%","3.01","222","44.8%","24.5%","45","0.20","35.2%","1.86","100","20.2%","36.4%","17","0.17","15.9%","0.94","1","0.2%","0.3%","0","0.00","0.2%","0.00"
"36","Amari Cooper","DAL","WR","15","492","101","0.21","81.5%","1.76","350","71.1%","32.2%","79","0.23","57.9%","1.95","141","28.7%","15.3%","22","0.16","23.3%","1.29","1","0.2%","0.4%","0","0.00","0.2%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"37","Tim Patrick","DEN","WR","16","488","82","0.17","85.3%","1.50","357","73.2%","34.8%","55","0.15","62.4%","1.39","123","25.2%","17.6%","25","0.20","21.5%","1.66","8","1.6%","1.8%","2","0.25","1.4%","4.13","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"38","DK Metcalf","SEA","WR","17","488","128","0.26","85.9%","1.98","394","80.7%","38.1%","105","0.27","69.4%","1.96","93","19.1%","11.0%","22","0.24","16.4%","2.08","1","0.2%","0.4%","0","0.00","0.2%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"39","Cole Beasley","BUF","WR","16","487","106","0.22","71.6%","1.42","54","11.1%","4.3%","17","0.31","7.9%","1.26","430","88.3%","40.7%","87","0.20","63.2%","1.45","0","0.0%","0.0%","0","0.00","0.0%","0.00","3","0.6%","0.6%","0","0.00","0.4%","0.00"
"40","Chase Claypool","PIT","WR","15","485","101","0.21","79.0%","1.77","390","80.4%","34.5%","86","0.22","63.5%","1.74","93","19.2%","11.6%","15","0.16","15.1%","1.83","2","0.4%","0.5%","0","0.00","0.3%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"41","K.J. Osborn","MIN","WR","17","481","75","0.16","74.0%","1.36","242","50.3%","21.2%","36","0.15","37.2%","1.16","238","49.5%","32.1%","39","0.16","36.6%","1.58","0","0.0%","0.0%","0","0.00","0.0%","0.00","1","0.2%","0.2%","0","0.00","0.2%","0.00"
"42","Tyler Lockett","SEA","WR","16","479","103","0.22","89.7%","2.45","277","57.8%","28.6%","61","0.22","51.9%","2.37","201","42.0%","25.6%","41","0.20","37.6%","2.57","1","0.2%","0.4%","1","1.00","0.2%","1.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"43","Emmanuel Sanders","BUF","WR","14","478","69","0.14","78.6%","1.31","391","81.8%","35.0%","53","0.14","64.3%","1.28","87","18.2%","9.1%","15","0.17","14.3%","1.06","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"44","Zach Ertz","PHI, ARZ","TE","17","477","111","0.23","69.0%","1.60","44","9.2%","3.6%","10","0.23","6.4%","1.48","283","59.3%","26.2%","53","0.19","41.0%","0.98","141","29.6%","57.6%","45","0.32","20.4%","2.79","9","1.9%","1.9%","3","0.33","1.3%","3.00"
"45","Dawson Knox","BUF","TE","15","477","69","0.14","75.8%","1.23","65","13.6%","5.6%","11","0.17","10.3%","0.78","209","43.8%","21.4%","28","0.13","33.2%","1.31","175","36.7%","85.8%","26","0.15","27.8%","1.27","28","5.9%","6.3%","4","0.14","4.5%","1.46"
"46","Cole Kmet","CHI","TE","17","475","88","0.19","72.3%","1.29","76","16.0%","6.3%","9","0.12","11.6%","1.20","258","54.3%","25.0%","43","0.17","39.3%","1.06","131","27.6%","59.0%","30","0.23","19.9%","1.56","10","2.1%","2.3%","5","0.50","1.5%","4.40"
"47","DeVonta Smith","PHI","WR","17","475","101","0.21","82.0%","1.93","414","87.2%","41.2%","77","0.19","71.5%","1.90","57","12.0%","7.1%","23","0.40","9.8%","2.04","1","0.2%","0.4%","0","0.00","0.2%","0.00","3","0.6%","0.8%","1","0.33","0.5%","4.33"
"48","Tyler Higbee","LA","TE","15","473","81","0.17","81.4%","1.18","117","24.7%","10.9%","15","0.13","20.1%","1.02","125","26.4%","13.3%","22","0.18","21.5%","0.86","229","48.4%","89.1%","44","0.19","39.4%","1.45","2","0.4%","0.7%","0","0.00","0.3%","0.00"
"49","Tee Higgins","CIN","WR","14","468","108","0.23","85.9%","2.33","369","78.8%","36.2%","95","0.26","67.7%","2.62","97","20.7%","12.2%","13","0.13","17.8%","1.28","2","0.4%","0.6%","0","0.00","0.4%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"50","Zach Pascal","IND","WR","16","467","69","0.15","85.2%","0.82","94","20.1%","9.6%","17","0.18","17.2%","1.44","365","78.2%","43.9%","49","0.13","66.6%","0.64","8","1.7%","3.0%","2","0.25","1.5%","1.75","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"51","Jared Cook","LAC","TE","16","466","80","0.17","65.7%","1.21","88","18.9%","6.9%","14","0.16","12.4%","1.08","258","55.4%","24.6%","35","0.14","36.4%","0.67","119","25.5%","41.0%","31","0.26","16.8%","2.49","1","0.2%","0.2%","0","0.00","0.1%","0.00"
"52","Tyler Conklin","MIN","TE","17","460","85","0.18","70.8%","1.29","32","7.0%","2.8%","9","0.28","4.9%","1.91","50","10.9%","6.7%","10","0.20","7.7%","1.42","376","81.7%","75.7%","64","0.17","57.8%","1.18","2","0.4%","0.5%","0","0.00","0.3%","0.00"
"53","Brandon Aiyuk","SF","WR","17","459","83","0.18","81.2%","1.80","342","74.5%","34.1%","54","0.16","60.5%","1.56","116","25.3%","15.8%","29","0.25","20.5%","2.52","1","0.2%","0.3%","0","0.00","0.2%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"54","Deebo Samuel","SF","WR","16","457","117","0.26","85.6%","3.07","310","67.8%","32.7%","74","0.24","58.1%","2.93","139","30.4%","19.8%","40","0.29","26.0%","3.38","1","0.2%","0.3%","1","1.00","0.2%","12.00","7","1.5%","1.9%","1","0.14","1.3%","0.14"
"55","Demarcus Robinson","KC","WR","17","453","39","0.09","60.3%","0.58","387","85.4%","28.1%","32","0.08","51.5%","0.58","63","13.9%","5.2%","6","0.10","8.4%","0.63","3","0.7%","1.0%","1","0.33","0.4%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"56","Kalif Raymond","DET","WR","16","452","70","0.15","74.8%","1.27","300","66.4%","27.1%","45","0.15","49.7%","1.02","150","33.2%","16.1%","23","0.15","24.8%","1.28","1","0.2%","0.4%","1","1.00","0.2%","3.00","1","0.2%","0.2%","1","1.00","0.2%","75.00"
"57","Laviska Shenault","JAX","WR","16","446","97","0.22","71.4%","1.39","172","38.6%","14.9%","35","0.20","27.5%","1.47","265","59.4%","25.8%","57","0.22","42.4%","1.34","1","0.2%","0.4%","1","1.00","0.2%","-8.00","8","1.8%","2.0%","4","0.50","1.3%","2.50"
"58","C.J. Uzomah","CIN","TE","16","445","62","0.14","74.5%","1.11","66","14.8%","5.9%","2","0.03","11.1%","0.48","114","25.6%","12.8%","16","0.14","19.1%","1.17","251","56.4%","76.1%","43","0.17","42.0%","1.27","14","3.1%","4.0%","0","0.00","2.3%","0.00"
"59","Marquez Callaway","NO","WR","17","444","82","0.18","76.7%","1.57","355","80.0%","34.6%","61","0.17","61.3%","1.14","86","19.4%","11.0%","20","0.23","14.9%","3.42","3","0.7%","1.2%","1","0.33","0.5%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"60","Adam Thielen","MIN","WR","13","435","91","0.21","83.5%","1.67","327","75.2%","34.5%","69","0.21","62.8%","1.62","105","24.1%","17.4%","20","0.19","20.2%","1.88","1","0.2%","0.3%","0","0.00","0.2%","0.00","2","0.5%","0.6%","2","1.00","0.4%","-0.50"
"61","Noah Fant","DEN","TE","16","432","88","0.20","75.7%","1.55","36","8.3%","3.5%","4","0.11","6.3%","0.19","106","24.5%","15.2%","19","0.18","18.6%","1.35","285","66.0%","64.5%","63","0.22","49.9%","1.80","5","1.2%","1.1%","2","0.40","0.9%","1.40"
"62","Adam Humphries","WAS","WR","17","431","61","0.14","67.9%","0.89","105","24.4%","9.2%","23","0.22","16.5%","1.92","326","75.6%","29.3%","38","0.12","51.3%","0.56","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"63","Evan Engram","NYG","TE","15","424","69","0.16","72.6%","0.96","38","9.0%","3.7%","6","0.16","6.5%","0.76","305","71.9%","32.9%","46","0.15","52.2%","0.91","80","18.9%","42.3%","17","0.21","13.7%","1.28","1","0.2%","0.3%","0","0.00","0.2%","0.00"
"64","Mecole Hardman","KC","WR","17","418","80","0.19","55.7%","1.66","196","46.9%","14.2%","37","0.19","26.1%","1.89","218","52.2%","17.9%","41","0.19","29.0%","1.39","1","0.2%","0.3%","0","0.00","0.1%","0.00","3","0.7%","0.6%","1","0.33","0.4%","2.67"
"65","Jalen Reagor","PHI","WR","17","412","56","0.14","71.2%","0.73","326","79.1%","32.5%","45","0.14","56.3%","0.83","83","20.1%","10.3%","10","0.12","14.3%","0.36","0","0.0%","0.0%","0","0.00","0.0%","0.00","3","0.7%","0.8%","0","0.00","0.5%","0.00"
"66","Jalen Guyton","LAC","WR","16","411","47","0.11","58.6%","1.09","307","74.7%","24.4%","37","0.12","43.8%","0.92","104","25.3%","10.0%","10","0.10","14.8%","1.61","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"67","Najee Harris","PIT","RB","17","404","94","0.23","57.1%","1.16","38","9.4%","2.9%","8","0.21","5.4%","1.18","48","11.9%","5.2%","12","0.25","6.8%","1.23","0","0.0%","0.0%","0","0.00","0.0%","0.00","318","78.7%","81.7%","74","0.23","44.9%","1.14"
"68","Rashod Bateman","BLT","WR","12","403","64","0.16","74.2%","1.28","332","82.4%","33.0%","52","0.16","61.1%","1.31","71","17.6%","7.7%","12","0.17","13.1%","1.14","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"69","Odell Beckham","CLV, LA","WR","14","402","82","0.20","76.6%","1.34","325","80.8%","34.5%","67","0.21","61.9%","1.31","77","19.2%","9.9%","14","0.18","14.7%","1.38","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"70","Nelson Agholor","NE","WR","15","401","60","0.15","79.1%","1.18","370","92.3%","39.9%","52","0.14","73.0%","1.01","31","7.7%","4.1%","8","0.26","6.1%","3.19","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"71","Donovan Peoples-Jones","CLV","WR","14","400","58","0.15","80.8%","1.49","323","80.8%","36.3%","52","0.16","65.3%","1.80","76","19.0%","10.8%","4","0.05","15.4%","0.16","1","0.3%","0.3%","1","1.00","0.2%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"72","Hunter Henry","NE","TE","17","399","72","0.18","69.0%","1.51","52","13.0%","4.9%","8","0.15","9.0%","1.12","239","59.9%","27.7%","47","0.20","41.3%","1.35","107","26.8%","57.2%","17","0.16","18.5%","2.08","1","0.3%","0.2%","0","0.00","0.2%","0.00"
"73","Kenny Golladay","NYG","WR","14","394","74","0.19","73.6%","1.32","316","80.2%","33.4%","62","0.20","59.1%","1.47","78","19.8%","9.2%","12","0.15","14.6%","0.72","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"74","Allen Lazard","GB","WR","15","394","59","0.15","68.9%","1.30","202","51.3%","21.4%","25","0.12","35.3%","0.91","182","46.2%","22.8%","30","0.16","31.8%","1.52","10","2.5%","3.5%","3","0.30","1.7%","3.60","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"75","Kendrick Bourne","NE","WR","17","390","68","0.17","67.5%","2.05","244","62.6%","23.0%","41","0.17","42.2%","2.12","144","36.9%","16.7%","26","0.18","24.9%","1.90","0","0.0%","0.0%","0","0.00","0.0%","0.00","2","0.5%","0.5%","1","0.50","0.3%","4.50"
"76","Russell Gage","ATL","WR","14","383","92","0.24","76.4%","2.01","191","49.9%","20.5%","47","0.25","38.1%","2.37","190","49.6%","25.7%","44","0.23","37.9%","1.62","1","0.3%","0.5%","0","0.00","0.2%","0.00","1","0.3%","0.3%","1","1.00","0.2%","10.00"
"77","Zay Jones","LV","WR","17","382","69","0.18","55.7%","1.43","277","72.5%","22.3%","48","0.17","40.4%","1.33","105","27.5%","11.3%","21","0.20","15.3%","1.69","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"78","Ezekiel Elliott","DAL","RB","17","381","64","0.17","54.4%","0.75","57","15.0%","4.5%","7","0.12","8.1%","0.47","19","5.0%","1.7%","3","0.16","2.7%","0.37","9","2.4%","3.3%","2","0.22","1.3%","0.78","296","77.7%","68.8%","52","0.18","42.2%","0.78"
"79","T.J. Hockenson","DET","TE","12","380","82","0.22","81.5%","1.53","41","10.8%","4.8%","11","0.27","8.8%","1.39","214","56.3%","29.9%","39","0.18","45.9%","1.07","124","32.6%","64.6%","30","0.24","26.6%","2.40","1","0.3%","0.3%","1","1.00","0.2%","0.00"
"80","Darren Waller","LV","TE","11","380","90","0.24","83.3%","1.75","84","22.1%","10.0%","20","0.24","18.4%","1.50","119","31.3%","18.9%","24","0.20","26.1%","1.92","177","46.6%","65.6%","46","0.26","38.8%","1.76","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"81","Devin Duvernay","BLT","WR","16","378","44","0.12","53.9%","0.72","150","39.7%","11.7%","14","0.09","21.4%","0.41","224","59.3%","19.4%","30","0.13","32.0%","0.94","3","0.8%","1.1%","0","0.00","0.4%","0.00","1","0.3%","0.2%","0","0.00","0.1%","0.00"
"82","Byron Pringle","KC","WR","17","377","58","0.15","50.2%","1.51","135","35.8%","9.8%","22","0.16","18.0%","1.38","235","62.3%","19.3%","34","0.14","31.3%","1.58","7","1.9%","2.4%","2","0.29","0.9%","1.57","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"83","Austin Ekeler","LAC","RB","16","377","91","0.24","53.8%","1.72","24","6.4%","1.9%","5","0.21","3.4%","0.88","42","11.1%","4.1%","11","0.26","6.0%","1.40","0","0.0%","0.0%","0","0.00","0.0%","0.00","311","82.5%","62.1%","75","0.24","44.4%","1.82"
"84","Jamison Crowder","NYJ","WR","12","376","71","0.19","76.1%","1.19","76","20.2%","8.6%","12","0.16","15.4%","0.66","299","79.5%","41.3%","59","0.20","60.5%","1.33","1","0.3%","0.4%","0","0.00","0.2%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"85","Rob Gronkowski","TB","TE","12","374","88","0.24","67.1%","2.14","55","14.7%","5.4%","13","0.24","9.9%","1.87","106","28.3%","13.5%","21","0.20","19.0%","2.17","207","55.3%","65.3%","52","0.25","37.2%","2.13","6","1.6%","1.4%","1","0.17","1.1%","2.33"
"86","George Kittle","SF","TE","14","373","94","0.25","78.9%","2.44","33","8.8%","4.0%","8","0.24","7.0%","1.42","121","32.4%","19.8%","26","0.21","25.6%","2.01","208","55.8%","75.6%","58","0.28","44.0%","2.86","11","2.9%","3.4%","2","0.18","2.3%","2.27"
"87","Quez Watkins","PHI","WR","17","372","59","0.16","64.2%","1.74","101","27.2%","10.1%","16","0.16","17.4%","1.90","260","69.9%","32.3%","37","0.14","44.9%","1.46","11","3.0%","4.1%","5","0.45","1.9%","2.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"88","Damiere Byrd","CHI","WR","17","366","37","0.10","55.7%","0.90","191","52.2%","16.0%","23","0.12","29.1%","0.97","169","46.2%","16.4%","12","0.07","25.7%","0.50","0","0.0%","0.0%","0","0.00","0.0%","0.00","6","1.6%","1.4%","2","0.33","0.9%","10.00"
"89","Tyler Johnson","TB","WR","17","364","53","0.15","47.6%","0.99","228","62.6%","16.7%","29","0.13","29.8%","0.84","136","37.4%","12.5%","24","0.18","17.8%","1.24","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"90","Olamide Zaccheaus","ATL","WR","17","364","50","0.14","57.8%","1.12","202","55.5%","17.4%","34","0.17","32.1%","1.33","158","43.4%","17.4%","16","0.10","25.1%","0.87","3","0.8%","1.1%","0","0.00","0.5%","0.00","1","0.3%","0.3%","0","0.00","0.2%","0.00"
"91","Pat Freiermuth","PIT","TE","16","361","78","0.22","54.5%","1.38","29","8.0%","2.4%","9","0.31","4.4%","2.03","123","34.1%","14.2%","27","0.22","18.6%","1.49","209","57.9%","46.0%","42","0.20","31.6%","1.22","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"92","Nico Collins","HST","WR","14","355","58","0.16","67.5%","1.26","295","83.1%","31.2%","53","0.18","56.1%","1.47","60","16.9%","9.6%","4","0.07","11.4%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"93","Leonard Fournette","TB","RB","14","351","83","0.24","54.8%","1.29","40","11.4%","3.5%","7","0.18","6.2%","0.93","8","2.3%","0.9%","2","0.25","1.2%","2.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","303","86.3%","62.9%","73","0.24","47.3%","1.32"
"94","Darius Slayton","NYG","WR","13","348","55","0.16","68.4%","0.97","285","81.9%","31.5%","49","0.17","56.0%","1.09","61","17.5%","7.7%","6","0.10","12.0%","0.44","2","0.6%","1.2%","0","0.00","0.4%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
