"#","Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","AVG","TTL"
"54","Los Angeles Rams","DST","LAR","9","2","2","2","15","29","4","8","7","23","-","13","6","3","12","15","4","9.6","154"
"55","Dan Bailey","K","FA","13","14","7","3","12","7","5","17","11","5","-","6","7","4","24","6","12","9.6","153"
"56","Emmanuel Sanders","WR","FA","9.2","10.3","5.9","7.7","-","14.5","1.2","20.3","12.8","5.8","0.7","14.2","13.3","14.5","6.3","7.7","3.6","9.3","148"
"57","New England Patriots","DST","NE","5","16","12","4","12","5","12","14","10","BYE","3","10","2","1","6","28","5","9.1","145"
"58","Nick Folk","K","NE","12","4","10","9","13","6","13","13","16","BYE","2","3","3","16","10","6","8","9","144"
"59","Buffalo Bills","DST","BUF","15","8","4","15","4","5","14","0","6","6","19","BYE","7","5","12","21","2","8.9","143"
"60","Josh McCown","QB","FA","-","-","-","-","-","-","15.5","-","20.9","6.5","12.5","18.5","22.2","39.5","-","0.5","-","17","136.1"
"61","Indianapolis Colts","DST","IND","6","7","11","23","12","3","11","BYE","1","3","4","3","10","-4","17","17","11","8.4","135"
"61","Robbie Gould","K","FA","8","7","11","10","4","12","13","-","9","7","12","3","9","13","8","5","4","8.4","135"
"63","Graham Gano","K","NYG","1","11","10","-","8","5","14","7","12","6","7","11","9","8","13","6","3","8.2","131"
"64","Cordarrelle Patterson","RB","ATL","1.5","2.4","5.9","1.4","-","1.3","3.9","3.6","2.8","9.2","4.3","9.4","9.6","23.2","13.5","13.7","21.5","8","127.2"
"65","Tampa Bay Buccaneers","DST","TB","10","15","5","11","BYE","2","2","2","6","7","15","19","4","24","2","5","-3","7.9","126"
"65","Ryan Succop","K","FA","4","6","14","9","15","6","5","13","12","-","5","8","4","9","8","1","7","7.9","126"
"67","Philadelphia Eagles","DST","PHI","11","4","6","-3","9","5","7","10","8","9","9","BYE","11","8","1","21","6","7.6","122"
"67","Greg Zuerlein","K","NYJ","14","6","1","4","10","9","8","9","3","8","-","11","8","5","9","14","3","7.6","122"
"69","Miami Dolphins","DST","MIA","16","6","4","0","12","BYE","7","5","22","4","6","7","17","6","4","4","1","7.6","121"
"70","Jared Cook","TE","FA","27.6","1.5","6.9","6.5","4.1","5.5","5.3","4.6","11.1","2.2","-","16","6.4","6.4","1.3","3.7","11.5","7.5","120.6"
"71","New York Giants","DST","NYG","4","-2","1","6","-3","0","11","17","BYE","16","16","7","8","0","6","15","18","7.5","120"
"72","Mike Nugent","K","FA","3","9","4","7","9","11","12","7","10","5","12","-","6","6","2","6","10","7.4","119"
"73","Randy Bullock","K","FA","8","2","10","9","4","7","12","-","7","7","13","7","8","8","4","8","4","7.4","118"
"74","DeAndre Hopkins","WR","TEN","9.1","21.2","9","3.7","3.3","4.2","15.1","BYE","6.9","9.9","1.2","1.3","8.7","9.1","6.7","1.3","5.5","7.3","116.2"
"75","Dallas Cowboys","DST","DAL","26","6","12","8","0","8","16","8","12","-1","BYE","10","5","-3","0","2","7","7.3","116"
"75","Tennessee Titans","DST","TEN","13","11","6","23","7","13","2","BYE","6","7","0","5","7","-4","1","6","13","7.3","116"
"77","Denver Broncos","DST","DEN","9","9","3","11","4","10","0","20","BYE","5","6","14","1","5","2","11","5","7.2","115"
"78","Kenny Stills","WR","FA","9.6","1.5","0","5.8","0","13.9","-","26.8","5","15","1.6","3.2","0.8","3.2","7","3.6","14.1","6.9","111.1"
"79","Chicago Bears","DST","CHI","7","13","25","6","1","13","-1","BYE","8","2","14","-2","7","1","11","0","6","6.9","111"
"79","Cleveland Browns","DST","CLE","6","5","12","13","12","2","0","6","10","BYE","9","0","3","8","19","0","6","6.9","111"
"79","Baltimore Ravens","DST","BAL","1","12","15","8","7","8","6","BYE","4","12","3","16","1","2","8","1","7","6.9","111"
"82","Lamar Miller","RB","FA","1.5","14.5","6.9","13.3","1.5","-","5.2","12.7","12.9","2.1","4.7","6.7","9","4.3","6.6","0.8","8.2","6.9","110.9"
"83","Pittsburgh Steelers","DST","PIT","4","1","2","0","BYE","14","2","8","1","9","8","23","2","9","4","12","11","6.9","110"
"84","New Orleans Saints","DST","NO","8","9","12","13","6","6","BYE","11","2","4","6","11","0","9","0","7","5","6.8","109"
"85","Tavon Austin","WR","FA","7","20.5","6.3","1.6","4.7","0.8","4.4","1.9","0.6","27.2","-","17.4","5.5","7","-","-","-","8.1","104.9"
"86","Matt Schaub","QB","FA","23.8","19.9","5.8","18.7","0.9","7.4","-","-","-","-","6.2","-","-","10.6","-","7.5","3.9","10.5","104.8"
"87","Las Vegas Raiders","DST","LV","4","9","1","11","20","6","-","10","-3","16","6","3","9","2","0","7","3","6.5","104"
"88","Case Keenum","QB","HOU","-","-","-","-","-","-","13.8","BYE","28.6","19.3","8.8","5","15.5","9.7","2.9","-","-","13","103.6"
"89","Washington Commanders","DST","WAS","12","0","9","23","BYE","2","6","12","6","2","3","4","5","-2","7","6","8","6.4","103"
"90","Rob Gronkowski","TE","FA","-","-","-","-","-","-","15.4","3.7","24.8","-","14.4","18.5","21.7","4.2","-","-","-","14.7","102.7"
"91","Danny Amendola","WR","FA","15.4","-","-","-","7.5","1.1","-","3","20.2","-","7.5","3.2","7.9","11.6","18.1","5.5","1.4","8.5","102.4"
"92","Robert Woods","WR","HOU","8.3","11.1","4.5","17.3","8.9","1.9","3.9","1.2","6.4","-","-","-","4.9","3.5","16.7","8.5","3.2","7.2","100.3"
"93","Green Bay Packers","DST","GB","1","4","18","BYE","9","8","9","2","2","5","6","8","11","6","3","4","4","6.3","100"
"93","Detroit Lions","DST","DET","11","9","7","16","1","7","1","-1","BYE","5","-3","5","22","1","2","9","8","6.3","100"
"95","New York Jets","DST","NYJ","10","5","9","1","4","5","12","-1","7","BYE","0","7","3","12","2","11","10","6.1","97"
"96","Jordan Reed","TE","FA","6.3","9.3","7.5","-","-","7.8","23.9","13","7.5","15.2","1.7","-","-","-","-","-","-","10.2","92.2"
"97","Los Angeles Chargers","DST","LAC","4","1","3","6","4","7","15","-","9","3","7","3","5","9","4","9","2","5.7","91"
"98","Randall Cobb","WR","NYJ","20.9","23.3","7.9","-","12.7","7.3","-","-","-","BYE","-","-","-","-","-","-","18.5","15.1","90.6"
"99","Julio Jones","WR","FA","15.1","29.7","16.7","13.8","13.9","-","-","-","-","-","-","-","-","-","-","-","-","17.8","89.2"
"100","Zach Ertz","TE","ARI","1.6","6.8","1","4.3","4.8","2.8","4.8","1","12.7","0","4.1","-","21.3","0","14.7","3.2","5.8","5.6","88.9"
"101","Jacksonville Jaguars","DST","JAC","4","6","2","3","1","8","1","-2","BYE","17","3","11","10","8","8","6","0","5.4","86"
