"Rank","Name","Team","POS","G","ATT","YDS","RuYDS/G","YPC","TD","FUM","1D","EXP RUN %","EXP YDS","EXP YDS %","i5 %","TD RATE","STUFF %","1+ %","3+ %","5+ %","10+ %","20+ %","30+ %","MTF","MTF/ATT","YACO","YACO/ATT","YACO %","YBCO/ATT","ATT","ATT %","YDS","TD","YPC","Success Rate","ATT","ATT %","YDS","TD","YPC","Success Rate","FP/G","FP","XFP","XFP/G"
"90","Matt Breida","BUF","RB","9","26","125","13.9","4.81","1","1","5","7.7%","43","34.4%","0.0%","3.8%","34.6%","80.8%","69.2%","46.2%","11.5%","3.8%","0.0%","2","0.08","62","2.38","49.6%","2.42","6","23.1%","36","0","6.00","66.7%","19","73.1%","92","1","4.84","68.4%","4.9","43.7","25.0","2.8"
"91","Godwin Igwebuike","DET","RB","15","18","118","7.9","6.56","1","2","7","5.6%","42","35.6%","0.0%","5.6%","22.2%","83.3%","77.8%","38.9%","16.7%","5.6%","5.6%","4","0.22","68","3.78","57.6%","2.78","9","50.0%","73","1","8.11","55.6%","9","50.0%","45","0","5.00","66.7%","1.9","28.8","23.7","1.6"
"92","Eno Benjamin","ARZ","RB","9","34","118","13.1","3.47","1","0","4","2.9%","21","17.8%","0.0%","2.9%","58.8%","79.4%","44.1%","35.3%","5.9%","2.9%","0.0%","7","0.21","91","2.68","77.1%","0.79","24","70.6%","92","1","3.83","41.7%","10","29.4%","26","0","2.60","40.0%","3.1","28.0","26.9","3.0"
"93","Qadree Ollison","ATL","RB","7","21","105","15.0","5.00","1","1","7","4.8%","19","18.1%","0.0%","4.8%","42.9%","85.7%","66.7%","38.1%","23.8%","0.0%","0.0%","1","0.05","56","2.67","53.3%","2.33","12","57.1%","65","1","5.42","58.3%","9","42.9%","40","0","4.44","44.4%","3.0","20.7","18.5","2.6"
"94","Wayne Gallman","ATL, MIN","RB","7","28","104","14.9","3.71","0","0","5","7.1%","32","30.8%","0.0%","0.0%","57.1%","85.7%","42.9%","28.6%","17.9%","0.0%","0.0%","2","0.07","55","1.96","52.9%","1.75","25","89.3%","95","0","3.80","36.0%","3","10.7%","9","0","3.00","33.3%","1.9","13.5","18.0","2.6"
"95","Joshua Kelley","LAC","RB","10","33","102","10.2","3.09","0","1","5","0.0%","0","0.0%","10.0%","0.0%","66.7%","81.8%","54.5%","21.2%","6.1%","0.0%","0.0%","5","0.15","72","2.18","70.6%","0.91","17","51.5%","43","0","2.53","17.6%","15","45.5%","58","0","3.87","46.7%","1.8","18.0","29.9","3.0"
"96","Marlon Mack","IND","RB","5","28","101","20.2","3.61","0","0","6","3.6%","22","21.8%","0.0%","0.0%","57.1%","75.0%","42.9%","28.6%","14.3%","3.6%","0.0%","4","0.14","70","2.50","69.3%","1.11","17","60.7%","68","0","4.00","35.3%","11","39.3%","33","0","3.00","27.3%","2.6","12.9","19.5","3.9"
"97","Le'Veon Bell","BLT, TB","RB","8","39","101","12.6","2.59","2","0","9","0.0%","0","0.0%","37.5%","5.1%","59.0%","76.9%","43.6%","20.5%","2.6%","0.0%","0.0%","6","0.15","77","1.97","76.2%","0.62","6","15.4%","10","0","1.67","33.3%","33","84.6%","91","2","2.76","48.5%","4.8","38.1","40.0","5.0"
"98","Austin Walter","NYJ","RB","4","26","101","25.3","3.88","1","0","5","0.0%","0","0.0%","14.3%","3.8%","53.8%","76.9%","42.3%","34.6%","15.4%","0.0%","0.0%","4","0.15","62","2.38","61.4%","1.50","16","61.5%","76","1","4.75","56.3%","10","38.5%","25","0","2.50","20.0%","4.8","19.0","19.9","5.0"
"99","Elijhaa Penny","NYG","RB","17","24","99","5.8","4.13","1","0","9","0.0%","0","0.0%","7.7%","4.2%","29.2%","91.7%","62.5%","29.2%","8.3%","0.0%","0.0%","3","0.13","82","3.42","82.8%","0.71","12","50.0%","41","1","3.42","33.3%","8","33.3%","49","0","6.13","50.0%","2.1","35.9","32.3","1.9"
"100","Adrian Peterson","SEA, TEN","RB","4","38","98","24.5","2.58","2","1","6","2.6%","16","16.3%","50.0%","5.3%","60.5%","78.9%","42.1%","23.7%","5.3%","0.0%","0.0%","3","0.08","81","2.13","82.7%","0.45","20","52.6%","50","1","2.50","30.0%","18","47.4%","48","1","2.67","55.6%","6.7","26.6","39.3","9.8"
"101","Benny Snell","PIT","RB","17","36","98","5.8","2.72","0","0","2","0.0%","0","0.0%","0.0%","0.0%","58.3%","83.3%","44.4%","25.0%","0.0%","0.0%","0.0%","6","0.17","79","2.19","80.6%","0.53","17","47.2%","54","0","3.18","41.2%","19","52.8%","44","0","2.32","21.1%","0.8","13.1","24.7","1.5"
"102","Patrick Taylor","GB","RB","6","23","89","14.8","3.87","1","0","5","0.0%","0","0.0%","20.0%","4.3%","26.1%","91.3%","56.5%","34.8%","8.7%","0.0%","0.0%","3","0.13","63","2.74","70.8%","1.17","13","56.5%","45","0","3.46","46.2%","10","43.5%","44","1","4.40","60.0%","2.9","17.2","19.7","3.3"
"103","Larry Rountree","LAC","RB","9","36","87","9.7","2.42","1","0","5","0.0%","0","0.0%","15.4%","2.8%","58.3%","75.0%","44.4%","16.7%","2.8%","0.0%","0.0%","3","0.08","63","1.75","72.4%","0.67","22","61.1%","56","0","2.55","36.4%","14","38.9%","31","1","2.21","28.6%","1.7","15.6","27.4","3.0"
"104","Ryquell Armstead","JAX","RB","2","15","80","40.0","5.33","0","0","3","6.7%","26","32.5%","0.0%","0.0%","33.3%","100.0%","66.7%","40.0%","6.7%","6.7%","0.0%","2","0.13","31","2.07","38.8%","3.27","9","60.0%","62","0","6.89","77.8%","6","40.0%","18","0","3.00","33.3%","6.3","12.6","14.1","7.1"
"105","Jonathan Williams","WAS","RB","5","17","79","15.8","4.65","1","0","7","5.9%","23","29.1%","25.0%","5.9%","29.4%","94.1%","58.8%","35.3%","11.8%","5.9%","0.0%","4","0.24","66","3.88","83.5%","0.76","12","70.6%","33","1","2.75","66.7%","5","29.4%","46","0","9.20","60.0%","4.1","20.7","18.6","3.7"
"106","Chris Evans","CIN","RB","12","17","77","6.4","4.53","0","0","3","0.0%","0","0.0%","6.3%","0.0%","35.3%","100.0%","70.6%","35.3%","17.6%","0.0%","0.0%","5","0.29","67","3.94","87.0%","0.59","11","64.7%","55","0","5.00","54.5%","6","35.3%","22","0","3.67","16.7%","4.2","49.8","40.5","3.4"
"107","Jermar Jefferson","DET","RB","5","15","74","14.8","4.93","2","0","4","6.7%","28","37.8%","0.0%","13.3%","40.0%","66.7%","60.0%","40.0%","6.7%","6.7%","0.0%","0","0.00","35","2.33","47.3%","2.60","6","40.0%","22","1","3.67","50.0%","8","53.3%","52","1","6.50","62.5%","5.1","25.7","16.7","3.3"
"108","Jamycal Hasty","SF","RB","11","16","68","6.2","4.25","1","0","6","6.3%","21","30.9%","18.2%","6.3%","56.3%","87.5%","50.0%","18.8%","12.5%","6.3%","0.0%","4","0.25","34","2.13","50.0%","2.13","10","62.5%","35","1","3.50","50.0%","5","31.3%","29","0","5.80","20.0%","4.6","50.5","55.5","5.0"
"109","Jerick McKinnon","KC","RB","13","12","62","4.8","5.17","0","0","2","8.3%","18","29.0%","0.0%","0.0%","41.7%","100.0%","75.0%","50.0%","8.3%","0.0%","0.0%","1","0.08","30","2.50","48.4%","2.67","6","50.0%","25","0","4.17","66.7%","6","50.0%","37","0","6.17","50.0%","2.8","35.9","34.8","2.7"
"110","Kene Nwangwu","MIN","RB","9","13","61","6.8","4.69","0","0","3","7.7%","19","31.1%","6.3%","0.0%","46.2%","84.6%","61.5%","38.5%","15.4%","0.0%","0.0%","4","0.31","33","2.54","54.1%","2.15","7","53.8%","38","0","5.43","42.9%","4","30.8%","13","0","3.25","0.0%","1.2","11.0","17.8","2.0"
"111","Giovani Bernard","TB","RB","12","8","58","4.8","7.25","0","0","3","25.0%","41","70.7%","0.0%","0.0%","37.5%","87.5%","75.0%","37.5%","25.0%","12.5%","0.0%","1","0.13","27","3.38","46.6%","3.88","1","12.5%","4","0","4.00","100.0%","7","87.5%","54","0","7.71","57.1%","4.9","59.1","53.5","4.5"
"112","Trayveon Williams","CIN","RB","4","15","51","12.8","3.40","0","0","4","0.0%","0","0.0%","0.0%","0.0%","40.0%","86.7%","53.3%","33.3%","6.7%","0.0%","0.0%","5","0.33","46","3.07","90.2%","0.33","8","53.3%","21","0","2.63","37.5%","7","46.7%","30","0","4.29","71.4%","1.6","6.5","10.4","2.6"
"113","Jason Huntley","PHI","RB","1","13","51","51.0","3.92","0","0","2","7.7%","18","35.3%","0.0%","0.0%","53.8%","76.9%","46.2%","23.1%","15.4%","0.0%","0.0%","2","0.15","38","2.92","74.5%","1.00","10","76.9%","41","0","4.10","30.0%","3","23.1%","10","0","3.33","33.3%","5.1","5.1","8.4","8.4"
"114","Jalen Richard","LV","RB","10","9","40","4.0","4.44","0","0","3","11.1%","23","57.5%","0.0%","0.0%","55.6%","88.9%","44.4%","22.2%","11.1%","11.1%","0.0%","0","0.00","20","2.22","50.0%","2.22","6","66.7%","15","0","2.50","50.0%","3","33.3%","25","0","8.33","33.3%","2.3","23.2","32.1","3.2"
"115","James White","NE","RB","3","10","38","12.7","3.80","1","0","4","0.0%","0","0.0%","0.0%","10.0%","40.0%","80.0%","50.0%","50.0%","10.0%","0.0%","0.0%","2","0.20","16","1.60","42.1%","2.20","1","10.0%","-1","0","-1.00","0.0%","9","90.0%","39","1","4.33","66.7%","10.4","31.2","27.6","9.2"
"116","J.J. Taylor","NE","RB","5","19","37","7.4","1.95","2","0","3","5.3%","15","40.5%","25.0%","10.5%","73.7%","68.4%","26.3%","10.5%","5.3%","0.0%","0.0%","0","0.00","23","1.21","62.2%","0.74","2","10.5%","2","0","1.00","0.0%","16","84.2%","32","2","2.00","25.0%","3.9","19.5","24.2","4.8"
"117","Kalen Ballage","PIT","RB","9","12","36","4.0","3.00","0","0","2","0.0%","0","0.0%","0.0%","0.0%","58.3%","66.7%","58.3%","25.0%","16.7%","0.0%","0.0%","3","0.25","34","2.83","94.4%","0.17","8","66.7%","40","0","5.00","50.0%","3","25.0%","-1","0","-0.33","33.3%","0.7","6.4","19.2","2.1"
"118","Mike Boone","DEN","RB","5","4","35","7.0","8.75","0","0","2","25.0%","16","45.7%","0.0%","0.0%","50.0%","100.0%","75.0%","50.0%","50.0%","0.0%","0.0%","0","0.00","11","2.75","31.4%","6.00","0","0.0%","0","0","0.00","0.0%","4","100.0%","35","0","8.75","50.0%","1.5","7.7","4.8","1.0"
"119","C.J. Ham","MIN","FB","17","7","34","2.0","4.86","0","0","3","14.3%","30","88.2%","4.5%","0.0%","57.1%","57.1%","14.3%","14.3%","14.3%","14.3%","14.3%","1","0.14","33","4.71","97.1%","0.14","2","28.6%","1","0","0.50","0.0%","2","28.6%","0","0","0.00","0.0%","1.9","32.9","34.9","2.1"
"120","Jonathan Ward","ARZ","RB","11","9","33","3.0","3.67","0","0","3","0.0%","0","0.0%","0.0%","0.0%","33.3%","88.9%","66.7%","44.4%","0.0%","0.0%","0.0%","0","0.00","17","1.89","51.5%","1.78","7","77.8%","28","0","4.00","42.9%","1","11.1%","2","0","2.00","0.0%","0.9","9.7","8.5","0.8"
"121","Keith Smith","ATL","FB","17","9","31","1.8","3.44","0","0","3","0.0%","0","0.0%","0.0%","0.0%","22.2%","77.8%","66.7%","44.4%","0.0%","0.0%","0.0%","1","0.11","18","2.00","58.1%","1.44","3","33.3%","10","0","3.33","33.3%","2","22.2%","11","0","5.50","50.0%","1.0","17.7","18.8","1.1"
"122","Deon Jackson","IND","RB","3","13","31","10.3","2.38","1","0","2","0.0%","0","0.0%","12.5%","7.7%","53.8%","69.2%","53.8%","15.4%","7.7%","0.0%","0.0%","1","0.08","29","2.23","93.5%","0.15","9","69.2%","12","0","1.33","11.1%","3","23.1%","19","1","6.33","100.0%","3.0","9.1","10.8","3.6"
"123","La'Mical Perine","NYJ","RB","3","8","31","10.3","3.88","0","0","1","0.0%","0","0.0%","0.0%","0.0%","75.0%","87.5%","50.0%","25.0%","12.5%","0.0%","0.0%","1","0.13","21","2.63","67.7%","1.25","6","75.0%","18","0","3.00","16.7%","2","25.0%","13","0","6.50","50.0%","1.0","3.1","3.9","1.3"
