"Rank","Name","Team","POS","G","RTE","RTE %","aDOT","AY","AY Share","TGT","TGT %","TPRR","REC","CR %","YDS","RecYDS/G","TM YDS %","YPRR","YPT","YPR","YAC","YAC/REC","YACO","YACO/REC","TD","TM TD %","EZTGT","EZTD","MTF","MTF/REC","1D","DRP","DRP %","CTGT","CTGT %","DESIGN","DESIGN %","CT","CC","CC %","HERO","RATE","1READ","1READ %","THREAT","YPTOE","WIDE RTE %","SLOT RTE %","INLINE RTE %","BACK RTE %","FP/RR","FP/G","FP","XFP","XFP/G","XFP/RR"
"65","Noah Brown","DAL","WR","16","417","72.9%","11.6","825","20.3%","71","13.4%","0.17","43","60.6%","555","34.7","15.2%","1.33","7.82","12.91","133","3.09","65","1.51","3","11.5%","5","3","5","0.12","25","6","8.5%","54","76.1%","3","4.2%","20","10","50.0%","4","75.7","54","15.0%","17.4%","-0.5","56.8%","42.4%","0.5%","0.2%","0.28","7.2","115.5","133.7","8.4","0.32"
"66","Gerald Everett","LAC","TE","16","425","57.7%","6.0","493","10.7%","82","12.0%","0.19","58","70.7%","555","34.7","12.3%","1.31","6.77","9.57","338","5.83","145","2.50","4","16.7%","6","3","14","0.24","29","6","7.3%","71","86.6%","12","14.6%","15","9","60.0%","2","95.3","54","13.8%","20.0%","-0.7","14.8%","42.4%","42.6%","0.2%","0.33","8.7","139.5","139.7","8.7","0.33"
"67","Tyler Conklin","NYJ","TE","17","431","62.6%","7.6","611","12.7%","80","12.8%","0.19","58","72.5%","552","32.5","13.7%","1.28","6.90","9.52","287","4.95","116","2.00","3","20.0%","4","3","4","0.07","25","4","5.0%","67","83.8%","1","1.3%","13","10","76.9%","1","88.1","43","11.0%","18.3%","-0.5","10.0%","32.9%","56.6%","0.5%","0.31","7.7","131.5","131.1","7.7","0.30"
"68","Chris Moore","HST","WR","16","393","64.1%","9.9","720","16.2%","73","13.2%","0.19","48","65.8%","548","34.3","15.6%","1.39","7.51","11.42","268","5.58","150","3.13","2","10.0%","5","1","13","0.27","24","3","4.1%","59","80.8%","10","13.7%","13","6","46.2%","3","80.2","49","13.8%","20.4%","-0.4","33.6%","65.1%","1.3%","0.0%","0.29","7.2","115.1","137.6","8.6","0.35"
"69","Cole Kmet","CHI","TE","17","367","72.7%","7.1","469","17.5%","66","17.5%","0.18","50","75.8%","544","32.0","20.9%","1.48","8.24","10.88","302","6.04","128","2.56","7","36.8%","4","3","9","0.18","27","2","3.0%","57","86.4%","12","18.2%","6","2","33.3%","1","109.7","51","20.2%","20.3%","0.9","13.9%","46.6%","38.7%","0.8%","0.40","8.7","147.3","111.7","6.6","0.30"
"70","DeVante Parker","NE","WR","13","288","62.3%","16.0","737","27.9%","46","11.1%","0.16","31","67.4%","539","41.5","17.3%","1.87","11.72","17.39","124","4.00","55","1.77","3","21.4%","4","1","3","0.10","25","1","2.2%","38","82.6%","1","2.2%","18","11","61.1%","8","92.6","39","14.7%","17.0%","2.2","91.3%","8.7%","0.0%","0.0%","0.36","7.9","102.9","92.1","7.1","0.32"
"71","DeAndre Carter","LAC","WR","17","452","58.5%","9.4","604","14.7%","64","9.0%","0.14","46","71.9%","538","31.6","11.2%","1.19","8.41","11.70","208","4.52","88","1.91","3","11.5%","6","2","3","0.07","29","1","1.6%","52","81.3%","9","14.1%","12","9","75.0%","2","106.1","45","11.0%","15.3%","0.8","39.2%","59.7%","0.2%","0.9%","0.25","6.7","114.3","115.6","6.8","0.25"
"72","Corey Davis","NYJ","WR","13","375","68.6%","14.4","848","25.6%","59","11.7%","0.16","32","54.2%","536","41.2","17.1%","1.43","9.08","16.75","119","3.72","37","1.16","2","20.0%","3","0","1","0.03","28","1","1.7%","42","71.2%","0","0.0%","19","10","52.6%","2","82.3","45","14.2%","17.8%","-0.4","79.7%","19.2%","1.1%","0.0%","0.26","7.5","97.6","107.3","8.3","0.29"
"73","Olamide Zaccheaus","ATL","WR","17","326","66.5%","11.8","718","20.3%","61","14.7%","0.19","40","65.6%","533","31.4","18.2%","1.63","8.74","13.33","195","4.88","70","1.75","3","17.6%","2","1","6","0.15","25","0","0.0%","45","73.8%","5","8.2%","6","4","66.7%","2","109.5","48","16.3%","21.1%","0.4","40.2%","59.5%","0.0%","0.3%","0.34","6.5","111.0","115.3","6.8","0.35"
"74","Marvin Jones","JAX","WR","16","440","70.9%","14.1","1127","22.4%","80","13.9%","0.18","46","57.5%","529","33.1","13.3%","1.20","6.61","11.50","105","2.28","40","0.87","3","12.5%","8","3","1","0.02","29","3","3.8%","55","68.8%","2","2.5%","18","11","61.1%","6","74.4","60","14.1%","19.0%","-2.4","85.9%","14.1%","0.0%","0.0%","0.27","7.3","116.9","157.5","9.8","0.36"
"75","Robert Woods","TEN","WR","17","418","79.0%","8.3","686","21.9%","83","18.2%","0.20","53","63.9%","527","31.0","16.3%","1.26","6.35","9.94","173","3.26","58","1.09","2","12.5%","3","1","1","0.02","31","6","7.2%","64","77.1%","2","2.4%","16","9","56.3%","1","74.7","62","20.8%","22.6%","-1.1","71.1%","27.5%","0.5%","1.0%","0.28","6.9","116.7","136.6","8.0","0.33"
"76","Jahan Dotson","WAS","WR","12","344","75.6%","15.2","894","26.7%","59","14.7%","0.17","35","59.3%","523","43.6","19.4%","1.52","8.86","14.94","149","4.26","53","1.51","7","41.2%","8","6","2","0.06","26","4","6.8%","42","71.2%","3","5.1%","13","6","46.2%","3","99.8","46","17.6%","19.3%","-0.2","74.4%","25.6%","0.0%","0.0%","0.38","10.9","130.6","119.3","9.9","0.34"
"77","Dawson Knox","BUF","TE","15","425","68.7%","7.9","514","13.2%","65","12.1%","0.15","48","73.8%","517","34.5","13.4%","1.22","7.95","10.77","214","4.46","80","1.67","6","19.4%","6","4","4","0.08","25","5","7.7%","58","89.2%","2","3.1%","12","6","50.0%","0","108.3","40","12.3%","15.9%","0.1","13.2%","51.5%","27.5%","7.8%","0.32","9.0","135.7","122.9","8.2","0.29"
"78","Hunter Henry","NE","TE","17","365","60.6%","7.6","440","15.3%","58","10.7%","0.16","41","70.7%","509","29.9","13.3%","1.39","8.78","12.41","218","5.32","86","2.10","2","10.5%","2","0","3","0.07","23","2","3.4%","51","87.9%","1","1.7%","10","4","40.0%","1","101.9","40","11.3%","15.3%","1.0","12.1%","46.0%","39.2%","2.7%","0.28","6.1","103.9","97.8","5.8","0.27"
"79","Juwan Johnson","NO","TE","16","346","65.0%","9.4","576","15.9%","61","12.6%","0.18","42","68.9%","508","31.8","13.7%","1.47","8.33","12.10","167","3.98","82","1.95","7","30.4%","5","2","8","0.19","25","4","6.6%","50","82.0%","0","0.0%","9","2","22.2%","0","118.8","46","14.5%","18.7%","0.1","16.2%","53.2%","30.3%","0.3%","0.39","8.4","134.8","108.8","6.8","0.31"
"80","D.J. Chark","DET","WR","11","316","75.4%","15.9","810","25.0%","51","12.8%","0.16","30","58.8%","502","45.6","17.3%","1.59","9.84","16.73","138","4.60","73","2.43","3","14.3%","4","2","3","0.10","24","5","9.8%","39","76.5%","3","5.9%","12","8","66.7%","2","103.6","37","14.5%","16.9%","0.3","74.4%","25.6%","0.0%","0.0%","0.31","8.9","98.2","94.3","8.6","0.30"
"81","Jordan Akins","HST","TE","15","279","50.2%","8.0","399","15.3%","50","9.9%","0.18","37","74.0%","495","33.0","15.3%","1.77","9.90","13.38","273","7.38","135","3.65","5","27.8%","6","3","8","0.22","23","2","4.0%","41","82.0%","5","10.0%","10","8","80.0%","0","121.7","38","11.9%","19.7%","2.4","10.0%","39.8%","50.2%","0.0%","0.42","7.8","117.5","94.7","6.3","0.34"
"82","Darnell Mooney","CHI","WR","12","280","80.2%","13.1","775","34.3%","59","23.2%","0.21","40","67.8%","493","41.1","27.0%","1.76","8.36","12.33","172","4.30","58","1.45","2","14.3%","8","2","4","0.10","20","2","3.4%","44","74.6%","15","25.4%","10","8","80.0%","3","90.6","53","30.5%","29.9%","-0.4","39.3%","59.3%","0.0%","1.4%","0.36","8.5","101.5","111.9","9.3","0.40"
"83","Terrace Marshall","CAR","WR","14","270","65.2%","12.7","597","28.0%","47","12.7%","0.17","28","59.6%","490","35.0","18.5%","1.81","10.43","17.50","167","5.96","100","3.57","1","7.7%","6","1","6","0.21","23","2","4.3%","39","83.0%","1","2.1%","17","5","29.4%","4","102.3","39","16.2%","18.4%","1.9","91.5%","8.5%","0.0%","0.0%","0.31","5.9","83.0","88.8","6.3","0.33"
"84","Rashid Shaheed","NO","WR","12","175","46.3%","11.6","393","22.5%","34","9.9%","0.19","27","79.4%","487","40.6","18.3%","2.78","14.32","18.04","172","6.37","33","1.22","2","11.8%","0","0","4","0.15","17","1","2.9%","29","85.3%","5","14.7%","1","0","0.0%","0","138.4","28","12.8%","22.1%","6.2","73.7%","25.7%","0.0%","0.6%","0.57","8.3","99.4","61.5","5.1","0.34"
"85","Noah Fant","SEA","TE","17","329","50.5%","6.7","419","11.0%","63","11.0%","0.19","50","79.4%","486","28.6","11.3%","1.48","7.71","9.72","229","4.58","56","1.12","4","13.3%","6","3","1","0.02","24","1","1.6%","55","87.3%","4","6.3%","9","4","44.4%","0","120.0","49","12.3%","20.3%","0.2","15.8%","44.7%","34.7%","4.9%","0.37","7.2","122.6","114.2","6.7","0.35"
"86","Nico Collins","HST","WR","10","263","68.0%","12.1","764","34.3%","63","17.7%","0.24","37","58.7%","481","48.1","21.3%","1.83","7.63","13.00","149","4.03","62","1.68","2","20.0%","5","2","3","0.08","21","1","1.6%","41","65.1%","2","3.2%","14","9","64.3%","2","86.8","57","23.2%","25.1%","-1.1","91.6%","8.4%","0.0%","0.0%","0.37","9.7","97.1","112.9","11.3","0.43"
"87","Josh Reynolds","DET","WR","14","354","65.0%","13.2","740","19.4%","56","11.0%","0.16","38","67.9%","479","34.2","12.3%","1.35","8.55","12.61","114","3.00","68","1.79","3","11.5%","11","3","3","0.08","25","3","5.4%","43","76.8%","1","1.8%","11","7","63.6%","1","104.7","44","13.2%","16.5%","-0.5","65.3%","34.7%","0.0%","0.0%","0.29","7.4","103.9","115.2","8.2","0.33"
"88","Robert Tonyan","GB","TE","17","313","51.5%","5.9","376","12.0%","64","11.4%","0.20","53","82.8%","470","27.6","12.1%","1.50","7.34","8.87","249","4.70","62","1.17","2","7.4%","2","1","4","0.08","20","1","1.6%","54","84.4%","6","9.4%","5","3","60.0%","1","94.7","43","11.3%","19.7%","0.1","19.8%","39.3%","40.9%","0.0%","0.36","6.6","112.0","112.7","6.6","0.36"
"89","Greg Dortch","ARZ","WR","16","314","43.8%","5.3","339","8.6%","64","10.1%","0.20","52","81.3%","467","29.2","12.4%","1.49","7.30","8.98","318","6.12","151","2.90","2","13.3%","1","1","9","0.17","19","1","1.6%","59","92.2%","16","25.0%","12","5","41.7%","1","101.0","52","11.9%","22.3%","0.7","15.9%","82.2%","0.0%","1.9%","0.36","7.1","114.1","110.4","6.9","0.34"
"90","Demarcus Robinson","BLT","WR","17","344","60.7%","9.8","724","17.2%","74","15.2%","0.22","48","64.9%","458","26.9","14.3%","1.33","6.19","9.54","156","3.25","78","1.63","2","10.5%","8","2","7","0.15","23","4","5.4%","57","77.0%","3","4.1%","9","5","55.6%","3","68.4","61","18.6%","25.3%","-1.6","91.6%","8.4%","0.0%","0.0%","0.30","6.2","104.8","127.2","7.5","0.37"
"91","Chase Claypool","CHI, PIT","WR","15","399","73.1%","11.0","860","18.3%","78","16.9%","0.20","46","59.0%","451","30.1","15.8%","1.13","5.78","9.80","155","3.37","92","2.00","1","6.7%","4","1","4","0.09","24","3","3.8%","53","67.9%","8","10.3%","15","7","46.7%","3","52.9","60","18.9%","22.1%","-2.5","38.6%","61.4%","0.0%","0.0%","0.27","7.1","106.0","147.3","9.8","0.35"
"92","Chigoziem Okonkwo","TEN","TE","17","159","30.1%","7.9","355","11.8%","45","9.9%","0.28","32","71.1%","450","26.5","13.9%","2.83","10.00","14.06","255","7.97","146","4.56","3","18.8%","4","1","11","0.34","22","2","4.4%","37","82.2%","7","15.6%","6","5","83.3%","3","125.2","34","11.4%","31.7%","2.1","15.1%","37.1%","39.0%","8.8%","0.61","5.7","97.2","83.4","4.9","0.51"
"93","Elijah Moore","NYJ","WR","16","474","72.3%","12.5","761","16.4%","61","10.1%","0.13","37","60.7%","446","27.9","11.4%","0.94","7.31","12.05","99","2.68","45","1.22","1","6.7%","2","0","12","0.32","22","0","0.0%","43","70.5%","3","4.9%","8","3","37.5%","0","81.7","52","13.9%","15.0%","-1.7","49.4%","50.4%","0.2%","0.0%","0.19","5.5","88.1","117.2","7.3","0.24"
"94","Austin Hooper","TEN","TE","17","295","55.8%","8.1","454","18.9%","56","12.3%","0.19","41","73.2%","444","26.1","13.8%","1.51","7.93","10.83","143","3.49","57","1.39","2","12.5%","3","2","1","0.02","28","3","5.4%","47","83.9%","1","1.8%","16","11","68.8%","3","108.0","42","14.1%","21.5%","0.2","14.9%","53.6%","31.5%","0.0%","0.33","5.7","97.4","90.7","5.3","0.31"
"95","Treylon Burks","TEN","WR","11","240","65.9%","12.2","670","22.2%","55","17.1%","0.23","33","60.0%","444","40.4","19.0%","1.85","8.07","13.45","173","5.24","83","2.52","1","7.7%","4","1","2","0.06","19","3","5.5%","40","72.7%","7","12.7%","12","7","58.3%","2","61.5","41","19.4%","26.4%","-0.3","77.9%","21.7%","0.4%","0.0%","0.37","8.0","88.1","101.5","9.2","0.42"
"96","Kendrick Bourne","NE","WR","16","258","45.3%","10.1","463","16.5%","46","9.0%","0.18","35","76.1%","434","27.1","12.0%","1.68","9.43","12.40","149","4.26","70","2.00","1","5.6%","2","1","3","0.09","22","4","8.7%","42","91.3%","11","23.9%","9","6","66.7%","3","103.0","38","11.1%","18.8%","1.4","72.5%","27.5%","0.0%","0.0%","0.34","5.5","88.3","87.9","5.5","0.33"
"97","Russell Gage","TB","WR","13","322","54.2%","6.1","426","14.8%","70","12.2%","0.22","51","72.9%","426","32.8","11.7%","1.32","6.09","8.35","183","3.59","85","1.67","5","25.0%","8","4","4","0.08","31","3","4.3%","58","82.9%","6","8.6%","10","7","70.0%","2","112.0","57","13.9%","21.0%","-0.8","66.8%","33.2%","0.0%","0.0%","0.39","9.6","124.6","127.6","9.8","0.40"
"98","Romeo Doubs","GB","WR","13","265","54.6%","9.3","613","17.1%","66","14.7%","0.25","42","63.6%","425","32.7","14.1%","1.60","6.44","10.12","199","4.74","61","1.45","3","16.7%","2","1","1","0.02","20","7","10.6%","56","84.8%","15","22.7%","15","6","40.0%","1","97.1","54","17.8%","24.4%","-1.5","77.7%","22.3%","0.0%","0.0%","0.39","7.9","102.6","120.4","9.3","0.45"
"99","Michael Gallup","DAL","WR","14","402","82.0%","11.9","860","17.2%","72","15.9%","0.18","39","54.2%","424","30.3","13.0%","1.05","5.89","10.87","114","2.92","60","1.54","4","15.4%","9","3","1","0.03","25","4","5.6%","52","72.2%","6","8.3%","22","9","40.9%","4","67.1","53","17.4%","19.6%","-2.7","92.8%","7.2%","0.0%","0.0%","0.26","7.5","105.4","132.8","9.5","0.33"
"100","Isaiah McKenzie","BUF","WR","15","362","58.5%","8.5","547","11.7%","64","11.9%","0.18","42","65.6%","423","28.2","11.0%","1.17","6.61","10.07","134","3.19","43","1.02","4","12.9%","3","1","7","0.17","27","7","10.9%","55","85.9%","7","10.9%","12","3","25.0%","0","92.1","48","14.7%","21.1%","-0.8","20.2%","79.8%","0.0%","0.0%","0.33","8.0","119.8","121.9","8.1","0.32"
"101","Foster Moreau","LV","TE","15","323","56.3%","8.0","401","8.4%","50","9.6%","0.15","33","66.0%","420","28.0","11.2%","1.30","8.40","12.73","252","7.64","107","3.24","2","7.7%","5","2","4","0.12","24","4","8.0%","41","82.0%","1","2.0%","8","5","62.5%","2","88.8","30","9.3%","14.6%","0.3","17.3%","43.7%","36.8%","2.2%","0.27","5.7","86.2","86.5","5.8","0.27"
"102","Trent Sherfield","MIA","WR","17","366","57.5%","11.1","545","9.4%","49","8.4%","0.13","30","61.2%","417","24.5","8.8%","1.14","8.51","13.90","150","5.00","43","1.43","2","6.7%","2","1","2","0.07","18","0","0.0%","34","69.4%","3","6.1%","11","6","54.5%","1","85.2","42","11.1%","14.1%","0.2","48.9%","50.5%","0.0%","0.5%","0.23","4.9","83.7","84.7","5.0","0.23"
"103","Randall Cobb","GB","WR","13","219","46.6%","9.8","479","17.5%","49","11.3%","0.22","34","69.4%","417","32.1","14.0%","1.90","8.51","12.26","188","5.53","80","2.35","1","5.3%","5","1","8","0.24","19","3","6.1%","41","83.7%","7","14.3%","11","5","45.5%","1","93.7","37","12.4%","22.4%","0.7","19.6%","79.0%","0.0%","1.4%","0.37","6.3","81.7","87.1","6.7","0.40"
"104","Jauan Jennings","SF","WR","16","273","51.8%","8.6","467","14.7%","54","11.1%","0.20","35","64.8%","416","26.0","11.0%","1.52","7.70","11.89","181","5.17","107","3.06","1","3.7%","2","1","9","0.26","23","4","7.4%","42","77.8%","2","3.7%","2","0","0.0%","1","71.2","41","12.9%","20.3%","0.2","46.2%","53.8%","0.0%","0.0%","0.30","5.2","82.6","88.5","5.5","0.32"
"105","Rondale Moore","ARZ","WR","8","253","73.8%","5.2","284","13.7%","55","18.3%","0.22","41","74.5%","414","51.8","21.8%","1.64","7.53","10.10","289","7.05","118","2.88","1","10.0%","2","0","7","0.17","16","6","10.9%","48","87.3%","13","23.6%","5","3","60.0%","1","101.6","46","21.5%","24.3%","0.9","40.7%","57.7%","0.0%","1.6%","0.35","11.0","87.9","96.8","12.1","0.37"
"106","Hayden Hurst","CIN","TE","13","370","67.6%","5.2","341","11.8%","65","13.4%","0.18","52","80.0%","414","31.8","11.2%","1.12","6.37","7.96","189","3.63","82","1.58","2","7.7%","1","0","6","0.12","25","2","3.1%","58","89.2%","5","7.7%","11","6","54.5%","0","103.5","47","14.8%","19.6%","-0.6","20.0%","29.5%","49.7%","0.8%","0.28","8.1","105.4","114.4","8.8","0.31"
"107","Greg Dulcich","DEN","TE","10","300","75.9%","12.5","638","22.5%","51","15.0%","0.17","33","64.7%","411","41.1","18.3%","1.37","8.06","12.45","153","4.64","44","1.33","2","20.0%","3","1","4","0.12","18","4","7.8%","37","72.5%","1","2.0%","8","5","62.5%","1","78.1","30","16.4%","20.5%","0.3","8.3%","57.3%","34.3%","0.0%","0.29","8.6","86.1","94.9","9.5","0.32"
"108","Devin Duvernay","BLT","WR","14","332","69.7%","9.8","471","16.8%","48","11.8%","0.14","37","77.1%","407","29.1","15.2%","1.23","8.48","11.00","169","4.57","49","1.32","3","17.6%","7","3","1","0.03","19","2","4.2%","41","85.4%","8","16.7%","8","5","62.5%","4","113.8","37","13.5%","17.6%","0.6","67.2%","32.5%","0.3%","0.0%","0.33","7.9","110.1","100.0","7.1","0.28"
"109","Zach Ertz","ARZ","TE","10","322","71.2%","7.6","496","23.5%","65","16.2%","0.20","47","72.3%","406","40.6","16.8%","1.26","6.25","8.64","143","3.04","60","1.28","4","30.8%","4","1","2","0.04","24","3","4.6%","56","86.2%","5","7.7%","10","6","60.0%","0","102.5","59","21.0%","20.5%","-1.3","14.3%","56.2%","27.3%","2.2%","0.36","11.6","115.6","118.6","11.9","0.37"
"110","Nick Westbrook-Ikhine","TEN","WR","17","377","71.3%","13.8","636","18.2%","46","10.1%","0.12","25","54.3%","397","23.4","12.3%","1.05","8.63","15.88","111","4.44","44","1.76","3","18.8%","4","2","2","0.08","18","3","6.5%","33","71.7%","1","2.2%","16","8","50.0%","1","87.0","42","14.1%","13.9%","-0.1","44.8%","55.2%","0.0%","0.0%","0.22","4.9","82.7","87.0","5.1","0.23"
"111","Isaiah Hodgins","BUF, NYG","WR","11","243","58.3%","8.9","410","19.6%","46","12.8%","0.19","37","80.4%","392","35.6","13.8%","1.61","8.52","10.59","105","2.84","42","1.14","4","21.1%","3","3","4","0.11","24","0","0.0%","40","87.0%","2","4.3%","12","8","66.7%","2","122.1","37","17.1%","22.7%","0.9","86.8%","13.2%","0.0%","0.0%","0.42","9.2","101.2","85.5","7.8","0.35"
"112","Cade Otton","TB","TE","16","409","55.9%","5.8","363","9.6%","63","8.9%","0.15","42","66.7%","391","24.4","8.7%","0.96","6.21","9.31","189","4.50","93","2.21","2","8.0%","5","1","3","0.07","19","4","6.3%","51","81.0%","4","6.3%","6","2","33.3%","0","94.1","51","10.3%","14.0%","-1.0","11.2%","51.6%","37.2%","0.0%","0.23","5.8","93.1","119.0","7.4","0.29"
"113","Darren Waller","LV","TE","9","241","65.7%","14.0","586","22.9%","42","13.0%","0.17","28","66.7%","388","43.1","17.1%","1.61","9.24","13.86","82","2.93","48","1.71","3","18.8%","6","1","1","0.04","18","2","4.8%","35","83.3%","1","2.4%","12","6","50.0%","3","100.1","38","18.4%","21.6%","0.3","20.7%","61.0%","17.8%","0.4%","0.35","9.4","84.8","97.8","10.9","0.41"
"114","Marquise Goodwin","SEA","WR","13","286","56.0%","11.3","464","14.2%","41","9.0%","0.14","27","65.9%","387","29.8","11.6%","1.35","9.44","14.33","116","4.30","53","1.96","4","18.2%","6","3","7","0.26","18","2","4.9%","33","80.5%","4","9.8%","7","4","57.1%","1","118.6","28","8.9%","16.0%","1.1","39.9%","59.1%","0.3%","0.7%","0.32","6.9","90.2","71.5","5.5","0.25"
"115","Ben Skowronek","LA","WR","14","368","69.7%","7.9","467","15.7%","59","12.9%","0.16","39","66.1%","376","26.9","12.5%","1.02","6.37","9.64","148","3.79","37","0.95","0","0.0%","1","0","2","0.05","16","1","1.7%","42","71.2%","1","1.7%","5","3","60.0%","1","69.6","37","12.0%","17.1%","-1.2","50.0%","44.8%","1.1%","4.1%","0.23","6.0","84.3","99.6","7.1","0.27"
"116","Isaiah Likely","BLT","TE","16","247","46.6%","7.1","392","13.7%","55","12.1%","0.22","36","65.5%","373","23.3","12.7%","1.51","6.78","10.36","155","4.31","81","2.25","3","16.7%","5","2","7","0.19","18","4","7.3%","47","85.5%","7","12.7%","12","7","58.3%","1","103.1","45","14.7%","25.8%","-0.7","18.2%","63.2%","18.2%","0.4%","0.37","5.7","91.3","104.2","6.5","0.42"
"117","Van Jefferson","LA","WR","11","275","76.2%","16.9","693","33.7%","41","13.5%","0.15","24","58.5%","369","33.5","19.2%","1.34","9.00","15.38","37","1.54","11","0.46","3","30.0%","3","3","1","0.04","20","1","2.4%","28","68.3%","0","0.0%","8","6","75.0%","0","92.4","28","14.3%","17.6%","-0.9","71.6%","28.0%","0.4%","0.0%","0.29","7.2","78.9","89.6","8.1","0.33"
"118","Mike Gesicki","MIA","TE","17","335","52.6%","9.8","491","9.5%","50","8.6%","0.15","32","64.0%","362","21.3","7.6%","1.08","7.24","11.31","115","3.59","38","1.19","5","16.7%","8","5","1","0.03","19","4","8.0%","40","80.0%","0","0.0%","8","3","37.5%","1","102.3","34","8.9%","15.5%","-1.1","23.0%","51.3%","25.1%","0.6%","0.29","5.8","98.2","96.5","5.7","0.29"
"119","Nelson Agholor","NE","WR","16","265","46.8%","12.1","616","11.7%","51","10.1%","0.19","31","60.8%","362","22.6","10.3%","1.37","7.10","11.68","156","5.03","55","1.77","2","11.8%","2","0","3","0.10","12","3","5.9%","42","82.4%","8","15.7%","7","3","42.9%","1","79.0","36","10.8%","20.1%","-1.4","69.1%","30.9%","0.0%","0.0%","0.29","4.8","77.2","91.2","5.7","0.34"
"120","Kyle Pitts","ATL","TE","10","190","70.4%","13.9","793","22.0%","57","25.2%","0.30","28","49.1%","356","35.6","20.6%","1.87","6.25","12.71","143","5.11","50","1.79","2","16.7%","4","2","2","0.07","20","1","1.8%","37","64.9%","3","5.3%","13","6","46.2%","2","73.4","44","28.0%","30.8%","-2.0","28.4%","44.7%","25.3%","1.6%","0.40","7.6","75.6","123.1","12.3","0.65"
"121","Quez Watkins","PHI","WR","17","352","56.3%","9.9","487","8.9%","49","9.1%","0.14","33","67.3%","354","20.8","8.1%","1.01","7.22","10.73","136","4.12","29","0.88","3","12.0%","2","0","7","0.21","13","0","0.0%","39","79.6%","13","26.5%","8","1","12.5%","0","83.2","38","9.7%","15.7%","-0.6","26.1%","73.6%","0.3%","0.0%","0.24","5.0","85.5","97.2","5.7","0.27"
"122","Will Dissly","SEA","TE","15","229","39.6%","5.1","192","6.9%","38","7.4%","0.17","34","89.5%","349","23.3","9.0%","1.52","9.18","10.26","194","5.71","71","2.09","3","11.1%","1","1","6","0.18","20","2","5.3%","37","97.4%","3","7.9%","4","3","75.0%","1","131.3","30","8.5%","15.6%","2.3","10.0%","24.0%","60.3%","5.7%","0.38","5.8","86.9","64.7","4.3","0.28"
"123","Allen Robinson","LA","WR","10","308","78.0%","10.1","527","24.6%","52","14.8%","0.17","33","63.5%","339","33.9","14.3%","1.10","6.52","10.27","78","2.36","16","0.48","3","27.3%","11","3","3","0.09","23","2","3.8%","38","73.1%","1","1.9%","11","8","72.7%","3","93.3","38","15.6%","16.8%","-1.5","69.2%","30.8%","0.0%","0.0%","0.28","8.5","84.9","106.2","10.6","0.34"
"124","Hunter Renfrow","LV","WR","10","281","72.2%","6.6","328","13.4%","50","14.5%","0.18","36","72.0%","330","33.0","13.5%","1.17","6.60","9.17","154","4.28","60","1.67","2","11.8%","1","1","6","0.17","18","1","2.0%","38","76.0%","5","10.0%","7","2","28.6%","3","69.6","35","17.2%","20.6%","-0.4","14.2%","85.4%","0.0%","0.4%","0.28","8.0","80.0","79.2","7.9","0.28"
"125","Sammy Watkins","GB, BLT","WR","12","171","42.6%","13.1","354","15.0%","27","7.3%","0.16","16","59.3%","325","27.1","12.5%","1.90","12.04","20.31","126","7.88","43","2.69","0","0.0%","2","0","1","0.06","11","2","7.4%","21","77.8%","3","11.1%","5","3","60.0%","0","101.6","22","8.9%","16.2%","3.0","84.8%","15.2%","0.0%","0.0%","0.28","4.0","47.5","51.8","4.3","0.30"
"126","Equanimeous St. Brown","CHI","WR","16","233","49.4%","12.9","479","17.0%","37","10.6%","0.16","21","56.8%","323","20.2","13.2%","1.39","8.73","15.38","87","4.14","33","1.57","1","5.6%","2","1","1","0.05","14","2","5.4%","27","73.0%","1","2.7%","5","2","40.0%","0","72.2","27","11.3%","19.6%","-0.2","70.4%","28.3%","1.3%","0.0%","0.28","4.0","64.7","70.6","4.4","0.29"
"127","Logan Thomas","WAS","TE","14","338","64.1%","7.0","397","11.0%","57","12.4%","0.17","39","68.4%","323","23.1","10.3%","0.96","5.67","8.28","131","3.36","47","1.21","1","5.0%","3","0","0","0.00","15","2","3.5%","43","75.4%","1","1.8%","8","4","50.0%","1","73.9","42","14.3%","17.6%","-1.8","12.1%","65.7%","21.9%","0.3%","0.23","5.5","77.3","100.0","7.1","0.30"
"128","Colby Parkinson","SEA","TE","17","195","29.9%","8.4","276","6.7%","33","5.8%","0.17","25","75.8%","322","18.9","7.5%","1.65","9.76","12.88","156","6.24","41","1.64","2","6.7%","3","1","1","0.04","14","0","0.0%","27","81.8%","1","3.0%","4","1","25.0%","0","126.1","27","6.8%","16.3%","1.6","13.8%","35.4%","49.2%","1.5%","0.35","4.1","69.2","57.6","3.4","0.30"
"129","Justin Watson","KC","WR","17","259","35.8%","20.4","632","10.7%","31","4.8%","0.12","15","48.4%","315","18.5","6.0%","1.22","10.16","21.00","64","4.27","10","0.67","2","4.9%","6","1","0","0.00","12","4","12.9%","21","67.7%","1","3.2%","5","1","20.0%","2","92.8","23","5.5%","12.8%","0.0","67.6%","32.0%","0.4%","0.0%","0.23","3.4","58.5","73.7","4.3","0.28"
