"Rank","Name","Team","POS","G","ATT","YDS","TD","YACO","MTF","EXP","RTE","TGT","REC","YDS","TD","YAC","YACO","MTF","EXP","TOUCH","YFS","TD","MTF","YACO","YPC","YACO/ATT","MTF/ATT","EXP RUN %","YPRR","YPT","YAC/REC","YACO/REC","MTF/REC","EXP REC %","YFS/TOUCH","MTF/TOUCH","YACO/TOUCH","EXP PLAY %","RuYDS/G","RecYDS/G","YFS/G","FP/G","FP","XFP","XFP/G"
"91","Cole Beasley","BUF","WR","16","0","0","0","-","0","0","487","106","82","693","1","324","95","4","5","82","693","1","4","95","-","-","0.00","0.0%","1.42","6.54","3.95","1.16","0.05","6.1%","8.45","0.05","1.16","6.1%","0.0","43.3","43.3","10.0","159.3","174.7","10.9"
"92","Samaje Perine","CIN","RB","15","55","246","1","200","8","3","152","31","27","196","1","213","71","3","1","82","442","2","11","271","4.47","3.64","0.15","5.5%","1.29","6.32","7.89","2.63","0.11","3.7%","5.39","0.13","3.30","4.9%","16.4","13.1","29.5","5.5","83.2","75.9","5.1"
"93","Christian Kirk","ARZ","WR","17","1","11","0","2","0","0","519","101","77","982","5","274","98","5","16","78","993","5","5","100","11.00","2.00","0.00","0.0%","1.89","9.72","3.56","1.27","0.06","20.8%","12.73","0.06","1.28","20.5%","0.6","57.8","58.4","12.2","207.6","176.5","10.4"
"94","Dalton Schultz","DAL","TE","17","0","0","0","-","0","0","513","102","78","808","8","364","168","11","6","78","808","8","11","168","-","-","0.00","0.0%","1.58","7.92","4.67","2.15","0.14","7.7%","10.36","0.14","2.15","7.7%","0.0","47.5","47.5","12.3","208.8","175.9","10.3"
"95","Terry McLaurin","WAS","WR","17","1","12","0","2","0","0","570","124","77","1053","5","318","165","8","15","78","1065","5","8","167","12.00","2.00","0.00","0.0%","1.85","8.49","4.13","2.14","0.10","19.5%","13.65","0.10","2.14","19.2%","0.7","61.9","62.6","12.6","213.5","213.6","12.6"
"96","Jaret Patterson","WAS","RB","16","68","266","2","157","7","0","53","11","10","73","0","81","30","2","0","78","339","2","9","187","3.91","2.31","0.10","0.0%","1.38","6.64","8.10","3.00","0.20","0.0%","4.35","0.12","2.40","0.0%","16.6","4.6","21.2","3.5","55.9","51.4","3.2"
"97","DK Metcalf","SEA","WR","17","1","6","0","3","0","0","488","128","75","967","12","337","185","11","11","76","973","12","11","188","6.00","3.00","0.00","0.0%","1.98","7.55","4.49","2.47","0.15","14.7%","12.80","0.14","2.47","14.5%","0.4","56.9","57.2","14.4","244.3","243.9","14.3"
"98","Mike Williams","LAC","WR","16","0","0","0","-","0","0","561","124","76","1146","9","437","182","7","17","76","1146","9","7","182","-","-","0.00","0.0%","2.04","9.24","5.75","2.39","0.09","22.4%","15.08","0.09","2.39","22.4%","0.0","71.6","71.6","15.4","246.6","237.1","14.8"
"99","Zach Ertz","ARZ, PHI","TE","17","1","4","0","2","0","0","477","111","74","763","5","362","135","4","7","75","767","5","4","137","4.00","2.00","0.00","0.0%","1.60","6.87","4.89","1.82","0.05","9.5%","10.23","0.05","1.83","9.3%","0.2","44.9","45.1","10.6","180.7","206.0","12.1"
"100","Mike Evans","TB","WR","16","1","10","0","2","0","0","589","112","74","1035","14","260","107","8","20","75","1045","14","8","109","10.00","2.00","0.00","0.0%","1.76","9.24","3.51","1.45","0.11","27.0%","13.93","0.11","1.45","26.7%","0.6","64.7","65.3","16.4","262.5","225.3","14.1"
"101","Dontrell Hilliard","TEN","RB","8","56","350","2","217","11","6","107","24","19","87","0","114","25","0","1","75","437","2","11","242","6.25","3.88","0.20","10.7%","0.81","3.63","6.00","1.32","0.00","5.3%","5.83","0.15","3.23","9.3%","43.8","10.9","54.6","9.2","73.7","65.0","8.1"
"102","Duke Johnson","MIA","RB","5","71","330","3","242","13","2","32","5","4","41","0","51","28","2","1","75","371","3","15","270","4.65","3.41","0.18","2.8%","1.28","8.20","12.75","7.00","0.50","25.0%","4.95","0.20","3.60","4.0%","66.0","8.2","74.2","11.8","59.1","56.8","11.4"
"103","Tyler Lockett","SEA","WR","16","2","9","0","1","0","0","479","103","73","1175","8","291","85","4","22","75","1184","8","4","86","4.50","0.50","0.00","0.0%","2.45","11.41","3.99","1.16","0.05","30.1%","15.79","0.05","1.15","29.3%","0.6","73.4","74.0","15.1","241.4","212.7","13.3"
"104","Taysom Hill","NO","TE","12","70","374","5","217","17","3","46","6","4","52","0","45","11","1","0","74","426","5","18","228","5.34","3.10","0.24","4.3%","1.13","8.67","11.25","2.75","0.25","0.0%","5.76","0.24","3.08","4.1%","31.2","4.3","35.5","10.6","126.7","55.3","4.6"
"105","Laviska Shenault","JAX","WR","16","11","41","0","24","0","0","446","97","63","619","0","406","201","15","5","74","660","0","15","225","3.73","2.18","0.00","0.0%","1.39","6.38","6.44","3.19","0.24","7.9%","8.92","0.20","3.04","6.8%","2.6","38.7","41.3","8.0","128.0","168.4","10.5"
"106","George Kittle","SF","TE","14","3","20","0","10","0","0","373","94","71","910","6","476","261","18","13","74","930","6","18","271","6.67","3.33","0.00","0.0%","2.44","9.68","6.70","3.68","0.25","18.3%","12.57","0.24","3.66","17.6%","1.4","65.0","66.4","14.2","199.0","159.0","11.4"
"107","Chase Claypool","PIT","WR","15","14","96","0","35","3","3","485","101","59","860","2","310","137","10","13","74","956","2","13","172","6.86","2.50","0.21","21.4%","1.77","8.51","5.25","2.32","0.17","22.0%","12.92","0.18","2.32","21.6%","6.4","57.3","63.7","11.1","166.6","212.8","14.2"
"108","Tee Higgins","CIN","WR","14","0","0","0","-","0","0","468","108","74","1091","6","293","152","10","17","74","1091","6","10","152","-","-","0.00","0.0%","2.33","10.10","3.96","2.05","0.14","23.0%","14.74","0.14","2.05","23.0%","0.0","77.9","77.9","15.7","220.1","211.2","15.1"
"109","Marvin Jones","JAX","WR","17","0","0","0","-","0","0","600","117","73","832","4","132","46","2","13","73","832","4","2","46","-","-","0.00","0.0%","1.39","7.11","1.81","0.63","0.03","17.8%","11.40","0.03","0.63","17.8%","0.0","48.9","48.9","10.6","180.2","229.9","13.5"
"110","Mike Gesicki","MIA","TE","17","0","0","0","-","0","0","513","109","73","780","2","249","111","3","12","73","780","2","3","111","-","-","0.00","0.0%","1.52","7.16","3.41","1.52","0.04","16.4%","10.68","0.04","1.52","16.4%","0.0","45.9","45.9","9.7","165.0","192.0","11.3"
"111","Rondale Moore","ARZ","WR","14","18","76","0","62","3","1","249","65","54","435","1","455","116","19","3","72","511","1","22","178","4.22","3.44","0.17","5.6%","1.75","6.69","8.43","2.15","0.35","5.6%","7.10","0.31","2.47","5.6%","5.4","31.1","36.5","7.9","110.1","117.6","8.4"
"112","Tyler Boyd","CIN","WR","16","2","22","0","17","1","0","509","89","67","828","5","392","113","9","10","69","850","5","10","130","11.00","8.50","0.50","0.0%","1.63","9.30","5.85","1.69","0.13","14.9%","12.32","0.14","1.88","14.5%","1.4","51.8","53.1","11.5","183.8","154.9","9.7"
"113","Jeremy McNichols","TEN","RB","14","41","156","0","98","5","0","152","33","28","240","1","262","80","9","3","69","396","1","14","178","3.80","2.39","0.12","0.0%","1.58","7.27","9.36","2.86","0.32","10.7%","5.74","0.20","2.58","4.3%","11.1","17.1","28.3","5.3","73.6","75.1","5.4"
"114","Noah Fant","DEN","TE","16","0","0","0","-","0","0","432","88","68","670","4","325","119","6","7","68","670","4","6","119","-","-","0.00","0.0%","1.55","7.61","4.78","1.75","0.09","10.3%","9.85","0.09","1.75","10.3%","0.0","41.9","41.9","9.9","159.0","143.1","8.9"
"115","Amari Cooper","DAL","WR","15","0","0","0","-","0","0","492","101","68","865","8","237","117","13","15","68","865","8","13","117","-","-","0.00","0.0%","1.76","8.56","3.49","1.72","0.19","22.1%","12.72","0.19","1.72","22.1%","0.0","57.7","57.7","13.5","202.5","200.0","13.3"
"116","Kyle Pitts","ATL","TE","17","0","0","0","-","0","0","495","105","68","1026","1","340","180","9","16","68","1026","1","9","180","-","-","0.00","0.0%","2.07","9.77","5.00","2.65","0.13","23.5%","15.09","0.13","2.65","23.5%","0.0","60.4","60.4","10.4","176.6","194.1","11.4"
"117","Adam Thielen","MIN","WR","13","1","2","0","3","0","0","435","91","67","726","10","254","94","6","14","68","728","10","6","97","2.00","3.00","0.00","0.0%","1.67","7.98","3.79","1.40","0.09","20.9%","10.71","0.09","1.43","20.6%","0.2","55.8","56.0","15.4","199.8","172.3","13.3"
"118","Mecole Hardman","KC","WR","17","8","46","0","17","0","1","418","80","59","693","2","507","179","18","8","67","739","2","18","196","5.75","2.13","0.00","12.5%","1.66","8.66","8.59","3.03","0.31","13.6%","11.03","0.27","2.93","13.4%","2.7","40.8","43.5","8.4","142.9","157.3","9.3"
"119","Russell Gage","ATL","WR","14","0","0","0","-","0","0","383","92","66","770","4","272","139","14","8","67","770","4","14","139","-","-","0.00","0.0%","2.01","8.37","4.12","2.11","0.21","12.1%","11.49","0.21","2.07","11.9%","0.0","55.0","55.0","11.8","165.0","155.3","11.1"
"120","Kendrick Bourne","NE","WR","17","12","125","0","33","2","4","390","68","55","800","5","399","156","10","10","67","925","5","12","189","10.42","2.75","0.17","33.3%","2.05","11.76","7.25","2.84","0.18","18.2%","13.81","0.18","2.82","20.9%","7.4","47.1","54.4","10.7","181.5","128.0","7.5"
"121","Royce Freeman","CAR, HST","RB","13","56","169","0","144","5","0","98","14","10","77","0","77","14","0","0","66","246","0","5","158","3.02","2.57","0.09","0.0%","0.79","5.50","7.70","1.40","0.00","0.0%","3.73","0.08","2.39","0.0%","13.0","5.9","18.9","2.7","34.6","51.5","4.0"
"122","Salvon Ahmed","MIA","RB","13","54","149","0","105","6","1","65","19","12","117","0","127","32","4","0","66","266","0","10","137","2.76","1.94","0.11","1.9%","1.80","6.16","10.58","2.67","0.33","0.0%","4.03","0.15","2.08","1.5%","11.5","9.0","20.5","3.0","38.6","53.2","4.1"
"123","Peyton Barber","LV","RB","9","55","212","2","184","12","3","42","13","10","67","0","78","26","2","1","65","279","2","14","210","3.85","3.35","0.22","5.5%","1.60","5.15","7.80","2.60","0.20","10.0%","4.29","0.22","3.23","6.2%","23.6","7.4","31.0","5.5","49.9","51.2","5.7"
"124","A.J. Brown","TEN","WR","13","2","10","0","4","1","0","336","102","63","869","5","238","127","6","10","65","879","5","7","131","5.00","2.00","0.50","0.0%","2.59","8.52","3.78","2.02","0.10","15.9%","13.52","0.11","2.02","15.4%","0.8","66.8","67.6","13.9","180.9","178.9","13.8"
"125","DeVonta Smith","PHI","WR","17","0","0","0","-","0","0","475","101","64","916","5","205","98","5","16","64","916","5","5","98","-","-","0.00","0.0%","1.93","9.07","3.20","1.53","0.08","25.0%","14.31","0.08","1.53","25.0%","0.0","53.9","53.9","11.0","186.6","204.2","12.0"
"126","Craig Reynolds","DET","RB","5","55","230","0","205","12","3","52","8","7","52","0","56","19","2","0","62","282","0","14","224","4.18","3.73","0.22","5.5%","1.00","6.50","8.00","2.71","0.29","0.0%","4.55","0.23","3.61","4.8%","46.0","10.4","56.4","7.0","35.2","42.3","8.5"
"127","Brandon Aiyuk","SF","WR","17","5","17","0","25","4","0","459","83","56","826","5","384","187","14","16","61","843","5","18","212","3.40","5.00","0.80","0.0%","1.80","9.95","6.86","3.34","0.25","28.6%","13.82","0.30","3.48","26.2%","1.0","48.6","49.6","10.1","171.3","156.5","9.2"
"128","Cole Kmet","CHI","TE","17","1","0","0","1","0","0","475","88","60","612","0","270","137","6","7","61","612","0","6","138","-","1.00","0.00","0.0%","1.29","6.95","4.50","2.28","0.10","11.7%","10.03","0.10","2.26","11.5%","0.0","36.0","36.0","7.1","121.2","157.6","9.3"
"129","T.J. Hockenson","DET","TE","12","0","0","0","-","0","0","380","82","61","583","4","220","86","5","8","61","583","4","5","86","-","-","0.00","0.0%","1.53","7.11","3.61","1.41","0.08","13.1%","9.56","0.08","1.41","13.1%","0.0","48.6","48.6","12.1","145.3","143.0","11.9"
"130","Tyler Conklin","MIN","TE","17","0","0","0","-","0","0","460","85","61","593","3","334","105","2","4","61","593","3","2","105","-","-","0.00","0.0%","1.29","6.98","5.48","1.72","0.03","6.6%","9.72","0.03","1.72","6.6%","0.0","34.9","34.9","8.1","138.3","133.2","7.8"
"131","Tyler Higbee","LA","TE","15","0","0","0","-","0","0","473","81","61","560","5","297","89","3","3","61","560","5","3","89","-","-","0.00","0.0%","1.18","6.91","4.87","1.46","0.05","4.9%","9.18","0.05","1.46","4.9%","0.0","37.3","37.3","9.8","147.0","138.9","9.3"
"132","Pat Freiermuth","PIT","TE","16","0","0","0","-","0","0","361","78","60","497","7","258","124","12","2","60","497","7","12","124","-","-","0.00","0.0%","1.38","6.37","4.30","2.07","0.20","3.3%","8.28","0.20","2.07","3.3%","0.0","31.1","31.1","9.5","152.7","138.5","8.7"
"133","Chris Carson","SEA","RB","4","54","232","3","175","6","2","47","6","6","29","0","44","13","4","0","60","261","3","10","188","4.30","3.24","0.11","3.7%","0.62","4.83","7.33","2.17","0.67","0.0%","4.35","0.17","3.13","3.3%","58.0","7.3","65.3","12.3","49.1","40.4","10.1"
"134","Tony Jones","NO","RB","10","54","142","0","121","4","0","44","7","5","29","0","30","8","0","0","59","171","0","4","129","2.63","2.24","0.07","0.0%","0.66","4.14","6.00","1.60","0.00","0.0%","2.90","0.07","2.19","0.0%","14.2","2.9","17.1","2.2","22.1","42.4","4.2"
"135","Derrick Gore","KC","RB","9","51","256","2","173","11","2","40","9","8","105","0","93","32","2","1","59","361","2","13","205","5.02","3.39","0.22","3.9%","2.63","11.67","11.63","4.00","0.25","12.5%","6.12","0.22","3.47","5.1%","28.4","11.7","40.1","6.2","56.1","44.8","5.0"
"136","Jarvis Landry","CLV","WR","12","6","40","2","13","2","1","315","80","52","570","2","289","105","7","7","58","610","4","9","118","6.67","2.17","0.33","16.7%","1.81","7.13","5.56","2.02","0.13","13.5%","10.52","0.16","2.03","13.8%","3.3","47.5","50.8","11.3","135.0","142.6","11.9"
"137","Courtland Sutton","DEN","WR","17","0","0","0","-","0","0","529","98","58","776","2","145","100","4","9","58","776","2","4","100","-","-","0.00","0.0%","1.47","7.92","2.50","1.72","0.07","15.5%","13.38","0.07","1.72","15.5%","0.0","45.6","45.6","8.8","150.2","200.0","11.8"
"138","Damien Williams","CHI","RB","12","40","164","2","111","8","1","91","20","16","103","1","116","43","8","1","56","267","3","16","154","4.10","2.78","0.20","2.5%","1.13","5.15","7.25","2.69","0.50","6.3%","4.77","0.29","2.75","3.6%","13.7","8.6","22.3","5.1","60.7","57.1","4.8"
"139","Dallas Goedert","PHI","TE","15","0","0","0","-","0","0","317","72","56","830","4","395","156","12","14","56","830","4","12","156","-","-","0.00","0.0%","2.62","11.53","7.05","2.79","0.21","25.0%","14.82","0.21","2.79","25.0%","0.0","55.3","55.3","11.0","165.0","126.8","8.5"
"140","Dare Ogunbowale","JAX","RB","15","43","137","1","73","0","0","104","20","13","114","1","105","19","3","1","56","251","2","3","92","3.19","1.70","0.00","0.0%","1.10","5.70","8.08","1.46","0.23","7.7%","4.48","0.05","1.64","1.8%","9.1","7.6","16.7","3.3","50.1","54.9","3.7"
"141","Robby Anderson","CAR","WR","17","3","36","0","40","2","1","601","105","53","519","5","154","72","5","3","56","555","5","7","112","12.00","13.33","0.67","33.3%","0.86","4.94","2.91","1.36","0.09","5.7%","9.91","0.13","2.00","7.1%","2.1","30.5","32.6","8.1","138.5","190.3","11.2"
"142","Rob Gronkowski","TB","TE","12","0","0","0","-","0","0","374","88","55","802","6","372","185","13","16","55","802","6","13","185","-","-","0.00","0.0%","2.14","9.11","6.76","3.36","0.24","29.1%","14.58","0.24","3.36","29.1%","0.0","66.8","66.8","14.3","171.2","158.9","13.2"
"143","Darren Waller","LV","TE","11","0","0","0","-","0","0","380","90","55","665","2","268","110","3","13","55","665","2","3","110","-","-","0.00","0.0%","1.75","7.39","4.87","2.00","0.05","23.6%","12.09","0.05","2.00","23.6%","0.0","60.5","60.5","12.1","133.5","168.3","15.3"
"144","Braxton Berrios","NYJ","WR","16","7","40","2","13","0","0","254","64","46","431","2","248","89","5","4","54","471","4","5","102","5.71","1.86","0.00","0.0%","1.70","6.73","5.39","1.93","0.11","8.7%","8.72","0.09","1.89","7.4%","2.5","26.9","29.4","7.3","116.1","111.1","6.9"
"145","A.J. Green","ARZ","WR","16","0","0","0","-","0","0","501","90","54","848","3","203","112","10","16","54","848","3","10","112","-","-","0.00","0.0%","1.69","9.42","3.76","2.07","0.19","29.6%","15.70","0.19","2.07","29.6%","0.0","53.0","53.0","9.8","156.8","173.4","10.8"
"146","DeeJay Dallas","SEA","RB","17","33","138","2","97","7","1","100","23","21","133","0","119","27","1","1","54","271","2","8","124","4.18","2.94","0.21","3.0%","1.33","5.78","5.67","1.29","0.05","4.8%","5.02","0.15","2.30","3.7%","8.1","7.8","15.9","3.5","60.1","54.9","3.2"
"147","Robert Woods","LA","WR","9","8","46","1","12","1","1","299","65","45","556","4","215","102","4","8","53","602","5","5","114","5.75","1.50","0.13","12.5%","1.86","8.55","4.78","2.27","0.09","17.8%","11.36","0.09","2.15","17.0%","5.1","61.8","66.9","15.2","137.2","126.6","14.1"
"148","Tim Patrick","DEN","WR","16","0","0","0","-","0","0","488","82","53","734","5","210","102","5","10","53","734","5","5","102","-","-","0.00","0.0%","1.50","8.95","3.96","1.92","0.09","18.9%","13.85","0.09","1.92","18.9%","0.0","45.9","45.9","9.8","156.4","154.9","9.7"
"149","Van Jefferson","LA","WR","17","2","20","0","19","1","0","523","88","50","802","6","226","124","3","12","52","822","6","4","143","10.00","9.50","0.50","0.0%","1.53","9.11","4.52","2.48","0.06","24.0%","15.81","0.08","2.75","23.1%","1.2","47.2","48.4","9.9","168.2","174.9","10.3"
"150","Kalif Raymond","DET","WR","16","4","28","0","13","1","0","452","70","48","576","4","286","54","5","8","52","604","4","6","67","7.00","3.25","0.25","0.0%","1.27","8.23","5.96","1.13","0.10","16.7%","11.62","0.12","1.29","15.4%","1.8","36.0","37.8","8.3","132.4","121.0","7.6"
"151","K.J. Osborn","MIN","WR","17","1","10","0","2","0","0","481","75","50","655","7","180","90","3","10","51","665","7","3","92","10.00","2.00","0.00","0.0%","1.36","8.73","3.60","1.80","0.06","20.0%","13.04","0.06","1.80","19.6%","0.6","38.5","39.1","9.3","158.5","139.4","8.2"
"152","Jamison Crowder","NYJ","WR","12","0","0","0","-","0","0","376","71","51","447","2","217","88","6","3","51","447","2","6","88","-","-","0.00","0.0%","1.19","6.30","4.25","1.73","0.12","5.9%","8.76","0.12","1.73","5.9%","0.0","37.3","37.3","9.2","110.7","116.3","9.7"
"153","Gerald Everett","SEA","TE","15","3","20","0","9","0","0","336","60","48","478","4","254","133","8","5","51","498","4","8","142","6.67","3.00","0.00","0.0%","1.42","7.97","5.29","2.77","0.17","10.4%","9.76","0.16","2.78","9.8%","1.3","31.9","33.2","8.0","119.8","114.0","7.6"
"154","Dawson Knox","BUF","TE","15","0","4","0","-","0","0","477","69","49","587","9","300","107","7","8","50","591","9","7","107","-","-","0.00","0.0%","1.23","8.51","6.12","2.18","0.14","16.3%","11.82","0.14","2.14","16.0%","0.3","39.1","39.4","10.9","164.1","150.6","10.0"
"155","Hunter Henry","NE","TE","17","0","0","0","-","0","0","399","72","50","603","9","161","69","1","8","50","603","9","1","69","-","-","0.00","0.0%","1.51","8.38","3.22","1.38","0.02","16.0%","12.06","0.02","1.38","16.0%","0.0","35.5","35.5","9.7","164.3","146.4","8.6"
"156","C.J. Uzomah","CIN","TE","16","0","0","0","-","0","0","445","62","49","493","5","300","151","12","7","49","493","5","12","151","-","-","0.00","0.0%","1.11","7.95","6.12","3.08","0.24","14.3%","10.06","0.24","3.08","14.3%","0.0","30.8","30.8","8.0","128.3","98.7","6.2"
"157","Zay Jones","LV","WR","17","2","3","0","-","0","0","382","69","47","546","1","185","61","6","8","49","549","1","6","61","1.50","-","0.00","0.0%","1.43","7.91","3.94","1.30","0.13","17.0%","11.20","0.12","1.24","16.3%","0.2","32.1","32.3","6.3","106.9","122.2","7.2"
"158","Jared Cook","LAC","TE","16","0","0","0","-","0","0","466","80","48","564","4","250","85","3","7","48","564","4","3","85","-","-","0.00","0.0%","1.21","7.05","5.21","1.77","0.06","14.6%","11.75","0.06","1.77","14.6%","0.0","35.3","35.3","8.3","132.4","148.5","9.3"
"159","Elijah Moore","NYJ","WR","11","5","54","1","6","1","2","296","74","43","538","5","216","66","5","9","48","592","6","6","72","10.80","1.20","0.20","40.0%","1.82","7.27","5.02","1.53","0.12","20.9%","12.33","0.13","1.50","22.9%","4.9","48.9","53.8","12.6","138.2","142.0","12.9"
"160","Evan Engram","NYG","TE","15","1","-3","0","1","0","0","424","69","46","408","3","203","71","1","2","47","405","3","1","72","-3.00","1.00","0.00","0.0%","0.96","5.91","4.41","1.54","0.02","4.3%","8.62","0.02","1.53","4.3%","-0.2","27.2","27.0","6.9","103.5","116.5","7.8"
"161","Cedrick Wilson","DAL","WR","16","2","11","0","2","0","0","332","60","45","602","6","278","90","9","8","47","613","6","9","92","5.50","1.00","0.00","0.0%","1.81","10.03","6.18","2.00","0.20","17.8%","13.04","0.19","1.96","17.0%","0.7","37.6","38.3","9.2","147.8","107.9","6.7"
"162","Odell Beckham","LA, CLV","WR","14","2","14","0","8","1","0","402","82","44","537","5","164","52","3","7","46","551","5","4","60","7.00","4.00","0.50","0.0%","1.34","6.55","3.73","1.18","0.07","15.9%","11.98","0.09","1.30","15.2%","1.0","38.4","39.4","9.2","129.1","157.1","11.2"
"163","Rashod Bateman","BLT","WR","12","0","0","0","-","0","0","403","64","46","515","1","170","65","3","8","46","515","1","3","65","-","-","0.00","0.0%","1.28","8.05","3.70","1.41","0.07","17.4%","11.20","0.07","1.41","17.4%","0.0","42.9","42.9","8.6","103.5","107.4","8.9"
"164","Marquez Callaway","NO","WR","17","0","0","0","-","0","0","444","82","46","698","6","146","88","1","9","46","698","6","1","88","-","-","0.00","0.0%","1.57","8.51","3.17","1.91","0.02","19.6%","15.17","0.02","1.91","19.6%","0.0","41.1","41.1","8.9","151.8","150.2","8.8"
"165","Le'Veon Bell","TB, BLT","RB","8","39","101","2","77","6","0","79","7","5","30","1","28","12","1","0","44","131","3","7","89","2.59","1.97","0.15","0.0%","0.38","4.29","5.60","2.40","0.20","0.0%","2.98","0.16","2.02","0.0%","12.6","3.8","16.4","4.8","38.1","40.0","5.0"
"166","Emmanuel Sanders","BUF","WR","14","2","31","0","5","0","1","478","69","42","626","4","99","40","1","10","44","657","4","1","45","15.50","2.50","0.00","50.0%","1.31","9.07","2.36","0.95","0.02","23.8%","14.93","0.02","1.02","25.0%","2.2","44.7","46.9","9.4","131.7","152.5","10.9"
"167","Ty'Son Williams","BLT","RB","8","35","185","1","98","8","3","74","12","9","84","0","74","18","1","1","44","269","1","9","116","5.29","2.80","0.23","8.6%","1.14","7.00","8.22","2.00","0.11","11.1%","6.11","0.20","2.64","9.1%","23.1","10.5","33.6","5.2","41.9","40.8","5.1"
"168","Quez Watkins","PHI","WR","17","1","3","0","6","1","0","372","59","43","647","1","272","110","8","12","44","650","1","9","116","3.00","6.00","1.00","0.0%","1.74","10.97","6.33","2.56","0.19","27.9%","14.77","0.20","2.64","27.3%","0.2","38.1","38.2","6.8","116.0","108.9","6.4"
"169","Trey Sermon","SF","RB","6","41","167","1","95","7","2","39","4","3","26","0","20","5","0","1","44","193","1","7","100","4.07","2.32","0.17","4.9%","0.67","6.50","6.67","1.67","0.00","33.3%","4.39","0.16","2.27","6.8%","27.8","4.3","32.2","4.7","28.3","28.5","4.8"
"170","Allen Lazard","GB","WR","15","3","32","0","21","1","0","394","59","40","513","8","208","87","3","8","43","545","8","4","108","10.67","7.00","0.33","0.0%","1.30","8.69","5.20","2.18","0.08","20.0%","12.67","0.09","2.51","18.6%","2.1","34.2","36.3","9.5","142.5","106.2","7.1"
"171","Jalen Reagor","PHI","WR","17","10","32","0","21","3","0","412","56","33","299","2","149","55","6","4","43","331","2","9","76","3.20","2.10","0.30","0.0%","0.73","5.34","4.52","1.67","0.18","12.1%","7.70","0.21","1.77","9.3%","1.9","17.6","19.5","4.6","78.1","107.1","6.3"
"172","Antonio Brown","TB","WR","7","1","6","0","3","0","0","184","61","42","545","4","195","49","9","10","43","551","4","9","52","6.00","3.00","0.00","0.0%","2.96","8.93","4.64","1.17","0.21","23.8%","12.81","0.21","1.21","23.3%","0.9","77.9","78.7","17.3","121.1","108.9","15.6"
"173","Adrian Peterson","TEN, SEA","RB","4","38","98","2","81","3","1","17","4","4","8","0","21","9","0","0","42","106","2","3","90","2.58","2.13","0.08","2.6%","0.47","2.00","5.25","2.25","0.00","0.0%","2.52","0.07","2.14","2.4%","24.5","2.0","26.5","6.7","26.6","39.3","9.8"
"174","Byron Pringle","KC","WR","17","0","0","0","-","0","0","377","58","42","568","5","198","90","7","11","42","568","5","7","90","-","-","0.00","0.0%","1.51","9.79","4.71","2.14","0.17","26.2%","13.52","0.17","2.14","26.2%","0.0","33.4","33.4","7.5","127.8","100.5","5.9"
"175","Kadarius Toney","NYG","WR","10","3","6","0","4","1","0","189","54","39","420","0","253","144","19","5","42","426","0","20","148","2.00","1.33","0.33","0.0%","2.22","7.78","6.49","3.69","0.49","12.8%","10.14","0.48","3.52","11.9%","0.6","42.0","42.6","8.2","82.4","97.0","9.7"
"176","DeAndre Hopkins","ARZ","WR","10","0","0","0","-","0","0","309","61","42","572","8","147","57","6","7","42","572","8","6","57","-","-","0.00","0.0%","1.85","9.38","3.50","1.36","0.14","16.7%","13.62","0.14","1.36","16.7%","0.0","57.2","57.2","14.7","147.2","131.0","13.1"
"177","Deonte Harris","NO","WR","13","5","41","0","15","1","1","207","57","36","570","3","252","127","10","5","41","611","3","11","142","8.20","3.00","0.20","20.0%","2.75","10.00","7.00","3.53","0.28","13.9%","14.90","0.27","3.46","14.6%","3.2","43.8","47.0","8.8","114.1","103.2","7.9"
"178","Adam Humphries","WAS","WR","17","0","0","0","-","0","0","431","61","41","383","0","161","58","3","4","41","383","0","3","58","-","-","0.00","0.0%","0.89","6.28","3.93","1.41","0.07","9.8%","9.34","0.07","1.41","9.8%","0.0","22.5","22.5","4.7","79.3","99.3","5.8"
"179","Ray-Ray McCloud","PIT","WR","16","2","15","0","14","2","0","325","63","39","277","0","133","50","5","2","41","292","0","7","64","7.50","7.00","1.00","0.0%","0.85","4.40","3.41","1.28","0.13","5.1%","7.12","0.17","1.56","4.9%","0.9","17.3","18.3","4.2","67.2","104.0","6.5"
"180","Nelson Agholor","NE","WR","15","3","11","0","7","3","0","401","60","37","473","3","100","43","3","9","40","484","3","6","50","3.67","2.33","1.00","0.0%","1.18","7.88","2.70","1.16","0.08","24.3%","12.10","0.15","1.25","22.5%","0.7","31.5","32.3","6.9","103.4","119.0","7.9"
"181","Jerry Jeudy","DEN","WR","10","2","3","0","5","1","0","251","55","38","467","0","192","54","7","7","40","470","0","8","59","1.50","2.50","0.50","0.0%","1.86","8.49","5.05","1.42","0.18","18.4%","11.75","0.20","1.48","17.5%","0.3","46.7","47.0","8.5","85.0","99.0","9.9"
"182","Eno Benjamin","ARZ","RB","9","34","118","1","91","7","1","40","7","6","42","0","48","27","4","0","40","160","1","11","118","3.47","2.68","0.21","2.9%","1.05","6.00","8.00","4.50","0.67","0.0%","4.00","0.28","2.95","2.5%","13.1","4.7","17.8","3.1","28.0","26.9","3.0"
"183","Zach Pascal","IND","WR","16","2","21","0","8","0","0","467","69","38","384","3","131","53","1","5","40","405","3","1","61","10.50","4.00","0.00","0.0%","0.82","5.57","3.45","1.39","0.03","13.2%","10.13","0.03","1.53","12.5%","1.3","24.0","25.3","6.0","95.5","131.6","8.2"
