"Rank","Name","Team","POS","G","Snaps","TM Snaps","Snap %","ATT","ATT","ATT %","RTE","DB","RTE %","TGT","TGT","TGT %","XFP","TM XFP","XFP %","XFP/G","FP/G","FP"
"131","Jonathan Ward","ARZ","RB","11","46","751","6.1%","9","318","2.8%","22","453","4.9%","3","379","0.7%","8.5","888.8","1.0%","0.8","0.9","9.7"
"132","Jason Huntley","PHI","RB","1","30","70","42.9%","13","33","39.4%","11","40","27.5%","1","30","2.9%","8.4","74.0","11.4%","8.4","5.1","5.1"
"133","Jaylen Samuels","HST","RB","3","17","176","9.7%","5","82","6.1%","11","99","11.1%","4","83","4.7%","8.3","189.3","4.4%","2.8","1.8","5.3"
"134","Scottie Phillips","HST","RB","2","19","125","15.2%","6","32","18.8%","10","96","10.4%","3","72","3.6%","7.4","141.1","5.2%","3.7","2.1","4.2"
"135","Kylin Hill","GB","RB","8","27","489","5.5%","10","206","4.9%","10","292","3.4%","2","247","0.8%","7.2","590.3","1.2%","0.9","0.5","3.9"
"136","Cam Akers","LA","RB","1","13","64","20.3%","5","27","18.5%","7","37","18.9%","3","29","9.4%","7.2","68.1","10.6%","7.2","4.3","4.3"
"137","Alex Armah","NO, WAS","RB","11","69","669","10.3%","5","306","1.6%","16","382","4.2%","1","302","0.3%","6.6","729.2","0.9%","0.6","0.8","9.2"
"138","Adam Prentice","NO","FB","7","103","434","23.7%","3","223","1.3%","30","228","13.2%","3","172","1.6%","5.5","401.0","1.4%","0.8","0.7","5.1"
"139","Wendell Smallwood","WAS","RB","2","20","122","16.4%","5","52","9.6%","13","74","17.6%","4","61","6.1%","5.2","62.7","8.3%","2.6","4.4","8.7"
"140","Dwayne Washington","NO","RB","9","13","549","2.4%","4","242","1.7%","8","321","2.5%","2","259","0.7%","4.9","597.8","0.8%","0.5","0.5","4.8"
"141","Mike Boone","DEN","RB","5","22","329","6.7%","4","143","2.8%","12","193","6.2%","2","154","1.2%","4.8","377.1","1.3%","1.0","1.5","7.7"
"142","Derek Watt","PIT","FB","16","81","1057","7.7%","1","397","0.3%","10","666","1.5%","3","599","0.5%","4.6","1312.3","0.4%","0.3","0.3","4.6"
