"Rank","Name","Team","POS","G","RTE","TGT","TPRR","RTE %","YPRR","RTE","WIDE RTE %","TM RTE %","TGT","TPRR","RTE %","YPRR","RTE","SLOT RTE %","TM RTE %","TGT","TPRR","RTE %","YPRR","RTE","INLINE RTE %","TM RTE %","TGT","TPRR","RTE %","YPRR","RTE","BACK RTE %","TM RTE %","TGT","TPRR","RTE %","YPRR"
"93","Keenan Allen","LAC","WR","10","327","86","0.26","72.7%","2.30","109","33.3%","14.1%","29","0.27","24.2%","2.36","216","66.1%","35.5%","57","0.26","48.0%","2.29","0","0.0%","0.0%","0","0.00","0.0%","0.00","2","0.6%","0.6%","0","0.00","0.4%","0.00"
"94","Olamide Zaccheaus","ATL","WR","17","326","61","0.19","66.5%","1.63","131","40.2%","15.5%","21","0.16","26.7%","1.27","194","59.5%","33.1%","39","0.20","39.6%","1.89","0","0.0%","0.0%","0","0.00","0.0%","0.00","1","0.3%","0.4%","1","1.00","0.2%","0.00"
"95","Foster Moreau","LV","TE","15","323","50","0.15","56.3%","1.30","56","17.3%","5.2%","8","0.14","9.8%","1.04","141","43.7%","16.6%","18","0.13","24.6%","0.95","119","36.8%","69.2%","22","0.18","20.7%","1.75","7","2.2%","1.5%","2","0.29","1.2%","2.86"
"96","Josh Jacobs","LV","RB","17","323","62","0.19","50.0%","1.24","32","9.9%","2.7%","2","0.06","5.0%","1.09","7","2.2%","0.7%","1","0.14","1.1%","0.57","2","0.6%","1.0%","0","0.00","0.3%","0.00","282","87.3%","55.5%","59","0.21","43.7%","1.28"
"97","Zach Ertz","ARZ","TE","10","322","65","0.20","71.2%","1.26","46","14.3%","6.1%","11","0.24","10.2%","1.33","181","56.2%","25.7%","33","0.18","40.0%","1.14","88","27.3%","62.9%","20","0.23","19.5%","1.50","7","2.2%","2.6%","1","0.14","1.5%","0.86"
"98","Russell Gage","TB","WR","13","322","70","0.22","54.2%","1.32","215","66.8%","20.9%","40","0.19","36.2%","1.20","107","33.2%","12.4%","30","0.28","18.0%","1.58","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"99","A.J. Green","ARZ","WR","15","318","45","0.14","46.6%","0.74","276","86.8%","23.5%","44","0.16","40.4%","0.84","42","13.2%","4.2%","1","0.02","6.1%","0.12","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"100","D.J. Chark","DET","WR","11","316","51","0.16","75.4%","1.59","235","74.4%","32.1%","46","0.20","56.1%","1.96","81","25.6%","14.0%","5","0.06","19.3%","0.52","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"101","Richie James","NYG","WR","16","315","68","0.22","51.9%","1.81","49","15.6%","4.6%","13","0.27","8.1%","1.86","265","84.1%","34.1%","55","0.21","43.7%","1.80","1","0.3%","0.3%","0","0.00","0.2%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"102","Jerick McKinnon","KC","RB","17","314","69","0.22","43.4%","1.63","19","6.1%","1.5%","3","0.16","2.6%","2.47","12","3.8%","1.1%","0","0.00","1.7%","0.00","11","3.5%","3.5%","3","0.27","1.5%","5.55","272","86.6%","57.6%","63","0.23","37.6%","1.49"
"103","Greg Dortch","ARZ","WR","16","314","64","0.20","43.8%","1.49","50","15.9%","4.1%","18","0.36","7.0%","1.66","258","82.2%","24.4%","42","0.16","36.0%","1.24","0","0.0%","0.0%","0","0.00","0.0%","0.00","6","1.9%","1.3%","4","0.67","0.8%","10.67"
"104","Robert Tonyan","GB","TE","17","313","64","0.20","51.5%","1.50","62","19.8%","6.4%","10","0.16","10.2%","0.68","123","39.3%","15.7%","27","0.22","20.2%","1.63","128","40.9%","46.7%","27","0.21","21.1%","1.77","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"105","Devin Singletary","BUF","RB","16","312","47","0.15","47.4%","0.90","24","7.7%","2.0%","4","0.17","3.6%","1.00","50","16.0%","4.9%","8","0.16","7.6%","1.22","0","0.0%","0.0%","0","0.00","0.0%","0.00","238","76.3%","55.7%","35","0.15","36.2%","0.82"
"106","Allen Robinson","LA","WR","10","308","52","0.17","78.0%","1.10","213","69.2%","32.1%","35","0.16","53.9%","1.10","95","30.8%","17.7%","17","0.18","24.1%","1.09","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"107","Cooper Kupp","LA","WR","9","308","97","0.31","85.8%","2.64","135","43.8%","22.7%","47","0.35","37.6%","2.47","166","53.9%","34.6%","47","0.28","46.2%","2.73","0","0.0%","0.0%","0","0.00","0.0%","0.00","7","2.3%","3.4%","3","0.43","1.9%","3.71"
"108","Rhamondre Stevenson","NE","RB","17","304","87","0.29","50.5%","1.38","8","2.6%","0.8%","2","0.25","1.3%","0.63","37","12.2%","4.6%","14","0.38","6.1%","2.78","0","0.0%","0.0%","0","0.00","0.0%","0.00","259","85.2%","64.1%","71","0.27","43.0%","1.21"
"109","Greg Dulcich","DEN","TE","10","300","51","0.17","75.9%","1.37","25","8.3%","3.6%","4","0.16","6.3%","0.00","172","57.3%","31.0%","24","0.14","43.5%","1.08","103","34.3%","55.4%","23","0.22","26.1%","2.19","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"110","Saquon Barkley","NYG","RB","16","299","73","0.24","51.0%","1.13","17","5.7%","1.7%","4","0.24","2.9%","2.41","19","6.4%","2.6%","8","0.42","3.2%","1.53","14","4.7%","4.6%","4","0.29","2.4%","0.43","249","83.3%","69.2%","57","0.23","42.5%","1.05"
"111","Shi Smith","CAR","WR","17","298","38","0.13","58.2%","0.99","64","21.5%","7.6%","10","0.16","12.5%","1.11","234","78.5%","43.5%","28","0.12","45.7%","0.96","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"112","Austin Hooper","TEN","TE","17","295","56","0.19","55.8%","1.51","44","14.9%","4.8%","5","0.11","8.3%","1.09","158","53.6%","22.4%","31","0.20","29.9%","1.35","93","31.5%","37.5%","20","0.22","17.6%","1.97","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"113","Kalif Raymond","DET","WR","17","294","62","0.21","46.9%","2.10","155","52.7%","14.1%","32","0.21","24.7%","1.75","134","45.6%","15.7%","28","0.21","21.4%","2.57","2","0.7%","0.8%","0","0.00","0.3%","0.00","3","1.0%","0.8%","2","0.67","0.5%","0.00"
"114","James Conner","ARZ","RB","13","289","56","0.19","49.1%","1.04","25","8.7%","2.5%","4","0.16","4.3%","0.36","36","12.5%","4.2%","3","0.08","6.1%","0.42","2","0.7%","0.9%","0","0.00","0.3%","0.00","226","78.2%","62.1%","49","0.22","38.4%","1.22"
"115","DeVante Parker","NE","WR","13","288","46","0.16","62.3%","1.87","263","91.3%","32.3%","43","0.16","56.9%","1.84","25","8.7%","4.0%","3","0.12","5.4%","2.16","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"116","Robby Anderson","CAR, ARZ","WR","16","286","42","0.15","44.7%","0.99","239","83.6%","21.7%","36","0.15","37.3%","1.08","47","16.4%","5.6%","6","0.13","7.3%","0.51","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"117","Marquise Goodwin","SEA","WR","13","286","41","0.14","56.0%","1.35","114","39.9%","12.7%","17","0.15","22.3%","1.59","169","59.1%","23.3%","24","0.14","33.1%","1.22","1","0.3%","0.4%","0","0.00","0.2%","0.00","2","0.7%","0.7%","0","0.00","0.4%","0.00"
"118","Tyquan Thornton","NE","WR","13","285","43","0.15","61.2%","0.87","221","77.5%","27.4%","38","0.17","47.4%","0.92","64","22.5%","10.3%","5","0.08","13.7%","0.67","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"119","David Bell","CLV","WR","16","281","33","0.12","47.9%","0.76","80","28.5%","7.7%","12","0.15","13.6%","0.98","201","71.5%","23.8%","21","0.10","34.2%","0.68","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"120","Hunter Renfrow","LV","WR","10","281","50","0.18","72.2%","1.17","40","14.2%","5.5%","16","0.40","10.3%","2.10","240","85.4%","41.5%","34","0.14","61.7%","1.03","0","0.0%","0.0%","0","0.00","0.0%","0.00","1","0.4%","0.3%","0","0.00","0.3%","0.00"
"121","Darnell Mooney","CHI","WR","12","280","59","0.21","80.2%","1.76","110","39.3%","19.5%","30","0.27","31.5%","2.37","166","59.3%","37.2%","28","0.17","47.6%","1.37","0","0.0%","0.0%","0","0.00","0.0%","0.00","4","1.4%","2.2%","0","0.00","1.1%","0.00"
"122","Alvin Kamara","NO","RB","15","280","73","0.26","57.5%","1.75","21","7.5%","2.4%","3","0.14","4.3%","1.05","13","4.6%","1.9%","7","0.54","2.7%","1.77","2","0.7%","0.9%","1","0.50","0.4%","2.50","244","87.1%","68.0%","62","0.25","50.1%","1.80"
"123","Jordan Akins","HST","TE","15","279","50","0.18","50.2%","1.77","28","10.0%","3.1%","5","0.18","5.0%","1.43","111","39.8%","16.9%","20","0.18","20.0%","1.66","140","50.2%","37.7%","25","0.18","25.2%","1.94","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"124","Van Jefferson","LA","WR","11","275","41","0.15","76.2%","1.34","197","71.6%","32.1%","28","0.14","54.6%","1.17","77","28.0%","17.0%","13","0.17","21.3%","1.79","1","0.4%","0.5%","0","0.00","0.3%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"125","Dante Pettis","CHI","WR","17","274","37","0.14","54.3%","0.89","152","55.5%","18.1%","15","0.10","30.1%","1.09","122","44.5%","18.1%","21","0.17","24.2%","0.66","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"126","Aaron Jones","GB","RB","17","273","72","0.26","44.9%","1.45","45","16.5%","4.6%","10","0.22","7.4%","0.93","38","13.9%","4.8%","19","0.50","6.3%","2.63","18","6.6%","6.6%","2","0.11","3.0%","0.56","172","63.0%","49.9%","41","0.24","28.3%","1.41"
"127","Jauan Jennings","SF","WR","16","273","54","0.20","51.8%","1.52","126","46.2%","13.6%","21","0.17","23.9%","1.65","147","53.8%","22.6%","33","0.22","27.9%","1.41","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"128","Travis Etienne","JAX","RB","17","270","43","0.16","41.7%","1.17","24","8.9%","2.2%","2","0.08","3.7%","0.08","11","4.1%","1.1%","2","0.18","1.7%","1.64","0","0.0%","0.0%","0","0.00","0.0%","0.00","235","87.0%","63.0%","39","0.17","36.3%","1.25"
"129","Terrace Marshall","CAR","WR","14","270","47","0.17","65.2%","1.81","247","91.5%","36.1%","45","0.18","59.7%","1.96","23","8.5%","5.2%","2","0.09","5.6%","0.26","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"130","Kendall Hinton","DEN","WR","11","267","31","0.12","61.5%","1.16","124","46.4%","16.2%","14","0.11","28.6%","1.23","143","53.6%","23.0%","17","0.12","32.9%","1.10","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"131","Trey McBride","ARZ","TE","15","266","39","0.15","40.7%","1.00","31","11.7%","2.8%","3","0.10","4.7%","0.42","90","33.8%","9.4%","10","0.11","13.8%","0.51","129","48.5%","52.9%","24","0.19","19.7%","1.53","16","6.0%","3.8%","2","0.13","2.4%","0.50"
"132","Romeo Doubs","GB","WR","13","265","66","0.25","54.6%","1.60","206","77.7%","26.6%","51","0.25","42.5%","1.46","59","22.3%","9.6%","15","0.25","12.2%","2.10","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"133","Nelson Agholor","NE","WR","16","265","51","0.19","46.8%","1.37","183","69.1%","18.3%","35","0.19","32.3%","1.31","82","30.9%","10.7%","16","0.20","14.5%","1.49","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"134","Joe Mixon","CIN","RB","14","264","70","0.27","43.8%","1.67","33","12.5%","3.0%","7","0.21","5.5%","1.70","17","6.4%","2.0%","4","0.24","2.8%","1.76","0","0.0%","0.0%","0","0.00","0.0%","0.00","214","81.1%","58.3%","59","0.28","35.5%","1.66"
"135","Nico Collins","HST","WR","10","263","63","0.24","68.0%","1.83","241","91.6%","37.6%","57","0.24","62.3%","1.83","22","8.4%","4.7%","6","0.27","5.7%","1.77","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"136","Justin Watson","KC","WR","17","259","31","0.12","35.8%","1.22","175","67.6%","14.0%","21","0.12","24.2%","1.54","83","32.0%","7.7%","10","0.12","11.5%","0.54","1","0.4%","0.3%","0","0.00","0.1%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"137","Kendrick Bourne","NE","WR","16","258","46","0.18","45.3%","1.68","187","72.5%","18.8%","35","0.19","32.8%","1.80","71","27.5%","9.3%","11","0.15","12.5%","1.37","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"138","Rondale Moore","ARZ","WR","8","253","55","0.22","73.8%","1.64","103","40.7%","18.1%","20","0.19","30.0%","1.78","146","57.7%","27.8%","32","0.22","42.6%","1.51","0","0.0%","0.0%","0","0.00","0.0%","0.00","4","1.6%","1.9%","3","0.75","1.2%","2.75"
"139","Phillip Dorsett","HST","WR","15","250","40","0.16","45.0%","1.03","204","81.6%","22.5%","32","0.16","36.8%","0.87","46","18.4%","6.9%","8","0.17","8.3%","1.74","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"140","Mo Alie-Cox","IND","TE","17","248","27","0.11","36.2%","0.76","33","13.3%","2.7%","1","0.03","4.8%","0.00","79","31.9%","7.8%","4","0.05","11.5%","0.39","136","54.8%","45.2%","22","0.16","19.8%","1.16","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"141","Najee Harris","PIT","RB","17","248","53","0.21","38.7%","0.92","18","7.3%","1.5%","1","0.06","2.8%","0.33","15","6.0%","1.9%","3","0.20","2.3%","0.93","4","1.6%","0.9%","1","0.25","0.6%","1.00","211","85.1%","55.5%","48","0.23","32.9%","0.99"
"142","Daniel Bellinger","NYG","TE","12","248","33","0.13","56.8%","1.08","43","17.3%","5.6%","7","0.16","9.8%","1.49","71","28.6%","13.1%","4","0.06","16.2%","0.34","130","52.4%","53.9%","20","0.15","29.7%","1.08","4","1.6%","1.6%","2","0.50","0.9%","9.75"
"143","Isaiah Likely","BLT","TE","16","247","55","0.22","46.6%","1.51","45","18.2%","4.9%","7","0.16","8.5%","1.24","156","63.2%","19.3%","38","0.24","29.4%","1.77","45","18.2%","17.4%","10","0.22","8.5%","0.91","1","0.4%","0.4%","0","0.00","0.2%","0.00"
"144","Harrison Bryant","CLV","TE","17","243","42","0.17","39.3%","0.98","32","13.2%","2.9%","5","0.16","5.2%","0.63","106","43.6%","12.1%","16","0.15","17.1%","1.03","99","40.7%","27.4%","20","0.20","16.0%","0.99","6","2.5%","1.6%","1","0.17","1.0%","2.00"
"145","Christian Watson","GB","WR","14","243","65","0.27","49.8%","2.51","162","66.7%","20.8%","41","0.25","33.2%","2.45","78","32.1%","12.4%","22","0.28","16.0%","2.53","2","0.8%","0.9%","1","0.50","0.4%","6.50","1","0.4%","0.4%","1","1.00","0.2%","4.00"
"146","Isaiah Hodgins","NYG, BUF","WR","11","243","46","0.19","58.3%","1.61","211","86.8%","28.6%","38","0.18","50.6%","1.51","32","13.2%","5.5%","8","0.25","7.7%","2.31","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"147","Darren Waller","LV","TE","9","241","42","0.17","65.7%","1.61","50","20.7%","7.4%","11","0.22","13.6%","1.60","147","61.0%","26.3%","21","0.14","40.1%","1.26","43","17.8%","40.6%","10","0.23","11.7%","2.86","1","0.4%","0.4%","0","0.00","0.3%","0.00"
"148","Raheem Mostert","MIA","RB","16","240","38","0.16","40.7%","0.84","14","5.8%","1.3%","2","0.14","2.4%","2.21","53","22.1%","6.1%","7","0.13","9.0%","0.06","0","0.0%","0.0%","0","0.00","0.0%","0.00","173","72.1%","46.0%","29","0.17","29.4%","0.97"
"149","Treylon Burks","TEN","WR","11","240","55","0.23","65.9%","1.85","187","77.9%","29.7%","43","0.23","51.4%","1.78","52","21.7%","10.7%","11","0.21","14.3%","2.00","1","0.4%","0.6%","1","1.00","0.3%","8.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"150","Rachaad White","TB","RB","17","239","57","0.24","30.8%","1.21","12","5.0%","0.9%","3","0.25","1.5%","-0.17","8","3.3%","0.7%","4","0.50","1.0%","3.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","219","91.6%","36.2%","50","0.23","28.2%","1.18"
"151","Kareem Hunt","CLV","RB","17","237","41","0.17","38.3%","0.89","21","8.9%","1.9%","0","0.00","3.4%","0.00","13","5.5%","1.5%","4","0.31","2.1%","2.15","21","8.9%","5.8%","3","0.14","3.4%","1.10","182","76.8%","48.4%","34","0.19","29.4%","0.87"
"152","Equanimeous St. Brown","CHI","WR","16","233","37","0.16","49.4%","1.39","164","70.4%","21.0%","24","0.15","34.7%","1.49","66","28.3%","10.6%","13","0.20","14.0%","1.05","3","1.3%","1.5%","0","0.00","0.6%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"153","Noah Gray","KC","TE","17","231","34","0.15","32.0%","1.29","31","13.4%","2.5%","5","0.16","4.3%","0.68","56","24.2%","5.2%","5","0.09","7.7%","0.79","144","62.3%","45.4%","23","0.16","19.9%","1.63","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"154","Keelan Cole","LV","WR","14","231","21","0.09","43.3%","0.61","86","37.2%","8.7%","10","0.12","16.1%","1.07","145","62.8%","19.0%","11","0.08","27.2%","0.34","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"155","Will Dissly","SEA","TE","15","229","38","0.17","39.6%","1.52","23","10.0%","2.3%","3","0.13","4.0%","1.57","55","24.0%","6.8%","7","0.13","9.5%","1.05","138","60.3%","44.2%","24","0.17","23.8%","1.71","13","5.7%","3.8%","4","0.31","2.2%","1.46"
"156","Jonathan Taylor","IND","RB","11","229","35","0.15","53.1%","0.62","9","3.9%","1.2%","1","0.11","2.1%","0.44","6","2.6%","1.0%","1","0.17","1.4%","0.67","0","0.0%","0.0%","0","0.00","0.0%","0.00","214","93.4%","69.3%","33","0.15","49.7%","0.63"
"157","Michael Carter","NYJ","RB","16","228","50","0.22","36.3%","1.26","13","5.7%","1.2%","1","0.08","2.1%","0.62","13","5.7%","1.6%","4","0.31","2.1%","1.46","45","19.7%","10.3%","8","0.18","7.2%","1.36","157","68.9%","50.2%","37","0.24","25.0%","1.27"
"158","D'Andre Swift","DET","RB","14","227","67","0.30","44.2%","1.71","25","11.0%","2.8%","3","0.12","4.9%","0.20","15","6.6%","2.2%","6","0.40","2.9%","2.47","0","0.0%","0.0%","0","0.00","0.0%","0.00","187","82.4%","56.0%","58","0.31","36.4%","1.78"
"159","Samaje Perine","CIN","RB","16","223","48","0.22","32.7%","1.29","18","8.1%","1.4%","5","0.28","2.6%","0.44","24","10.8%","2.5%","4","0.17","3.5%","0.50","0","0.0%","0.0%","0","0.00","0.0%","0.00","181","81.2%","43.3%","39","0.22","26.6%","1.48"
"160","Randall Cobb","GB","WR","13","219","49","0.22","46.6%","1.90","43","19.6%","5.7%","11","0.26","9.1%","1.21","173","79.0%","28.8%","37","0.21","36.8%","2.06","0","0.0%","0.0%","0","0.00","0.0%","0.00","3","1.4%","1.1%","1","0.33","0.6%","3.00"
"161","Antonio Gibson","WAS","RB","15","218","57","0.26","38.0%","1.62","33","15.1%","3.2%","6","0.18","5.8%","1.00","21","9.6%","2.3%","7","0.33","3.7%","2.71","0","0.0%","0.0%","0","0.00","0.0%","0.00","164","75.2%","46.6%","44","0.27","28.6%","1.60"
"162","Nick Chubb","CLV","RB","17","216","33","0.15","34.9%","1.11","32","14.8%","2.9%","0","0.00","5.2%","0.00","10","4.6%","1.1%","1","0.10","1.6%","0.00","7","3.2%","1.9%","0","0.00","1.1%","0.00","167","77.3%","44.4%","32","0.19","27.0%","1.43"
"163","Julio Jones","TB","WR","10","215","43","0.20","45.6%","1.39","163","75.8%","20.1%","36","0.22","34.5%","1.57","52","24.2%","7.3%","7","0.13","11.0%","0.83","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"164","Tony Pollard","DAL","RB","16","211","50","0.24","37.9%","1.76","32","15.2%","3.3%","5","0.16","5.8%","0.69","24","11.4%","3.0%","8","0.33","4.3%","0.71","0","0.0%","0.0%","0","0.00","0.0%","0.00","155","73.5%","46.4%","37","0.24","27.9%","2.14"
"165","Kylen Granson","IND","TE","13","210","39","0.19","38.9%","1.44","18","8.6%","1.9%","5","0.28","3.3%","3.00","115","54.8%","14.6%","20","0.17","21.3%","1.14","77","36.7%","31.4%","14","0.18","14.3%","1.52","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"166","Cameron Brate","TB","TE","11","210","35","0.17","45.3%","0.83","40","19.0%","5.1%","3","0.08","8.6%","0.35","113","53.8%","16.7%","22","0.19","24.4%","1.00","57","27.1%","36.5%","10","0.18","12.3%","0.82","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"167","Jeffery Wilson","SF, MIA","RB","16","209","36","0.17","37.2%","0.89","25","12.0%","2.5%","3","0.12","4.4%","0.56","37","17.7%","4.7%","5","0.14","6.6%","0.78","2","1.0%","0.8%","0","0.00","0.4%","0.00","145","69.4%","40.7%","28","0.19","25.8%","0.98"
"168","Tommy Tremble","CAR","TE","17","207","30","0.14","40.4%","0.84","12","5.8%","1.4%","3","0.25","2.3%","2.42","31","15.0%","5.8%","5","0.16","6.1%","0.32","161","77.8%","46.4%","21","0.13","31.4%","0.77","3","1.4%","1.0%","1","0.33","0.6%","3.67"
"169","David Montgomery","CHI","RB","16","201","39","0.19","42.8%","1.57","23","11.4%","3.0%","3","0.13","4.9%","2.00","29","14.4%","4.6%","6","0.21","6.2%","1.28","0","0.0%","0.0%","0","0.00","0.0%","0.00","149","74.1%","60.8%","30","0.20","31.7%","1.56"
"170","C.J. Uzomah","NYJ","TE","15","199","26","0.13","32.8%","1.17","19","9.5%","1.8%","2","0.11","3.1%","0.37","60","30.2%","7.4%","1","0.02","9.9%","0.45","119","59.8%","29.3%","23","0.19","19.6%","1.66","1","0.5%","0.3%","0","0.00","0.2%","0.00"
"171","Kenneth Walker","SEA","RB","15","198","34","0.17","34.2%","0.83","38","19.2%","3.7%","5","0.13","6.6%","0.79","22","11.1%","2.7%","7","0.32","3.8%","0.73","0","0.0%","0.0%","0","0.00","0.0%","0.00","138","69.7%","39.8%","22","0.16","23.8%","0.86"
"172","Mecole Hardman","KC","WR","8","198","33","0.17","53.4%","1.50","94","47.5%","14.6%","10","0.11","25.3%","1.03","100","50.5%","17.1%","22","0.22","27.0%","1.93","1","0.5%","0.7%","0","0.00","0.3%","0.00","3","1.5%","1.3%","1","0.33","0.8%","2.33"
"173","Miles Sanders","PHI","RB","17","198","26","0.13","31.7%","0.39","27","13.6%","2.6%","1","0.04","4.3%","0.00","18","9.1%","2.0%","0","0.00","2.9%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","153","77.3%","45.3%","25","0.16","24.5%","0.51"
"174","Jelani Woods","IND","TE","15","197","39","0.20","31.8%","1.58","33","16.8%","3.0%","9","0.27","5.3%","1.85","80","40.6%","8.6%","12","0.15","12.9%","1.16","84","42.6%","30.1%","18","0.21","13.5%","1.88","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"175","Jarvis Landry","NO","WR","9","196","38","0.19","63.2%","1.39","59","30.1%","10.4%","14","0.24","19.0%","1.73","135","68.9%","31.0%","23","0.17","43.5%","1.24","1","0.5%","0.8%","1","1.00","0.3%","3.00","1","0.5%","0.4%","0","0.00","0.3%","0.00"
"176","Colby Parkinson","SEA","TE","17","195","33","0.17","29.9%","1.65","27","13.8%","2.3%","4","0.15","4.1%","0.96","69","35.4%","7.5%","11","0.16","10.6%","1.28","96","49.2%","27.0%","17","0.18","14.7%","2.17","3","1.5%","0.8%","1","0.33","0.5%","0.00"
"177","Ezekiel Elliott","DAL","RB","15","191","23","0.12","36.5%","0.48","19","9.9%","2.0%","0","0.00","3.6%","0.00","2","1.0%","0.3%","0","0.00","0.4%","0.00","7","3.7%","3.0%","2","0.29","1.3%","0.00","163","85.3%","51.3%","21","0.13","31.1%","0.56"
"178","Tre' McKitty","LAC","TE","17","190","15","0.08","24.6%","0.38","15","7.9%","1.1%","1","0.07","1.9%","0.60","63","33.2%","5.8%","2","0.03","8.2%","0.19","111","58.4%","31.7%","12","0.11","14.4%","0.46","1","0.5%","0.2%","0","0.00","0.1%","0.00"
"179","Kyle Pitts","ATL","TE","10","190","57","0.30","70.4%","1.87","54","28.4%","11.7%","19","0.35","20.0%","2.06","85","44.7%","26.7%","22","0.26","31.5%","1.22","48","25.3%","43.2%","15","0.31","17.8%","2.35","3","1.6%","2.2%","1","0.33","1.1%","9.33"
"180","A.J. Dillon","GB","RB","17","185","42","0.23","30.4%","1.11","12","6.5%","1.2%","3","0.25","2.0%","1.00","13","7.0%","1.7%","6","0.46","2.1%","2.08","8","4.3%","2.9%","2","0.25","1.3%","2.50","152","82.2%","44.1%","31","0.20","25.0%","0.97"
"181","Kyle Juszczyk","SF","FB","16","184","22","0.12","34.9%","1.09","42","22.8%","4.5%","0","0.00","8.0%","0.00","45","24.5%","6.9%","3","0.07","8.5%","1.44","33","17.9%","10.7%","7","0.21","6.3%","1.70","64","34.8%","17.3%","12","0.19","12.1%","1.23"
"182","Marquez Callaway","NO","WR","14","183","31","0.17","39.2%","0.86","169","92.3%","19.7%","29","0.17","36.2%","0.84","14","7.7%","2.2%","2","0.14","3.0%","1.14","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"183","Rex Burkhead","HST","RB","16","182","48","0.26","30.4%","1.12","17","9.3%","1.7%","5","0.29","2.8%","0.53","31","17.0%","4.3%","8","0.26","5.2%","1.16","0","0.0%","0.0%","0","0.00","0.0%","0.00","134","73.6%","36.4%","35","0.26","22.4%","1.19"
"184","Jack Stoll","PHI","TE","17","177","14","0.08","28.3%","0.69","17","9.6%","1.7%","2","0.12","2.7%","0.76","59","33.3%","6.5%","3","0.05","9.4%","0.68","101","57.1%","36.6%","9","0.09","16.2%","0.69","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"185","Rashid Shaheed","NO","WR","12","175","34","0.19","46.3%","2.78","129","73.7%","18.8%","20","0.16","34.1%","2.53","45","25.7%","8.5%","14","0.31","11.9%","3.56","0","0.0%","0.0%","0","0.00","0.0%","0.00","1","0.6%","0.3%","0","0.00","0.3%","0.00"
"186","Tre'Quan Smith","NO","WR","15","172","26","0.15","36.1%","1.62","65","37.8%","7.5%","9","0.14","13.6%","0.92","107","62.2%","16.2%","17","0.16","22.4%","2.04","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
