"Rank","Name","Team","POS","G","ATT","YDS","TD","YACO","MTF","EXP","RTE","TGT","REC","YDS","TD","YAC","YACO","MTF","EXP","TOUCH","YFS","TD","MTF","YACO","YPC","YACO/ATT","MTF/ATT","EXP RUN %","YPRR","YPT","YAC/REC","YACO/REC","MTF/REC","EXP REC %","YFS/TOUCH","MTF/TOUCH","YACO/TOUCH","EXP PLAY %","RuYDS/G","RecYDS/G","YFS/G","FP/G","FP","XFP","XFP/G"
"209","Corey Davis","NYJ","WR","13","0","0","0","-","0","0","375","59","32","536","2","119","37","1","7","32","536","2","1","37","-","-","0.00","0.0%","1.43","9.08","3.72","1.16","0.03","21.9%","16.75","0.03","1.16","21.9%","0.0","41.2","41.2","7.5","97.6","107.3","8.3"
"210","Harrison Bryant","CLV","TE","17","1","8","0","2","0","0","243","42","31","239","1","114","45","4","1","32","247","1","4","47","8.00","2.00","0.00","0.0%","0.98","5.69","3.68","1.45","0.13","3.2%","7.72","0.13","1.47","3.1%","0.5","14.1","14.5","3.6","61.7","74.7","4.4"
"211","Craig Reynolds","DET","RB","7","23","102","0","78","6","2","46","10","9","116","0","112","26","1","2","32","218","0","7","104","4.43","3.39","0.26","8.7%","2.52","11.60","12.44","2.89","0.11","22.2%","6.81","0.22","3.25","12.5%","14.6","16.6","31.1","4.4","30.8","26.6","3.8"
"212","Kylen Granson","IND","TE","13","1","0","0","1","0","0","210","39","31","302","0","132","48","3","3","32","302","0","3","49","-","1.00","0.00","0.0%","1.44","7.74","4.26","1.55","0.10","9.7%","9.44","0.09","1.53","9.4%","0.0","23.2","23.2","4.7","61.2","67.5","5.2"
"213","Mike Gesicki","MIA","TE","17","0","0","0","-","0","0","335","50","32","362","5","115","38","1","5","32","362","5","1","38","-","-","0.00","0.0%","1.08","7.24","3.59","1.19","0.03","15.6%","11.31","0.03","1.19","15.6%","0.0","21.3","21.3","5.8","98.2","96.5","5.7"
"214","Keaontay Ingram","ARZ","RB","11","27","60","1","61","3","0","47","5","4","21","0","34","21","4","1","31","81","1","7","82","2.22","2.26","0.11","0.0%","0.45","4.20","8.50","5.25","1.00","25.0%","2.61","0.23","2.65","3.2%","5.5","1.9","7.4","1.6","18.1","25.4","2.3"
"215","DeVante Parker","NE","WR","13","0","0","0","-","0","0","288","46","31","539","3","124","55","3","10","31","539","3","3","55","-","-","0.00","0.0%","1.87","11.72","4.00","1.77","0.10","32.3%","17.39","0.10","1.77","32.3%","0.0","41.5","41.5","7.9","102.9","92.1","7.1"
"216","Daniel Bellinger","NYG","TE","12","1","2","1","13","0","0","248","33","30","268","2","148","49","0","2","31","270","3","0","62","2.00","13.00","0.00","0.0%","1.08","8.12","4.93","1.63","0.00","6.7%","8.71","0.00","2.00","6.5%","0.2","22.3","22.5","6.3","76.0","58.7","4.9"
"217","Nelson Agholor","NE","WR","16","0","0","0","-","0","0","265","51","31","362","2","156","55","3","6","31","362","2","3","55","-","-","0.00","0.0%","1.37","7.10","5.03","1.77","0.10","19.4%","11.68","0.10","1.77","19.4%","0.0","22.6","22.6","4.8","77.2","91.2","5.7"
"218","Rashid Shaheed","NO","WR","12","4","57","1","21","3","1","175","34","27","487","2","172","33","4","6","31","544","3","7","54","14.25","5.25","0.75","25.0%","2.78","14.32","6.37","1.22","0.15","22.2%","17.55","0.23","1.74","22.6%","4.8","40.6","45.3","8.3","99.4","61.5","5.1"
"219","Trent Sherfield","MIA","WR","17","0","0","0","-","0","0","366","49","30","417","2","150","43","2","5","30","417","2","2","43","-","-","0.00","0.0%","1.14","8.51","5.00","1.43","0.07","16.7%","13.90","0.07","1.43","16.7%","0.0","24.5","24.5","4.9","83.7","84.7","5.0"
"220","D.J. Chark","DET","WR","11","0","0","0","-","0","0","316","51","30","502","3","138","73","3","9","30","502","3","3","73","-","-","0.00","0.0%","1.59","9.84","4.60","2.43","0.10","30.0%","16.73","0.10","2.43","30.0%","0.0","45.6","45.6","8.9","98.2","94.3","8.6"
"221","Trey McBride","ARZ","TE","15","0","0","0","-","0","0","266","39","29","265","1","122","39","1","3","29","265","1","1","39","-","-","0.00","0.0%","1.00","6.79","4.21","1.34","0.03","10.3%","9.14","0.03","1.34","10.3%","0.0","17.7","17.7","4.1","61.5","64.5","4.3"
"222","Noah Gray","KC","TE","17","1","1","1","-","0","0","231","34","28","299","1","188","79","3","3","29","300","2","3","79","1.00","-","0.00","0.0%","1.29","8.79","6.71","2.82","0.11","10.7%","10.34","0.10","2.72","10.3%","0.1","17.6","17.6","4.1","70.0","63.3","3.7"
"223","Julio Jones","TB","WR","10","5","45","0","14","1","1","215","43","24","299","2","126","49","2","3","29","344","2","3","63","9.00","2.80","0.20","20.0%","1.39","6.95","5.25","2.04","0.08","12.5%","11.86","0.10","2.17","13.8%","4.5","29.9","34.4","7.0","70.4","86.5","8.6"
"224","Marquise Goodwin","SEA","WR","13","2","5","0","1","0","0","286","41","27","387","4","116","53","7","9","29","392","4","7","54","2.50","0.50","0.00","0.0%","1.35","9.44","4.30","1.96","0.26","33.3%","13.52","0.24","1.86","31.0%","0.4","29.8","30.2","6.9","90.2","71.5","5.5"
"225","Ameer Abdullah","LV","RB","17","4","20","0","13","1","0","125","32","25","211","1","195","48","2","1","29","231","1","3","61","5.00","3.25","0.25","0.0%","1.69","6.59","7.80","1.92","0.08","4.0%","7.97","0.10","2.10","3.4%","1.2","12.4","13.6","3.2","54.1","56.4","3.3"
"226","Mecole Hardman","KC","WR","8","4","31","2","14","2","1","198","33","25","297","4","167","42","4","5","29","328","6","6","56","7.75","3.50","0.50","25.0%","1.50","9.00","6.68","1.68","0.16","20.0%","11.31","0.21","1.93","20.7%","3.9","37.1","41.0","11.7","93.8","72.7","9.1"
"227","Equanimeous St. Brown","CHI","WR","16","6","54","0","27","3","1","233","37","21","323","1","87","33","1","5","28","377","1","4","60","9.00","4.50","0.50","16.7%","1.39","8.73","4.14","1.57","0.05","23.8%","13.46","0.14","2.14","21.4%","3.4","20.2","23.6","4.0","64.7","70.6","4.4"
"228","Kyle Pitts","ATL","TE","10","0","0","0","-","0","0","190","57","28","356","2","143","50","2","5","28","356","2","2","50","-","-","0.00","0.0%","1.87","6.25","5.11","1.79","0.07","17.9%","12.71","0.07","1.79","17.9%","0.0","35.6","35.6","7.6","75.6","123.1","12.3"
"229","Darren Waller","LV","TE","9","0","0","0","-","0","0","241","42","28","388","3","82","48","1","9","28","388","3","1","48","-","-","0.00","0.0%","1.61","9.24","2.93","1.71","0.04","32.1%","13.86","0.04","1.71","32.1%","0.0","43.1","43.1","9.4","84.8","97.8","10.9"
"230","Terrace Marshall","CAR","WR","14","0","0","0","-","0","0","270","47","28","490","1","167","100","6","10","28","490","1","6","100","-","-","0.00","0.0%","1.81","10.43","5.96","3.57","0.21","35.7%","17.50","0.21","3.57","35.7%","0.0","35.0","35.0","5.9","83.0","88.8","6.3"
"231","Jonnu Smith","NE","TE","14","1","5","0","5","0","0","145","37","27","245","0","204","106","9","3","28","250","0","9","111","5.00","5.00","0.00","0.0%","1.69","6.62","7.56","3.93","0.33","11.1%","8.93","0.32","3.96","10.7%","0.4","17.5","17.9","3.7","52.0","61.1","4.4"
"232","Steven Sims","PIT","WR","12","13","70","0","41","5","2","147","22","14","104","0","64","22","2","1","27","174","0","7","63","5.38","3.15","0.38","15.4%","0.71","4.73","4.57","1.57","0.14","7.1%","6.44","0.26","2.33","11.1%","5.8","8.7","14.5","2.6","31.4","40.8","3.4"
"233","Tutu Atwell","LA","WR","13","9","34","1","8","0","0","166","35","18","298","1","66","22","3","5","27","332","2","3","30","3.78","0.89","0.00","0.0%","1.80","8.51","3.67","1.22","0.17","27.8%","12.30","0.11","1.11","18.5%","2.6","22.9","25.5","4.9","63.2","67.0","5.2"
"234","Braxton Berrios","NYJ","WR","17","9","91","2","42","2","4","169","32","18","145","0","99","28","1","2","27","236","2","3","70","10.11","4.67","0.22","44.4%","0.86","4.53","5.50","1.56","0.06","11.1%","8.74","0.11","2.59","22.2%","5.4","8.5","13.9","3.4","57.7","65.9","3.9"
"235","Kendall Hinton","DEN","WR","11","2","13","0","3","0","0","267","31","24","311","0","133","76","5","5","26","324","0","5","79","6.50","1.50","0.00","0.0%","1.16","10.03","5.54","3.17","0.21","20.8%","12.46","0.19","3.04","19.2%","1.2","28.3","29.5","5.1","56.4","54.5","5.0"
"236","Brandon Bolden","LV","RB","13","17","66","0","26","0","0","53","9","9","57","1","27","14","1","0","26","123","1","1","40","3.88","1.53","0.00","0.0%","1.08","6.33","3.00","1.56","0.11","0.0%","4.73","0.04","1.54","0.0%","5.1","4.4","9.5","2.1","27.3","27.3","2.1"
"237","Trestan Ebner","CHI","RB","15","24","54","0","48","6","0","30","7","2","8","0","8","-","0","0","26","62","0","6","48","2.25","2.00","0.25","0.0%","0.27","1.14","4.00","-","0.00","0.0%","2.38","0.23","1.85","0.0%","3.6","0.5","4.1","0.5","7.2","27.2","1.8"
"238","Kyle Juszczyk","SF","FB","16","7","26","1","16","1","0","184","22","19","200","1","155","74","7","3","26","226","2","8","90","3.71","2.29","0.14","0.0%","1.09","9.09","8.16","3.89","0.37","15.8%","8.69","0.31","3.46","11.5%","1.6","12.5","14.1","3.4","53.6","45.0","2.8"
"239","Tyquan Thornton","NE","WR","13","3","16","1","3","0","1","285","43","22","247","2","70","19","1","4","25","263","3","1","22","5.33","1.00","0.00","33.3%","0.87","5.74","3.18","0.86","0.05","18.2%","10.52","0.04","0.88","20.0%","1.2","19.0","20.2","5.1","66.3","88.7","6.8"
"240","Jelani Woods","IND","TE","15","0","0","0","-","0","0","197","39","25","312","3","119","58","3","4","25","312","3","3","58","-","-","0.00","0.0%","1.58","8.00","4.76","2.32","0.12","16.0%","12.48","0.12","2.32","16.0%","0.0","20.8","20.8","4.9","74.2","79.0","5.3"
"241","Nick Westbrook-Ikhine","TEN","WR","17","0","0","0","-","0","0","377","46","25","397","3","111","44","2","5","25","397","3","2","44","-","-","0.00","0.0%","1.05","8.63","4.44","1.76","0.08","20.0%","15.88","0.08","1.76","20.0%","0.0","23.4","23.4","4.9","82.7","87.0","5.1"
"242","Darrel Williams","ARZ","RB","5","21","102","1","60","1","1","43","7","4","9","0","14","4","0","0","25","111","1","1","64","4.86","2.86","0.05","4.8%","0.21","1.29","3.50","1.00","0.00","0.0%","4.44","0.04","2.56","4.0%","20.4","1.8","22.2","4.2","21.1","25.7","5.1"
"243","Skyy Moore","KC","WR","16","3","24","0","4","0","0","153","32","22","250","0","150","47","5","2","25","274","0","5","51","8.00","1.33","0.00","0.0%","1.63","7.81","6.82","2.14","0.23","9.1%","10.96","0.20","2.04","8.0%","1.5","15.6","17.1","2.9","46.4","55.3","3.5"
"244","Colby Parkinson","SEA","TE","17","0","0","0","-","0","0","195","33","25","322","2","156","41","1","5","25","322","2","1","41","-","-","0.00","0.0%","1.65","9.76","6.24","1.64","0.04","20.0%","12.88","0.04","1.64","20.0%","0.0","18.9","18.9","4.1","69.2","57.6","3.4"
"245","Irv Smith","MIN","TE","8","0","0","0","-","0","0","160","34","25","182","2","100","45","2","0","25","182","2","2","45","-","-","0.00","0.0%","1.14","5.35","4.00","1.80","0.08","0.0%","7.28","0.08","1.80","0.0%","0.0","22.8","22.8","6.9","55.2","57.3","7.2"
"246","Wan'Dale Robinson","NYG","WR","6","2","-1","0","1","2","0","126","30","23","227","1","131","48","4","0","25","226","1","6","49","-0.50","0.50","1.00","0.0%","1.80","7.57","5.70","2.09","0.17","0.0%","9.04","0.24","1.96","0.0%","-0.2","37.8","37.7","8.6","51.6","52.0","8.7"
"247","Jarvis Landry","NO","WR","9","0","0","0","-","0","0","196","38","25","272","1","66","36","5","2","25","272","1","5","36","-","-","0.00","0.0%","1.39","7.16","2.64","1.44","0.20","8.0%","10.88","0.20","1.44","8.0%","0.0","30.2","30.2","6.7","60.2","68.3","7.6"
"248","David Bell","CLV","WR","16","0","0","0","-","0","0","281","33","24","214","0","74","39","0","1","24","214","0","0","39","-","-","0.00","0.0%","0.76","6.48","3.08","1.63","0.00","4.2%","8.92","0.00","1.63","4.2%","0.0","13.4","13.4","2.8","45.4","50.4","3.2"
"249","Scott Miller","TB","WR","14","1","8","0","9","1","0","168","40","23","185","0","38","5","0","2","24","193","0","1","14","8.00","9.00","1.00","0.0%","1.10","4.63","1.65","0.22","0.00","8.7%","8.04","0.04","0.58","8.3%","0.6","13.2","13.8","3.0","42.3","71.2","5.1"
"250","A.J. Green","ARZ","WR","15","0","0","0","-","0","0","318","45","24","236","2","60","41","2","1","24","236","2","2","41","-","-","0.00","0.0%","0.74","5.24","2.50","1.71","0.08","4.2%","9.83","0.08","1.71","4.2%","0.0","15.7","15.7","4.1","61.6","83.4","5.6"
"251","Van Jefferson","LA","WR","11","0","0","0","-","0","0","275","41","24","369","3","37","11","1","7","24","369","3","1","11","-","-","0.00","0.0%","1.34","9.00","1.54","0.46","0.04","29.2%","15.38","0.04","0.46","29.2%","0.0","33.5","33.5","7.2","78.9","89.6","8.1"
"252","Marlon Mack","DEN, SF","RB","7","16","84","1","62","5","1","32","9","8","99","1","115","50","3","1","24","183","2","8","112","5.25","3.88","0.31","6.3%","3.09","11.00","14.38","6.25","0.38","12.5%","7.63","0.33","4.67","8.3%","12.0","14.1","26.1","5.5","38.3","22.1","3.2"
"253","Malcolm Brown","LA","RB","9","18","81","1","41","3","2","44","6","5","37","0","36","4","0","0","23","118","1","3","45","4.50","2.28","0.17","11.1%","0.84","6.17","7.20","0.80","0.00","0.0%","5.13","0.13","1.96","8.7%","9.0","4.1","13.1","2.5","22.8","23.9","2.7"
"254","Kadarius Toney","NYG, KC","WR","9","7","82","1","44","4","2","80","19","16","171","2","111","40","5","4","23","253","3","9","84","11.71","6.29","0.57","28.6%","2.14","9.00","6.94","2.50","0.31","25.0%","11.00","0.39","3.65","26.1%","9.1","19.0","28.1","6.5","58.3","39.0","4.3"
"255","Shi Smith","CAR","WR","17","0","0","0","-","0","0","298","38","22","296","2","104","33","2","6","22","296","2","2","33","-","-","0.00","0.0%","0.99","7.79","4.73","1.50","0.09","27.3%","13.45","0.09","1.50","27.3%","0.0","17.4","17.4","3.7","62.6","70.3","4.1"
"256","Benny Snell","PIT","RB","10","20","90","1","50","4","1","12","2","2","17","0","20","15","1","0","22","107","1","5","65","4.50","2.50","0.20","5.0%","1.42","8.50","10.00","7.50","0.50","0.0%","4.86","0.23","2.95","4.5%","9.0","1.7","10.7","1.9","18.7","14.1","1.4"
"257","Ian Thomas","CAR","TE","17","0","0","0","-","0","0","132","29","21","197","0","185","51","1","1","21","197","0","1","51","-","-","0.00","0.0%","1.49","6.79","8.81","2.43","0.05","4.8%","9.38","0.05","2.43","4.8%","0.0","11.6","11.6","2.4","40.7","49.3","2.9"
"258","C.J. Uzomah","NYJ","TE","15","0","0","0","-","0","0","199","26","21","232","2","113","37","2","4","21","232","2","2","37","-","-","0.00","0.0%","1.17","8.92","5.38","1.76","0.10","19.0%","11.05","0.10","1.76","19.0%","0.0","15.5","15.5","3.7","56.2","42.2","2.8"
"259","Phillip Lindsay","IND","RB","3","15","49","0","37","2","1","28","6","6","19","0","13","4","0","0","21","68","0","2","41","3.27","2.47","0.13","6.7%","0.68","3.17","2.17","0.67","0.00","0.0%","3.24","0.10","1.95","4.8%","16.3","6.3","22.7","4.9","14.8","15.4","5.1"
"260","Dante Pettis","CHI","WR","17","2","37","0","-","0","1","274","37","19","245","3","62","12","2","2","21","282","3","2","12","18.50","-","0.00","50.0%","0.89","6.62","3.26","0.63","0.11","10.5%","13.43","0.10","0.57","14.3%","2.2","14.4","16.6","3.8","65.2","72.6","4.3"
"261","Alec Ingold","MIA","FB","17","6","8","1","4","0","0","121","22","15","105","1","90","37","4","0","21","113","2","4","41","1.33","0.67","0.00","0.0%","0.87","4.77","6.00","2.47","0.27","0.0%","5.38","0.19","1.95","0.0%","0.5","6.2","6.6","2.3","38.3","40.8","2.4"
"262","Isaiah Spiller","LAC","RB","6","18","41","0","41","3","0","11","3","3","13","0","25","11","1","0","21","54","0","4","52","2.28","2.28","0.17","0.0%","1.18","4.33","8.33","3.67","0.33","0.0%","2.57","0.19","2.48","0.0%","6.8","2.2","9.0","1.4","8.4","13.7","2.3"
"263","Robby Anderson","CAR, ARZ","WR","16","0","0","0","-","0","0","286","42","20","282","1","97","12","1","3","20","282","1","1","12","-","-","0.00","0.0%","0.99","6.71","4.85","0.60","0.05","15.0%","14.10","0.05","0.60","15.0%","0.0","17.6","17.6","3.3","53.2","70.4","4.4"
"264","Corey Clement","ARZ","RB","5","15","55","1","36","2","0","36","7","5","54","0","61","21","1","1","20","109","1","3","57","3.67","2.40","0.13","0.0%","1.50","7.71","12.20","4.20","0.20","20.0%","5.45","0.15","2.85","5.0%","11.0","10.8","21.8","4.4","21.9","20.9","4.2"
"265","Ke'Shawn Vaughn","TB","RB","7","17","53","0","52","2","0","9","3","3","19","0","27","3","0","0","20","72","0","2","55","3.12","3.06","0.12","0.0%","2.11","6.33","9.00","1.00","0.00","0.0%","3.60","0.10","2.75","0.0%","7.6","2.7","10.3","1.5","10.2","13.2","1.9"
"266","Cameron Brate","TB","TE","11","0","0","0","-","0","0","210","35","20","174","0","74","19","4","1","20","174","0","4","19","-","-","0.00","0.0%","0.83","4.97","3.70","0.95","0.20","5.0%","8.70","0.20","0.95","5.0%","0.0","15.8","15.8","3.4","37.4","68.3","6.2"
"267","Phillip Dorsett","HST","WR","15","0","0","0","-","0","0","250","40","20","257","1","70","18","0","5","20","257","1","0","18","-","-","0.00","0.0%","1.03","6.43","3.50","0.90","0.00","25.0%","12.85","0.00","0.90","25.0%","0.0","17.1","17.1","3.4","51.7","76.5","5.1"
"268","Mo Alie-Cox","IND","TE","17","0","0","0","-","0","0","248","27","19","189","3","96","62","2","1","19","189","3","2","62","-","-","0.00","0.0%","0.76","7.00","5.05","3.26","0.11","5.3%","9.95","0.11","3.26","5.3%","0.0","11.1","11.1","3.2","54.9","45.7","2.7"
"269","Zach Gentry","PIT","TE","17","0","0","0","-","0","0","162","23","19","132","0","108","51","0","2","19","132","0","0","51","-","-","0.00","0.0%","0.81","5.74","5.68","2.68","0.00","10.5%","6.95","0.00","2.68","10.5%","0.0","7.8","7.8","1.9","32.2","41.2","2.4"
"270","Tommy Tremble","CAR","TE","17","0","0","0","-","0","0","207","30","19","174","3","71","26","1","1","19","174","3","1","26","-","-","0.00","0.0%","0.84","5.80","3.74","1.37","0.05","5.3%","9.16","0.05","1.37","5.3%","0.0","10.2","10.2","3.1","53.4","62.3","3.7"
"271","Jake Ferguson","DAL","TE","16","0","0","0","-","0","0","85","22","19","174","2","127","62","6","3","19","174","2","6","62","-","-","0.00","0.0%","2.05","7.91","6.68","3.26","0.32","15.8%","9.16","0.32","3.26","15.8%","0.0","10.9","10.9","3.0","48.4","40.3","2.5"
"272","Amari Rodgers","HST, GB","WR","16","2","7","0","3","0","0","146","22","16","204","1","71","22","1","3","19","211","1","1","25","3.50","1.50","0.00","0.0%","1.40","9.27","4.44","1.38","0.06","18.8%","11.11","0.05","1.32","15.8%","0.4","12.8","13.2","2.6","41.1","40.5","2.5"
"273","Johnny Mundt","MIN","TE","17","0","0","0","-","0","0","132","21","19","140","1","124","53","5","0","19","140","1","5","53","-","-","0.00","0.0%","1.06","6.67","6.53","2.79","0.26","0.0%","7.37","0.26","2.79","0.0%","0.0","8.2","8.2","2.3","39.0","32.3","1.9"
"274","Tre'Quan Smith","NO","WR","15","0","0","0","-","0","0","172","26","19","278","1","67","38","2","4","19","278","1","2","38","-","-","0.00","0.0%","1.62","10.69","3.53","2.00","0.11","21.1%","14.63","0.11","2.00","21.1%","0.0","18.5","18.5","3.5","52.8","47.5","3.2"
"275","Jordan Wilkins","IND","RB","4","13","58","0","28","3","0","22","8","6","29","0","46","15","1","0","19","87","0","4","43","4.46","2.15","0.23","0.0%","1.32","3.63","7.67","2.50","0.17","0.0%","4.58","0.21","2.26","0.0%","14.5","7.3","21.8","3.7","14.7","19.0","4.8"
"276","Patrick Ricard","BLT","FB","17","7","16","0","11","0","0","139","13","11","74","0","74","30","1","0","18","90","0","1","41","2.29","1.57","0.00","0.0%","0.53","5.69","6.73","2.73","0.09","0.0%","5.00","0.06","2.28","0.0%","0.9","4.4","5.3","1.2","20.0","24.8","1.5"
"277","Ray-Ray McCloud","SF","WR","17","4","78","1","5","0","1","151","21","14","243","1","96","28","2","5","18","321","2","2","33","19.50","1.25","0.00","25.0%","1.61","11.57","6.86","2.00","0.14","35.7%","17.83","0.11","1.83","33.3%","4.6","14.3","18.9","3.4","58.1","46.8","2.8"
"278","Ronald Jones","KC","RB","6","17","70","1","46","1","0","13","1","1","22","0","22","3","0","1","18","92","1","1","49","4.12","2.71","0.06","0.0%","1.69","22.00","22.00","3.00","0.00","100.0%","5.11","0.06","2.72","5.6%","11.7","3.7","15.3","2.7","16.2","11.8","2.0"
"279","Brock Wright","DET","TE","17","0","0","0","-","0","0","155","24","18","216","4","169","31","0","3","18","216","4","0","31","-","-","0.00","0.0%","1.39","9.00","9.39","1.72","0.00","16.7%","12.00","0.00","1.72","16.7%","0.0","12.7","12.7","3.7","63.6","42.7","2.5"
"280","Adam Trautman","NO","TE","15","0","0","0","-","0","0","131","22","18","207","1","123","24","1","2","18","207","1","1","24","-","-","0.00","0.0%","1.58","9.41","6.83","1.33","0.06","11.1%","11.50","0.06","1.33","11.1%","0.0","13.8","13.8","3.0","44.7","35.7","2.4"
"281","Kevin Harris","NE","RB","5","18","52","1","46","5","0","14","0","0","0","0","0","-","0","0","18","52","1","5","46","2.89","2.56","0.28","0.0%","0.00","-","0.00","-","0.00","0.0%","2.89","0.28","2.56","0.0%","10.4","0.0","10.4","2.2","11.2","9.5","1.9"
"282","Mitchell Wilcox","CIN","TE","16","0","0","0","-","0","0","169","18","17","139","1","78","34","1","0","17","139","1","1","34","-","-","0.00","0.0%","0.82","7.72","4.59","2.00","0.06","0.0%","8.18","0.06","2.00","0.0%","0.0","8.7","8.7","2.3","36.9","30.3","1.9"
"283","Jaret Patterson","WAS","RB","2","17","78","0","38","3","0","8","1","0","0","0","0","-","0","0","17","78","0","3","38","4.59","2.24","0.18","0.0%","0.00","-","0.00","-","0.00","0.0%","4.59","0.18","2.24","0.0%","39.0","0.0","39.0","3.9","7.8","10.9","5.4"
"284","Ashton Dulin","IND","WR","12","2","8","0","1","0","0","114","21","15","207","1","38","21","1","2","17","215","1","1","22","4.00","0.50","0.00","0.0%","1.82","9.86","2.53","1.40","0.07","13.3%","12.65","0.06","1.29","11.8%","0.7","17.3","17.9","3.5","42.5","42.1","3.5"
"285","Durham Smythe","MIA","TE","16","2","1","1","-","0","0","133","19","15","129","1","56","22","0","1","17","130","2","0","22","0.50","-","0.00","0.0%","0.97","6.79","3.73","1.47","0.00","6.7%","7.65","0.00","1.29","5.9%","0.1","8.1","8.1","2.5","40.0","35.1","2.2"
"286","Pierre Strong","NE","RB","12","10","100","1","41","1","2","22","7","7","42","0","40","11","1","0","17","142","1","2","52","10.00","4.10","0.10","20.0%","1.91","6.00","5.71","1.57","0.14","0.0%","8.35","0.12","3.06","11.8%","8.3","3.5","11.8","2.3","27.2","17.0","1.4"
"287","Zamir White","LV","RB","12","17","70","0","106","5","2","11","0","0","0","0","0","-","0","0","17","70","0","5","106","4.12","6.24","0.29","11.8%","0.00","-","0.00","-","0.00","0.0%","4.12","0.29","6.24","11.8%","5.8","0.0","5.8","0.6","7.0","10.6","0.9"
"288","Marquez Callaway","NO","WR","14","0","0","0","-","0","0","183","31","16","158","1","39","30","0","2","16","158","1","0","30","-","-","0.00","0.0%","0.86","5.10","2.44","1.88","0.00","12.5%","9.88","0.00","1.88","12.5%","0.0","11.3","11.3","2.7","37.8","55.2","3.9"
"289","MyCole Pruitt","ATL","TE","13","0","0","0","-","0","0","73","21","16","150","4","82","16","0","2","16","150","4","0","16","-","-","0.00","0.0%","2.05","7.14","5.13","1.00","0.00","12.5%","9.38","0.00","1.00","12.5%","0.0","11.5","11.5","4.2","55.0","44.2","3.4"
"290","David Johnson","NO","RB","5","12","24","0","22","0","0","29","4","4","47","0","47","12","0","1","16","71","0","0","34","2.00","1.83","0.00","0.0%","1.62","11.75","11.75","3.00","0.00","25.0%","4.44","0.00","2.13","6.3%","4.8","9.4","14.2","2.0","10.1","11.9","2.4"
"291","Trenton Irwin","CIN","WR","9","1","11","0","2","0","0","170","22","15","231","4","61","34","1","3","16","242","4","1","36","11.00","2.00","0.00","0.0%","1.36","10.50","4.07","2.27","0.07","20.0%","15.13","0.06","2.25","18.8%","1.2","25.7","26.9","7.0","63.2","44.6","5.0"
"292","Zach Pascal","PHI","WR","17","1","0","0","-","0","0","123","18","15","150","1","88","28","3","2","16","150","1","3","28","-","-","0.00","0.0%","1.22","8.33","5.87","1.87","0.20","13.3%","9.38","0.19","1.75","12.5%","0.0","8.8","8.8","2.1","36.0","29.2","1.7"
"293","Sammy Watkins","BLT, GB","WR","12","0","0","0","-","0","0","171","27","16","325","0","126","43","1","7","16","325","0","1","43","-","-","0.00","0.0%","1.90","12.04","7.88","2.69","0.06","43.8%","20.31","0.06","2.69","43.8%","0.0","27.1","27.1","4.0","47.5","51.8","4.3"
"294","Michael Thomas","NO","WR","3","0","0","0","-","0","0","98","22","16","171","3","30","14","0","2","16","171","3","0","14","-","-","0.00","0.0%","1.74","7.77","1.88","0.88","0.00","12.5%","10.69","0.00","0.88","12.5%","0.0","57.0","57.0","17.0","51.1","43.3","14.4"
"295","Velus Jones","CHI","WR","12","9","103","1","77","4","3","68","12","7","107","1","42","15","0","2","16","210","2","4","92","11.44","8.56","0.44","33.3%","1.57","8.92","6.00","2.14","0.00","28.6%","13.13","0.25","5.75","31.3%","8.6","8.9","17.5","3.1","37.0","25.8","2.2"
"296","Eric Saubert","DEN","TE","17","0","0","0","-","0","0","168","23","15","148","1","79","41","4","3","15","148","1","4","41","-","-","0.00","0.0%","0.88","6.43","5.27","2.73","0.27","20.0%","9.87","0.27","2.73","20.0%","0.0","8.7","8.7","2.1","35.8","41.9","2.5"
"297","Darrynton Evans","CHI","RB","4","14","64","0","36","2","1","21","1","1","33","0","31","11","1","1","15","97","0","3","47","4.57","2.57","0.14","7.1%","1.57","33.00","31.00","11.00","1.00","100.0%","6.47","0.20","3.13","13.3%","16.0","8.3","24.3","2.7","10.7","10.0","2.5"
"298","Justin Watson","KC","WR","17","0","0","0","-","0","0","259","31","15","315","2","64","10","0","6","15","315","2","0","10","-","-","0.00","0.0%","1.22","10.16","4.27","0.67","0.00","40.0%","21.00","0.00","0.67","40.0%","0.0","18.5","18.5","3.4","58.5","73.7","4.3"
"299","Tevin Coleman","SF","RB","3","12","26","1","18","2","0","10","3","3","44","1","22","5","0","1","15","70","2","2","23","2.17","1.50","0.17","0.0%","4.40","14.67","7.33","1.67","0.00","33.3%","4.67","0.13","1.53","6.7%","8.7","14.7","23.3","7.3","22.0","12.8","4.3"
"300","Tony Jones","NO, SEA","RB","3","10","24","0","18","2","0","39","8","5","30","0","35","9","1","0","15","54","0","3","27","2.40","1.80","0.20","0.0%","0.77","3.75","7.00","1.80","0.20","0.0%","3.60","0.20","1.80","0.0%","8.0","10.0","18.0","3.5","10.4","17.9","6.0"
"301","Rashod Bateman","BLT","WR","6","0","0","0","-","0","0","117","28","15","285","2","136","26","4","5","15","285","2","4","26","-","-","0.00","0.0%","2.44","10.18","9.07","1.73","0.27","33.3%","19.00","0.27","1.73","33.3%","0.0","47.5","47.5","9.1","54.5","47.9","8.0"
