"Rank","Name","Team","POS","G","ATT","YDS","TD","YACO","MTF","EXP","RTE","TGT","REC","YDS","TD","YAC","YACO","MTF","EXP","TOUCH","YFS","TD","MTF","YACO","YPC","YACO/ATT","MTF/ATT","EXP RUN %","YPRR","YPT","YAC/REC","YACO/REC","MTF/REC","EXP REC %","YFS/TOUCH","MTF/TOUCH","YACO/TOUCH","EXP PLAY %","RuYDS/G","RecYDS/G","YFS/G","FP/G","FP","XFP","XFP/G"
"63","Breece Hall","NYJ","RB","7","80","463","4","290","20","8","100","30","19","218","1","166","75","10","2","99","681","5","30","365","5.79","3.63","0.25","10.0%","2.18","7.27","8.74","3.95","0.53","10.5%","6.88","0.30","3.69","10.1%","66.1","31.1","97.3","16.6","116.1","99.5","14.2"
"64","J.K. Dobbins","BLT","RB","8","92","520","2","325","18","9","57","8","7","42","1","40","7","2","1","99","562","3","20","332","5.65","3.53","0.20","9.8%","0.74","5.25","5.71","1.00","0.29","14.3%","5.68","0.20","3.35","10.1%","65.0","5.3","70.3","10.2","81.2","67.0","8.4"
"65","Deebo Samuel","SF","WR","13","42","232","3","178","18","4","351","91","56","632","2","504","275","28","7","98","864","5","46","453","5.52","4.24","0.43","9.5%","1.80","6.95","9.00","4.91","0.50","12.5%","8.82","0.47","4.62","11.2%","17.8","48.6","66.5","13.1","170.4","177.7","13.7"
"66","Zonovan Knight","NYJ","RB","7","85","300","1","232","31","3","62","14","13","100","0","136","48","7","0","98","400","1","38","280","3.53","2.73","0.36","3.5%","1.61","7.14","10.46","3.69","0.54","0.0%","4.08","0.39","2.86","3.1%","42.9","14.3","57.1","8.4","59.0","68.8","9.8"
"67","Deon Jackson","IND","RB","13","68","236","1","144","6","2","137","33","30","209","1","228","87","4","4","98","445","2","10","231","3.47","2.12","0.09","2.9%","1.53","6.33","7.60","2.90","0.13","13.3%","4.54","0.10","2.36","6.1%","18.2","16.1","34.2","6.6","85.5","86.2","6.6"
"68","DeVonta Smith","PHI","WR","17","0","0","0","-","0","0","533","133","95","1196","7","509","179","12","18","96","1196","7","12","179","-","-","0.00","0.0%","2.24","8.99","5.36","1.88","0.13","18.9%","12.46","0.13","1.86","18.8%","0.0","70.4","70.4","15.0","255.6","227.6","13.4"
"69","Diontae Johnson","PIT","WR","17","7","25","0","16","1","0","598","140","86","882","0","224","132","15","7","93","907","0","16","148","3.57","2.29","0.14","0.0%","1.47","6.30","2.60","1.53","0.17","8.1%","9.75","0.17","1.59","7.5%","1.5","51.9","53.4","10.6","180.7","263.4","15.5"
"70","Ja'Marr Chase","CIN","WR","12","5","8","0","14","2","0","496","127","87","1046","9","425","238","12","13","92","1054","9","14","252","1.60","2.80","0.40","0.0%","2.11","8.24","4.89","2.74","0.14","14.9%","11.46","0.15","2.74","14.1%","0.7","87.2","87.8","20.4","244.4","233.7","19.5"
"71","DK Metcalf","SEA","WR","17","0","0","0","-","0","0","553","140","90","1048","6","228","133","10","11","90","1048","6","10","133","-","-","0.00","0.0%","1.90","7.49","2.53","1.48","0.11","12.2%","11.64","0.11","1.48","12.2%","0.0","61.6","61.6","13.5","228.8","270.8","15.9"
"72","Christian Kirk","JAX","WR","17","5","11","0","9","2","0","559","127","84","1108","8","383","94","8","18","90","1119","8","10","103","2.20","1.80","0.40","0.0%","1.98","8.72","4.56","1.12","0.10","21.4%","12.43","0.11","1.14","20.0%","0.6","65.2","65.8","14.3","242.9","232.6","13.7"
